Tissue,TIMP3_Zscore,MMP_Zscore_Mean,VEGF_Zscore_Mean,Deficiency_Index,N_TIMP3,N_MMPs,N_VEGF,Priority_Rank
Kidney_Tubulointerstitial,0.1391028831710835,0.1873289851296683,0.0,0.7834660236850017,1,3,0,1
Intervertebral_disc_OAF,1.030801626177056,0.42524981706368914,0.4197096802684169,0.7472216857245709,1,7,1,2
Kidney_Glomerular,-0.5376416720368191,-0.13771943102707676,0.0,0.3146853689369195,1,3,0,3
Heart_Native_Tissue,3.141208179502989,-0.18172875026239804,0.0,-0.05606821290024776,1,2,0,4
Intervertebral_disc_IAF,0.907393033140784,0.511808471410744,-0.6321879550043454,-0.11949604536998844,1,3,1,5
Intervertebral_disc_NP,0.6478449233496578,0.5603197626443939,,,1,2,1,6
Skin dermis,1.237967176507091,-0.4461060254271434,,,1,4,1,7
