gene,consensus_z,consensus_rank
COL6A1,0.5834602710257575,174.0
F12,0.581174051178081,175.0
C1qtnf4,0.5809665511854124,176.0
C1ql3,0.5809665511854122,177.0
Bdnf,0.5809144750606445,178.0
Bcan,0.5809144750606445,178.0
Brinp2,0.5809144750606443,180.0
BC048546,0.5809144750606442,181.0
Adam22,0.5809073140961993,182.0
Adam11,0.5809073140961993,182.0
Fgf12,0.5808957486619568,184.0
Elfn1,0.5808957486619568,184.0
Elfn2,0.5808957486619568,184.0
Gpc5,0.580879664701816,187.0
Hapln2,0.580879664701816,187.0
Serpini1,0.5808590789366223,189.0
Slit1,0.5808590789366223,189.0
Spock1,0.5808590789366223,189.0
Spock2,0.5808590789366223,189.0
Tnr,0.5808554984543999,193.0
Timp2,0.5808554984543999,193.0
Vwa5b2,0.5807569654653648,195.0
Sema4d,0.5807258935229073,196.0
S100a5,0.580725893522907,197.0
Sema4f,0.580725893522907,197.0
Sdc3,0.5807258935229069,199.0
Sema6d,0.5807258935229069,199.0
Sema4a,0.5807258935229069,199.0
Megf9,0.5807123494590152,202.0
Lgals12,0.5807123494590152,202.0
Mmp17,0.5807123494590152,202.0
Lgi3,0.580712349459015,205.0
Ncan,0.580712349459015,205.0
Nell2,0.580712349459015,205.0
Plxdc1,0.5807059422803014,208.0
Plxna2,0.5807059422803013,209.0
Ptn,0.5807059422803011,210.0
Plxna4,0.5807059422803011,210.0
Plxnc1,0.5807059422803011,210.0
Slit2,0.5805134926742423,213.0
Sdc2,0.5804963734936165,214.0
Ntng1,0.5803975797264496,215.0
Nrg3,0.5803975797264495,216.0
P4htm,0.5803928975573895,217.0
Pappa,0.5803928975573894,218.0
Megf8,0.5803888842696237,219.0
Megf10,0.5803888842696235,220.0
Adam23,0.5783731868419545,221.0
Acan,0.5783731868419544,222.0
Gpc6,0.5783531812105162,223.0
Hapln4,0.578353181210516,224.0
Cspg5,0.5783310473204141,225.0
Edil3,0.578331047320414,226.0
Clec2l,0.5783062318243958,227.0
Chadl,0.5783062318243957,228.0
Cbln4,0.5783062318243957,228.0
F2,0.562621214027684,230.0
LGALS3,0.5622921702785588,231.0
HPX,0.5620605419328607,232.0
VWF,0.5590769716084547,233.0
Serpina3n,0.5571219092663965,234.0
CXCL14,0.5567411092889826,235.0
HTRA1,0.549069991906197,236.0
TGFBI,0.5482885588465068,237.0
ANXA6,0.5242038566268175,238.0
CTSD,0.5228825455310377,239.0
FMOD,0.5143114232139562,240.0
DCN,0.5125499986673178,241.0
SERPING1,0.4968373546869611,242.0
LUM,0.4876244847386174,243.0
SERPINA3,0.48349977528344124,244.0
Ctsd,0.4764874073638807,245.0
A2m,0.4605067748756698,246.0
Serpinb9b,0.4595633178100702,247.0
Itih3,0.4511494187281724,248.0
SERPINC1,0.44918725223570344,249.0
S100A13,0.44404194947165376,250.0
S100b,0.43984019383761297,251.0
Matn4,0.43977932563983235,252.0
HSPG2,0.43731506627670813,253.0
SERPINF1,0.43164099160332026,254.0
S100a6,0.4093455022678411,255.0
S100g,0.39002901701196663,256.0
ANXA1,0.3897078878748767,257.0
SDC2,0.3732202007600463,258.0
ANXA5,0.36840512417023513,259.0
A2M,0.3535432750153124,260.0
AEBP1,0.35071807270453587,261.0
F13A1,0.34281767230341165,262.0
COL8A1,0.33095386892174944,263.0
Sema4b,0.32662712928740384,264.0
SERPINA1,0.32245756091294564,265.0
COL5A2,0.3183863811185744,266.0
TINAGL1,0.31492673626402845,267.0
EFEMP1,0.282672103610077,268.0
COL4A1,0.27889383975428256,269.0
COL16A1,0.2730057867693521,270.0
ANXA3,0.26909975988098483,271.0
MGP,0.26890494808234294,272.0
Lamb1,0.2602505002384329,273.0
Egln1,0.2508794162831529,274.0
Igf2,0.25086609604375715,275.0
Cspg4,0.24860252696047713,276.0
LGALS1,0.23162900576035148,277.0
P4ha1,0.23094370912755505,278.0
C1qa,0.2272849103491638,279.0
Lgi1,0.2246738476176588,280.0
Col6a3,0.215229280408604,281.0
S100a4,0.2139510482552108,282.0
Htra1,0.20315796539915387,283.0
AGRN,0.19265902143261948,284.0
Serpina1e,0.18985269554192297,285.0
Fbln5,0.18055553636786592,286.0
Col6a1,0.1567653913314768,287.0
Plxnd1,0.1494011833820376,288.0
TIMP3,0.13425826453868933,289.0
Plxna1,0.11419476315954663,290.0
SERPINA5,0.11129093860900234,291.0
Fn1,0.10327509574731329,292.0
Plxnb2,0.08431257302790925,293.0
Agt,0.0781288402968903,294.0
Dspp,0.070318642858001,295.0
Mfge8,0.06861744010912357,296.0
Vwf,0.06418277449645271,297.0
Anxa4,0.058104490245646484,298.0
Tnc,0.05756245935402179,299.0
Chrdl1,0.0539094632917284,300.0
Hapln1,0.053909463291728354,301.0
Fstl1,0.05045117837584963,302.0
Hspg2,0.04691616774979119,303.0
S100a11,0.04347874126053538,304.0
S100a1,0.04226111739735811,305.0
Serpina1c,0.041895908210674536,306.0
LAMB2,0.037932054564165846,307.0
Vcan,0.03683943267682038,308.0
FBLN5,0.035065774139027554,309.0
Col4a2,0.03193935135466492,310.0
Crlf3,0.019811954433921745,311.0
Lman1,0.01837934259631857,312.0
C1qb,0.01677464777193635,313.0
Anxa3,0.013444218827564315,314.0
Igfbp7,0.00812253795216691,315.0
Anxa2,0.0068232678565782745,316.0
Lamc1,0.0028276151510812086,317.0
COL1A2,-0.00017688628485818057,318.0
Lama5,-0.0019786585308182447,319.0
