canonical_gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number,rank_degree_centrality,percentile_degree_centrality,rank_strength,percentile_strength,rank_betweenness_centrality,percentile_betweenness_centrality,rank_closeness_centrality,percentile_closeness_centrality,rank_harmonic_centrality,percentile_harmonic_centrality,rank_eigenvector_centrality,percentile_eigenvector_centrality,rank_pagerank,percentile_pagerank,rank_clustering_coefficient,percentile_clustering_coefficient,rank_core_number,percentile_core_number
SERPINA1,0.17275280898876405,71.97833122321943,0.00037532198675706,0.2797982212586131,232.2919587689682,0.039416468399965904,0.0012804212561873648,0.43334564013778426,98,255.0,35.764375876577844,280.0,39.27068723702665,386.0,54.137447405329596,190.0,26.64796633941094,282.0,39.55119214586255,198.0,27.769985974754558,359.0,50.350631136044875,312.0,43.75876577840112,191.0,26.788218793828893
SERPINA10,0.2584269662921348,128.63234139185155,0.0016178353008106956,0.31891199013728294,279.8326507188876,0.071567664212813,0.0020557800888774216,0.45949616658673487,100,59.0,8.274894810659186,65.0,9.1164095371669,142.0,19.91584852734923,41.0,5.750350631136045,66.0,9.256661991584853,76.0,10.659186535764375,118.0,16.54978962131837,257.0,36.044880785413746,1.0,0.1402524544179523
SERPINA3,0.21207865168539325,90.31521575931828,0.0009244773147489688,0.27820972143691036,238.87772208109766,0.04411023911538632,0.0015533080621284682,0.37250170068790345,100,139.0,19.49509116409537,226.0,31.697054698457222,219.0,30.715287517531557,196.0,27.489481065918653,260.0,36.4656381486676,187.0,26.227208976157083,272.0,38.14866760168303,423.0,59.32678821879382,1.0,0.1402524544179523
SERPINA4,0.22050561797752807,104.8518307121124,0.0013788144566127783,0.2780912862403372,251.90963250508898,0.05360244614741989,0.0017566499687661063,0.4051857056565754,100,113.0,15.848527349228611,118.0,16.54978962131837,163.0,22.861150070126225,197.0,27.629733520336607,148.0,20.75736325385694,140.0,19.635343618513325,199.0,27.910238429172512,367.0,51.472650771388494,1.0,0.1402524544179523
SERPINA5,0.14887640449438203,69.57513129454576,0.00020148864552221117,0.30501655466337235,248.67352711571922,0.020235157614893,0.001346676861412419,0.31036906514702606,59,296.0,41.51472650771388,291.0,40.813464235624124,486.0,68.16269284712483,64.0,8.976157082748948,176.0,24.684431977559605,206.0,28.892005610098177,335.0,46.984572230014024,506.0,70.96774193548387,337.0,47.26507713884993
SERPINA6,0.23314606741573032,113.57024326772118,0.0017304318968378136,0.29311006938589557,262.4958306182872,0.060775453799054864,0.0018704026918654095,0.4428884498071254,100,87.0,12.201963534361852,97.0,13.604488078541374,130.0,18.2328190743338,136.0,19.074333800841515,110.0,15.427769985974754,110.0,15.427769985974754,166.0,23.281907433380084,293.0,41.09396914446003,1.0,0.1402524544179523
SERPINA7,0.07865168539325842,39.66462757946756,0.0011160890658828363,0.2616154055788246,218.16927464903523,0.004675368615869875,0.0010350428518802726,0.3757121915530089,46,464.0,65.07713884992987,441.0,61.85133239831697,191.0,26.788218793828893,352.0,49.36886395511921,368.0,51.61290322580645,350.0,49.08835904628331,504.0,70.68723702664796,414.0,58.06451612903226,429.0,60.16830294530154
SERPINB1,0.07865168539325842,32.18113960533301,0.0009047235259722814,0.2362182913560845,198.18748727881757,0.004230898629839391,0.0009050318514009706,0.23544350782239987,39,464.0,65.07713884992987,504.0,70.68723702664796,220.0,30.855539971949508,547.0,76.71809256661992,539.0,75.5960729312763,357.0,50.07012622720898,559.0,78.40112201963534,666.0,93.40813464235625,493.0,69.14446002805049
SERPINB12,0.1095505617977528,52.536559645727785,0.001260291723952654,0.2628959936611959,223.75576930572473,0.013116900269131454,0.0010761554451794867,0.3718462113335352,59,382.0,53.576437587657786,370.0,51.89340813464236,172.0,24.1234221598878,348.0,48.80785413744741,330.0,46.28330995792426,252.0,35.34361851332398,445.0,62.41234221598878,425.0,59.60729312762973,337.0,47.26507713884993
SERPINB2,0.10393258426966293,47.236448270073154,0.0001246511104639394,0.2538904559602368,218.9975949611051,0.012753915472430384,0.001052103388686531,0.3216620308976881,49,393.0,55.11921458625526,397.0,55.68022440392707,523.0,73.35203366058906,407.0,57.082748948106584,359.0,50.350631136044875,258.0,36.18513323983169,481.0,67.46143057503507,488.0,68.44319775596072,405.0,56.80224403927069
