metric,impact_metric,spearman_rho,p_value
betweenness_centrality,delta_approx_global_efficiency,0.20774790436577106,0.16114302307174128
core_number,delta_approx_global_efficiency,0.07798363903039418,0.6023478121726691
closeness_centrality,delta_approx_global_efficiency,0.05226641998149861,0.7271565526534947
eigenvector_centrality,delta_approx_global_efficiency,0.010869565217391304,0.9421932801695434
degree_centrality,delta_approx_global_efficiency,0.0035852657684011502,0.9809183854935162
clustering_coefficient,delta_approx_global_efficiency,-0.012488436632747455,0.9336017522402233
harmonic_centrality,delta_approx_global_efficiency,-0.024861239592969472,0.8682544799165597
strength,delta_approx_global_efficiency,-0.025786308973172987,0.8633980454147694
pagerank,delta_approx_global_efficiency,-0.07712765957446809,0.6063496932350811
