gene,ko_edge_count,delta_edge_count,ko_node_count,delta_node_count,ko_component_count,delta_component_count,ko_largest_component_nodes,delta_largest_component_nodes,ko_largest_component_edges,delta_largest_component_edges,ko_approx_avg_shortest_path,delta_approx_avg_shortest_path,ko_approx_global_efficiency,delta_approx_global_efficiency,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
Serpinh1,34043,104,712,1,1,0,712,1,34043,104,3.961649473509999,-0.11348843858964264,0.2524201110387501,0.007444273774006693,0.146067415730337,66.12575871783031,0.0534023925788966,0.3390834345291846,260.4304843312742,0.0167494965835949,0.0015752818983901,0.269881582920101,59
Serpinc1,34079,68,712,1,1,0,712,1,34079,68,3.86352888862214,-0.015367853701783396,0.25883072932234047,0.0010336554904163409,0.095505617977528,40.095934958378045,0.0140587714723684,0.2975941118310846,226.02745178259536,0.0049786459487012,0.0012598374107386,0.2448942503393395,35
SERPINB1,34091,56,712,1,1,0,712,1,34091,56,3.9185974192306787,-0.07043638431032218,0.2551933493071931,0.004671035505563692,0.0786516853932584,32.18113960533301,0.0009047235259722,0.2362182913560845,198.1874872788176,0.0042308986298393,0.0009050318514009,0.2354435078223998,39
Serpina1e,34052,95,712,1,1,0,712,1,34052,95,3.927646538882284,-0.07948550396192733,0.2546053953940001,0.005258989418756688,0.1334269662921348,58.17161749777421,0.0147521294584301,0.2776956030376803,222.61158765784108,0.001002704894745,0.0014233822916344,0.4186733584961884,71
Serpina3m,34088,59,712,1,1,0,712,1,34088,59,3.8675788822498935,-0.019417847329536997,0.2585596908157354,0.0013046939970214333,0.0828651685393258,38.57734455764612,0.0031487539310039,0.2872289044618146,222.99003679636849,0.0015084047864427,0.0013091869600042,0.3062313244627641,26
Serpina3n,34020,127,712,1,1,0,712,1,34020,127,3.9174343524161035,-0.06927331749574694,0.2552691149459195,0.004595269866837337,0.1783707865168539,78.49142874383428,0.0167156560628328,0.2980870720000245,241.63671401856047,0.0014147163330599,0.0019214804440671,0.3682572098777903,77
Serpinb6a,34115,32,712,1,1,0,712,1,34115,32,3.939680952632143,-0.09151991771178647,0.25382766067183415,0.006036724140922656,0.0449438202247191,19.190669602888555,0.0017225303813271,0.2640741765618986,200.4155831299279,0.000572268356698,0.0007867581147991,0.2839043092157534,26
Serpinf1,34102,45,712,1,1,0,712,1,34102,45,3.8931783236834168,-0.045017288763060215,0.25685954170572883,0.003004843107027977,0.0632022471910112,28.658517363271685,0.0002765530428736,0.2735371939098787,211.9618607398628,0.0008845371387078,0.0010071581093732,0.3527500638287921,26
SERPINH1,34082,65,712,1,1,0,712,1,34082,65,3.9538874511321076,-0.10572641621175105,0.2529156462745727,0.006948738538184118,0.0912921348314606,36.721220431102665,0.0007822500355568,0.267704815295207,211.6943556142255,0.0036598451721308,0.0009383972108765,0.2413800152514355,46
Serpina1c,34046,101,712,1,1,0,712,1,34046,101,3.928336129029545,-0.08017509410918855,0.2545607013132656,0.00530368349949123,0.1418539325842696,73.50243834107323,0.0003377897880813,0.2328130695736663,214.79586284211385,0.0003379342677942,0.0017465972969763,0.5467726815034077,77
Serpina1d,34035,112,712,1,1,0,712,1,34035,112,4.031672035438686,-0.18351100051832958,0.24803604837147672,0.01182833644128009,0.1573033707865168,62.31692465291696,0.0011457197490478,0.2559082703393764,209.75665571511507,0.000312417371268,0.0016733648720302,0.3505954954160295,77
Serpina3k,34049,98,712,1,1,0,712,1,34049,98,3.905348130021435,-0.057187095101078445,0.25605911860014163,0.003805266212615177,0.1376404494382022,62.48566291242148,0.0019082159958279,0.2467163914117736,210.4592707525554,0.0003127130472578,0.0015038961088636,0.5107652994850227,75
Serpinb1a,34055,92,712,1,1,0,712,1,34055,92,3.883706919747015,-0.03554588482665855,0.2574859588182159,0.0023784259945409114,0.1292134831460674,51.61412796570956,0.0011575720223138,0.2308053503358211,193.77002697254923,0.0002438852023696,0.0013306654372987,0.4853049047778171,77
Serpinb9b,34028,119,712,1,1,0,712,1,34028,119,3.9055215992633747,-0.05736056434301817,0.25604774537378344,0.003816639438973368,0.1671348314606741,89.30081995431915,0.0020277264179269,0.2726001424016327,241.6308629173789,0.0005999093767307,0.001989417741584,0.5921636325361479,77
Serpini1,34015,132,712,1,1,0,712,1,34015,132,3.8655141246337488,-0.017353089713392222,0.2586978000228491,0.0011665847899077209,0.1853932584269663,103.59826712167924,4.6317391500941045e-05,0.2717907619603629,248.66066753331884,0.0006879741054075,0.0022174211190711,0.6135786963555543,77
Serpina1b,34112,35,712,1,1,0,712,1,34112,35,4.008887868122344,-0.16072683320198777,0.24944573979026588,0.01041864502249093,0.0491573033707865,20.74808588968424,0.0019082159958279,0.2534218706766493,195.5491091949056,0.0002838815281752,0.0008060415596482,0.2067960611158054,26
Serpinb8,34099,48,712,1,1,0,712,1,34099,48,3.8490601245043945,-0.0008990895840379487,0.2598036839262832,6.070088647358585e-05,0.0674157303370786,27.806070285831755,0.0008415114018868,0.2188924632034694,179.3187204140969,2.842227642171273e-05,0.001179821373403,0.216157141177209,26
Serping1,34106,41,712,1,1,0,712,1,34106,41,3.751042070229734,0.09711896469062253,0.2665925844811318,-0.006728199668375012,0.0575842696629213,26.08821531073016,0.0005135985081938,0.2505529124726611,197.8502994201184,0.0002357367173037,0.0010154460835734,0.2925620575690997,26
Serpine2,34101,46,712,1,1,0,712,1,34101,46,3.8390055293460996,0.009155505574256928,0.2604841259945595,-0.000619741181802691,0.0646067415730337,28.65873991109081,0.0007624962467801,0.257962818836029,201.56348788813915,0.0003368392860356,0.0011014254224615,0.2845856300930676,26
Serpinb6b,34122,25,712,1,1,0,712,1,34122,25,4.011514636660568,-0.1633536017402113,0.24928240093184895,0.010581983880907864,0.0351123595505618,16.61327627075695,0.0001514457139546,0.2209769157073171,179.55497143812585,2.66661929233987e-05,0.0008015874653517,0.3066545130783143,22
Serpinb9,34121,26,712,1,1,0,712,1,34121,26,3.8910850710474043,-0.04292403612704776,0.25699772216257905,0.0028666626501777648,0.0365168539325842,18.14228152536937,0.000721013290349,0.2055267193794774,169.88053813885554,7.106136030762199e-06,0.0009474412740774,0.3573512499420923,22
Serpina6,34123,24,712,1,1,0,712,1,34123,24,3.8744081251228892,-0.026247090202532686,0.2581039394161093,0.001760445396647492,0.0337078651685393,15.171644400736442,0.0002567992540969,0.2073759382690961,168.02060638720616,9.778698553968903e-06,0.0007869447462367,0.2550531066388971,21
Serpina10,34118,29,712,1,1,0,712,1,34118,29,3.873389636905529,-0.025228601985172627,0.25817180654175165,0.001692578271005163,0.0407303370786516,17.63906511867189,0.000410878806555,0.2157286694995008,173.10946135474484,3.5004928278898206e-05,0.0008439357357006,0.2094216922769641,23
Serpind1,34119,28,712,1,1,0,712,1,34119,28,3.979102056577685,-0.13094102165732835,0.2513129811151595,0.008551403697597326,0.0393258426966292,17.75833265608869,0.0015407955245816,0.238588515725594,188.18562012917147,6.278757529733772e-05,0.0008127100136197,0.2629542690780577,23
Serpinf2,34115,32,712,1,1,0,712,1,34115,32,3.786532606056843,0.061628428863513385,0.2640938568442339,-0.004229472031477111,0.0449438202247191,19.102877804590307,0.0005175492659492,0.2263484309355636,180.70560192012144,4.7590053167781406e-05,0.0008782544547785,0.1950321868188072,23
Serpina1a,34114,33,712,1,1,0,712,1,34114,33,3.8678505556983716,-0.019689520778015,0.2585415298754845,0.0013228549372722997,0.0463483146067415,20.012903991610287,0.0004503863841084,0.2357991684988203,186.08258423623937,4.752959682077319e-05,0.0008866681556894,0.2164379725800895,24
