Early_Protein,Late_Protein,Lag,F_Statistic,P_Value,Causal
Col2a1,ADAMTS5,1,4.827645545381442,0.04838005729702045,True
Col2a1,ADAMTS5,2,6.563463367084805,0.01745606507272764,True
Col2a1,ADAMTS5,3,29.78600223300084,0.0005318932879055017,True
Col2a1,Megf8,1,0.36005524045164905,0.5596365466424774,False
Col2a1,Megf8,2,1.033943076061352,0.3942758875874413,False
Col2a1,Megf8,3,1.3711738469329384,0.33857868964444976,False
Col2a1,CCL16,1,0.0,1.0,False
Col2a1,CCL16,2,6.229696320139206e-16,0.999999999999999,False
Col2a1,CCL16,3,0.0,1.0,False
Col2a1,Adamtsl4,1,1.5866298367753022e-15,0.999999971476791,False
Col2a1,Adamtsl4,2,6.197772799903524e-16,0.999999999999999,False
Col2a1,Adamtsl4,3,2.9382034014357446e-16,0.9999999999999999,False
Col2a1,Sema4b,1,0.026920802310178772,0.8724027888653779,False
Col2a1,Sema4b,2,0.020809262734076267,0.9794527353510774,False
Col2a1,Sema4b,3,0.010282974158324,0.9984092524249739,False
Col2a1,Pag1,1,0.3600552404516465,0.5596365466424782,False
Col2a1,Pag1,2,1.0339430760613062,0.39427588758745585,False
Col2a1,Pag1,3,1.371173846932978,0.33857868964443966,False
Fbn2,ADAMTS5,1,2.596541790036272,0.13307093597435737,False
Fbn2,ADAMTS5,2,2.544312549407487,0.1331013730796982,False
Fbn2,ADAMTS5,3,2.381609963757155,0.1683441536066364,False
Fbn2,Megf8,1,0.8579946717216131,0.37255480554470605,False
Fbn2,Megf8,2,8.94068673437684,0.007270424125934288,True
Fbn2,Megf8,3,5.889673985772146,0.032053521671992095,True
Fbn2,CCL16,1,0.0,1.0,False
Fbn2,CCL16,2,0.0,1.0,False
Fbn2,CCL16,3,0.0,1.0,False
Fbn2,Adamtsl4,1,0.0,1.0,False
Fbn2,Adamtsl4,2,0.0,1.0,False
Fbn2,Adamtsl4,3,2.9382034014357446e-16,0.9999999999999999,False
Fbn2,Sema4b,1,0.033543561853348995,0.857739119396126,False
Fbn2,Sema4b,2,0.03390166283358946,0.9667893962601004,False
Fbn2,Sema4b,3,0.015095371931459252,0.9971888162963355,False
Fbn2,Pag1,1,0.8579946717215585,0.3725548055447208,False
Fbn2,Pag1,2,8.940686734376916,0.0072704241259341044,True
Fbn2,Pag1,3,5.889673985772172,0.03205352167199177,True
Fgg,ADAMTS5,1,0.9905537609321262,0.3392531728691098,False
Fgg,ADAMTS5,2,0.844510205722718,0.4611802641562525,False
Fgg,ADAMTS5,3,1.6755556467856638,0.27012050741551946,False
Fgg,Megf8,1,0.3551852220325542,0.562265586131776,False
Fgg,Megf8,2,0.34867256512269973,0.7147488350928102,False
