method,horizon,mse,mae,r2
diffusion,1,0.2458933854583586,0.15248220594615675,0.01888917250442257
diffusion,2,0.31478929981849363,0.22792478682376396,-0.018486653582845625
pca,1,0.34661189366553463,0.2547569323127391,0.03000120007904339
pca,2,0.37204566708573833,0.26499541844465196,0.02393756778624745
slingshot,1,0.23841080296294162,0.18332521692368522,0.011511615224232608
slingshot,2,0.28312684704912555,0.21869700236486175,-0.018953489628421583
velocity,1,0.20575922040869712,0.1749245035811647,0.0056665674643866515
velocity,2,0.22616024283098948,0.1682319993168326,-0.0061470170287662995
