source,target,rho,abs_rho
S100A10,CALM1,-0.10090499582190261,0.10090499582190261
S100A10,CALM2,0.40361998328761045,0.40361998328761045
S100A11,CALM1,0.0,0.0
S100A11,CALM2,0.1577071062011839,0.1577071062011839
S100A12,CALM1,-0.19921493147172173,0.19921493147172173
S100A12,CALM2,-0.3018408052601845,0.3018408052601845
S100A16,CALM1,-0.0545544725589981,0.0545544725589981
S100A16,CALM2,0.08001322641986389,0.08001322641986389
S100A4,CALM1,-0.5016435572230559,0.5016435572230559
S100A4,CALM2,0.3891426124046499,0.3891426124046499
S100A8,CALM1,-0.46681241650104643,0.46681241650104643
S100A8,CALM2,-0.7717463337315688,0.7717463337315688
S100A9,CALM1,-0.5357142857142856,0.5357142857142856
S100A9,CALM2,-0.6464285714285712,0.6464285714285712
S100B,CALM1,-0.3370169612539836,0.3370169612539836
S100B,CALM2,0.6604757688943013,0.6604757688943013
CALM1,CAMK1,0.5607142857142856,0.5607142857142856
CALM1,CAMK2A,0.7571428571428571,0.7571428571428571
CALM1,CAMK2B,0.48571428571428565,0.48571428571428565
CALM1,CAMK2D,0.9535714285714283,0.9535714285714283
CALM1,CAMK2G,-0.014285714285714282,0.014285714285714282
CALM2,CAMK1,0.7571428571428571,0.7571428571428571
CALM2,CAMK2A,0.21071428571428572,0.21071428571428572
CALM2,CAMK2B,-0.5392857142857141,0.5392857142857141
CALM2,CAMK2D,0.08214285714285713,0.08214285714285713
CALM2,CAMK2G,-0.9107142857142855,0.9107142857142855
CAMK1,LOX,0.0956797325015765,0.0956797325015765
CAMK1,LOXL2,0.213056699643323,0.213056699643323
CAMK1,LOXL3,0.24292510171247597,0.24292510171247597
CAMK1,LOXL4,0.19657189765809635,0.19657189765809635
CAMK1,TGM1,0.112689462724079,0.112689462724079
CAMK1,TGM2,-0.30357142857142855,0.30357142857142855
CAMK1,TGM3,0.31893244167192164,0.31893244167192164
CAMK2A,LOX,0.04039810927844341,0.04039810927844341
CAMK2A,LOXL2,0.09878083347099521,0.09878083347099521
CAMK2A,LOXL3,-0.15125525200965487,0.15125525200965487
CAMK2A,LOXL4,-0.13019697117614173,0.13019697117614173
CAMK2A,TGM1,-0.32318487422754727,0.32318487422754727
CAMK2A,TGM2,0.13928571428571426,0.13928571428571426
CAMK2A,TGM3,0.10843703016845338,0.10843703016845338
CAMK2B,LOX,-0.4869035276191338,0.4869035276191338
CAMK2B,LOXL2,-0.6294857034916361,0.6294857034916361
CAMK2B,LOXL3,-0.6279384704643246,0.6279384704643246
CAMK2B,LOXL4,-0.5973743383375915,0.5973743383375915
CAMK2B,TGM1,-0.3465732532834882,0.3465732532834882
CAMK2B,TGM2,-0.5214285714285714,0.5214285714285714
CAMK2B,TGM3,0.2317575742815964,0.2317575742815964
CAMK2D,LOX,-0.112689462724079,0.112689462724079
CAMK2D,LOXL2,-0.22274109508165585,0.22274109508165585
CAMK2D,LOXL3,-0.22459113177191178,0.22459113177191178
CAMK2D,LOXL4,-0.17614884335595643,0.17614884335595643
CAMK2D,TGM1,-0.38909757883974444,0.38909757883974444
CAMK2D,TGM2,-0.2821428571428571,0.2821428571428571
CAMK2D,TGM3,0.37421406489505477,0.37421406489505477
CAMK2G,LOX,-0.46989379739663123,0.46989379739663123
CAMK2G,LOXL2,-0.7611934814529631,0.7611934814529631
CAMK2G,LOXL3,-0.6004375155534782,0.6004375155534782
CAMK2G,LOXL4,-0.5973743383375915,0.5973743383375915
CAMK2G,TGM1,-0.17860216733627612,0.17860216733627612
CAMK2G,TGM2,-0.4964285714285714,0.4964285714285714
CAMK2G,TGM3,-0.16797108594721208,0.16797108594721208
