model,r2_train,r2_test,mae_test,rmse_test,n_features,delta_r2_vs_model_a
model_a,0.9968482388361901,-0.7920358049479197,0.3486916884242775,0.4333781238671578,8,0.0
model_b,0.9867867692572289,0.17745846532427723,0.20960056925408863,0.2936111623873398,10,0.9694942702721969
model_c,0.9937491708692796,-0.8811374037503747,0.3964302547861555,0.44402140146233526,15,-0.08910159880245505
