effect_type,S100,CALM,CAMK,Target,total_effect,direct_effect,indirect_effect,mediated_pct,p_value
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,LOXL4,-0.024126621737538167,0.03467186662661478,0.01498657221185779,-62.11633097617002,0.4678
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,LOXL4,-0.024126621737538167,-0.03360760879101767,-0.04804670839698161,199.14395359474062,0.4036
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,LOXL4,-0.024126621737538167,-0.10125738006868483,-0.055173229100896705,228.68195017561737,0.6418
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,LOXL4,-0.024126621737538167,0.0015726652747074178,-0.02506521550265859,103.89028259045519,0.4176
S100→CALM→Target,S100A8,CALM2,,TGM1,0.005548220520699396,0.18090088081278893,-0.17535266029207966,-500.0,0.076
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,TGM1,0.005548220520699396,0.4685565365624577,-0.06282165347273568,-500.0,0.4034
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,TGM1,0.005548220520699396,-0.09824613611557302,-0.15283394324256147,-500.0,0.4296
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,TGM1,0.005548220520699396,0.3086843472915105,0.15008649571966923,500.0,0.4158
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,TGM1,0.005548220520699396,-0.05567128589303101,-0.12023626786801515,-500.0,0.6646
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,TGM1,0.005548220520699396,0.22737245141552923,0.20340383121272923,500.0,0.4146
S100→CALM→Target,S100A8,CALM2,,TGM2,-0.015510030820020521,0.17797127910692165,-0.19348130992693116,500.0,0.3046
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,TGM2,-0.015510030820020521,-0.8406848147270569,0.22246619823257124,-500.0,0.2146
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,TGM2,-0.015510030820020521,0.7184006705083003,0.29588693384909526,-500.0,0.3732
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,TGM2,-0.015510030820020521,-0.3199906926225905,-0.584875096896653,500.0,0.0064
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,TGM2,-0.015510030820020521,-0.527445165137278,-0.35852332812304566,500.0,0.2656
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,TGM2,-0.015510030820020521,0.07767318606080174,-0.43899993316997377,500.0,0.2388
S100→CALM→Target,S100A8,CALM2,,TGM3,-0.012493565784311881,0.19777422251959098,-0.21026778830389076,500.0,0.507
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK1,TGM3,-0.012493565784311881,0.5554223516794017,-0.07810743987179783,500.0,0.541
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2A,TGM3,-0.012493565784311881,0.2375584987025005,0.02178202681509373,-174.34595688002327,0.9458
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2B,TGM3,-0.012493565784311881,0.3958889221526701,0.2326931788427771,-500.0,0.2766
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2D,TGM3,-0.012493565784311881,1.2359043180582783,0.5276228813690507,-500.0,0.1028
S100→CALM→CAMK→Target,S100A8,CALM2,CAMK2G,TGM3,-0.012493565784311881,0.200068371561019,0.010041380102906266,-80.37241149772618,0.7772
S100→CALM→Target,S100A9,CALM1,,LOX,0.016697692171730213,0.0009774541113953795,0.015720238060334877,94.14617240908177,0.799
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,LOX,0.016697692171730213,0.06715743457485632,-0.012929857111381941,-77.43499507837765,0.44
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,LOX,0.016697692171730213,-0.24315725014925565,-0.3541800014574291,-500.0,0.0866
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,LOX,0.016697692171730213,0.1112854984952014,0.12098566880237249,500.0,0.181
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,LOX,0.016697692171730213,-0.027671382410659796,-0.1093087696424658,-500.0,0.6898
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,LOX,0.016697692171730213,0.16335754831759172,0.05133304116306949,307.4259642298243,0.4642
S100→CALM→Target,S100A9,CALM1,,LOXL2,-0.06507219809258073,-0.17110779165142162,0.10603559355884076,-162.95068657121405,0.2032
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,LOXL2,-0.06507219809258073,-0.14176528518279832,-0.0057327671188804104,8.80985626261492,0.5898
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,LOXL2,-0.06507219809258073,-0.5045830478662103,-0.4837913851284071,500.0,0.0488
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,LOXL2,-0.06507219809258073,-0.027582662000979873,0.1574181094199077,-241.91300437698885,0.1542
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,LOXL2,-0.06507219809258073,-0.14480418005152504,0.10036063485246695,-154.22966765265866,0.9156
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,LOXL2,-0.06507219809258073,0.039606369213042794,0.06661283666680125,-102.36758342176884,0.4268
S100→CALM→Target,S100A9,CALM1,,LOXL3,-0.005484173841464527,-0.04508773069241152,0.039603556850947,-500.0,0.4138
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,LOXL3,-0.005484173841464527,0.013145470176494872,-0.011377261841125332,207.45625813508272,0.4504
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,LOXL3,-0.005484173841464527,-0.1388016299823365,-0.13595604560853872,500.0,0.1658
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,LOXL3,-0.005484173841464527,0.0010997165325734983,0.05065831076966772,-500.0,0.2692
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,LOXL3,-0.005484173841464527,-0.09126955105641112,-0.1762053394368005,500.0,0.5836
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,LOXL3,-0.005484173841464527,0.023205959257487807,0.0215896093330527,-393.6711336504111,0.5416
S100→CALM→Target,S100A9,CALM1,,LOXL4,-0.0016639439297690848,-0.013557541835437534,0.011893597905668483,-500.0,0.7096
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,LOXL4,-0.0016639439297690848,0.03224950605444817,-0.008949512824916253,500.0,0.4816
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,LOXL4,-0.0016639439297690848,-0.06697698272431743,-0.07749859942762996,500.0,0.2226
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,LOXL4,-0.0016639439297690848,0.01424752719118238,0.030496550737288207,-500.0,0.3342
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,LOXL4,-0.0016639439297690848,-0.053399883656808506,-0.15201725071159214,500.0,0.6
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,LOXL4,-0.0016639439297690848,0.027662306215914013,0.013030785374890816,-500.0,0.5916
S100→CALM→Target,S100A9,CALM1,,TGM1,-0.038699308708856114,-0.21612702198170378,0.17742771327284815,-458.47773304602936,0.099
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,TGM1,-0.038699308708856114,-0.1361652588040692,-0.015622461128283036,40.368837711842446,0.87
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,TGM1,-0.038699308708856114,-0.14364076161552375,0.10515991112317546,-271.7358904633617,0.6546
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,TGM1,-0.038699308708856114,-0.2372137859858794,-0.023127925621144362,59.76314924677626,0.6834
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,TGM1,-0.038699308708856114,-0.3143789375839041,-0.3748772136426457,500.0,0.6224
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,TGM1,-0.038699308708856114,-0.24624869516482334,-0.00952233152079732,24.60594733729233,0.536
S100→CALM→Target,S100A9,CALM1,,TGM2,0.17081786948098623,0.0967451080836184,0.07407276139736826,43.363590485252665,0.6334
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,TGM2,0.17081786948098623,0.25616327204805606,-0.03114618751144981,-18.23356514519501,0.4218
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,TGM2,0.17081786948098623,-0.3990168026410493,-0.719229798953668,-421.0506787954791,0.0524
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,TGM2,0.17081786948098623,0.3236773360490922,0.24889886795279162,145.7100880072132,0.1394
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,TGM2,0.17081786948098623,0.011745459053852849,-0.32431359117610964,-189.85928823577152,0.5522
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,TGM2,0.17081786948098623,0.4310340103646955,0.10567838419505612,61.86611770545423,0.4146
S100→CALM→Target,S100A9,CALM1,,TGM3,-0.23258739395187586,-0.3972961405072225,0.1647087465553467,-70.81585280990174,0.5596
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK1,TGM3,-0.23258739395187586,-0.5403594090015261,0.027950863789389442,-12.017359717772448,0.8472
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2A,TGM3,-0.23258739395187586,-0.41007317221520356,-0.0185363614020535,7.969632870940897,0.797
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2B,TGM3,-0.23258739395187586,-0.4086819635226956,-0.012487950630321328,5.369143365054936,0.6632
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2D,TGM3,-0.23258739395187586,-0.2417558791185279,0.593459165058133,-255.1553439654276,0.5946
S100→CALM→CAMK→Target,S100A9,CALM1,CAMK2G,TGM3,-0.23258739395187586,-0.41540905851673565,-0.005726016913040126,2.4618775831956237,0.7392
S100→CALM→Target,S100A9,CALM2,,LOX,0.016697692171730213,0.13605871384034385,-0.1193610216684508,-500.0,0.1178
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,LOX,0.016697692171730213,0.08006219190798962,0.047441263990375966,284.11868839393094,0.4336
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,LOX,0.016697692171730213,0.1621148957559135,0.004818026698743231,28.854446765405832,0.5768
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,LOX,0.016697692171730213,-0.013288339246420094,-0.14064134400105455,-500.0,0.2108
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,LOX,0.016697692171730213,0.15620818439334727,0.0048302698440726025,28.927769145549476,0.8866
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,LOX,0.016697692171730213,0.0889971834354255,-0.1906646393154291,-500.0,0.1338
S100→CALM→Target,S100A9,CALM2,,LOXL2,-0.06507219809258073,0.09662698481804724,-0.16169918291040927,248.49196377284443,0.0598
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,LOXL2,-0.06507219809258073,-0.07839404446571424,0.14828097473915605,-227.87147059054465,0.1756
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,LOXL2,-0.06507219809258073,0.10647802943863235,0.00182154838137984,-2.7992728611814415,0.674
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,LOXL2,-0.06507219809258073,-0.22799692963575866,-0.30570100099103964,469.7874206678972,0.1138
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,LOXL2,-0.06507219809258073,0.02962594980609255,-0.016061617008003234,24.682763881975756,0.7954
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,LOXL2,-0.06507219809258073,0.023379866715069787,-0.29675268173059494,456.0360498478834,0.067
S100→CALM→Target,S100A9,CALM2,,LOXL3,-0.005484173841464527,0.07034608324394893,-0.07583025708531063,500.0,0.0226
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,LOXL3,-0.005484173841464527,0.04369426991044546,0.022579897260461973,-411.72832797058277,0.478
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,LOXL3,-0.005484173841464527,0.07087040815567211,9.695247876922323e-05,-1.7678593270729082,0.9454
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,LOXL3,-0.005484173841464527,0.022850876027913237,-0.04472662592534728,500.0,0.387
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,LOXL3,-0.005484173841464527,0.05837167941317486,-0.0028705271223610643,52.34201550391593,0.7948
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,LOXL3,-0.005484173841464527,0.06019871656706592,-0.04111094541103698,500.0,0.3
S100→CALM→Target,S100A9,CALM2,,LOXL4,-0.0016639439297690848,0.04435368794705165,-0.04601763187675843,500.0,0.0732
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,LOXL4,-0.0016639439297690848,0.044523524550841374,-0.00014388863594633677,8.647444987302249,0.8922
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,LOXL4,-0.0016639439297690848,0.04796754599036231,0.0006682354534808154,-40.159733842326666,0.9956
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,LOXL4,-0.0016639439297690848,0.0374728818004715,-0.006479711546071453,389.41886382978544,0.7764
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,LOXL4,-0.0016639439297690848,0.05099747963504964,0.0015926625246286236,-95.71611736037565,0.9466
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,LOXL4,-0.0016639439297690848,0.04068708181502776,-0.014854853415297771,500.0,0.5272
S100→CALM→Target,S100A9,CALM2,,TGM1,-0.038699308708856114,0.04666056037498977,-0.08535986908373136,220.572077206633,0.4084
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,TGM1,-0.038699308708856114,-0.011381294914195995,0.049174107323923494,-127.06714658360366,0.4304
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,TGM1,-0.038699308708856114,-0.013505443468540877,-0.011125245203298498,28.74791714497099,0.8088
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,TGM1,-0.038699308708856114,0.06497880294812931,0.017250439175025757,-44.57557447551535,0.9838
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,TGM1,-0.038699308708856114,-0.09072932952295697,-0.03293536871369179,85.10583215186664,0.5458
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,TGM1,-0.038699308708856114,0.0878030453866044,0.16668427477464676,-430.7164141578116,0.6406
S100→CALM→Target,S100A9,CALM2,,TGM2,0.17081786948098623,0.44221913989120104,-0.27140127040985007,-158.88341848219795,0.0228
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,TGM2,0.17081786948098623,0.312396338308916,0.10998822050548475,64.38917710405441,0.384
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,TGM2,0.17081786948098623,0.48302077478982286,0.007544596016847399,4.416748692493902,0.396
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,TGM2,0.17081786948098623,0.1349100743237148,-0.28939546587508674,-169.41755962323333,0.245
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,TGM2,0.17081786948098623,0.4533344110216401,0.002664574178765087,1.5598919403813785,0.7204
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,TGM2,0.17081786948098623,0.3533368544114414,-0.36009685100991673,-210.8074829079865,0.2396
S100→CALM→Target,S100A9,CALM2,,TGM3,-0.23258739395187586,-0.24403363769074443,0.011446243738856493,-4.921265742039662,0.7458
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK1,TGM3,-0.23258739395187586,-0.4547043446986688,0.17848402510258304,-76.7384775545973,0.4898
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2A,TGM3,-0.23258739395187586,-0.29292183248459647,-0.00903987501054338,3.8866573363876293,0.9458
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2B,TGM3,-0.23258739395187586,-0.5141433261553463,-0.2543645075563777,109.36298104316336,0.4734
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2D,TGM3,-0.23258739395187586,-0.43497367147926785,-0.04577251222565455,19.679704668398855,0.7874
S100→CALM→CAMK→Target,S100A9,CALM2,CAMK2G,TGM3,-0.23258739395187586,-0.2695388854810038,-0.10333171974558836,44.42705083447837,0.6272
S100→CALM→Target,S100A10,CALM1,,LOX,0.2531675155282568,0.25555678927407116,-0.0023892737458123025,-0.9437521005911316,0.9252
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK1,LOX,0.2531675155282568,0.25383719374155783,0.00030999811140234825,0.12244782303744986,0.8846
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2A,LOX,0.2531675155282568,0.2019171333364581,0.007911639692958454,3.1250611582019547,0.8682
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2B,LOX,0.2531675155282568,0.12386436201173491,-0.003986343744949857,-1.5745873780970643,0.8576
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2D,LOX,0.2531675155282568,0.296650326237158,0.027931614284140437,11.032858708534787,0.8492
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2G,LOX,0.2531675155282568,0.21903538247044402,0.0001949508339631162,0.07700467951282523,0.9452
S100→CALM→Target,S100A10,CALM1,,LOXL2,0.42171074640757134,0.4259283233341996,-0.004217576926624164,-1.0001113233543253,0.766
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK1,LOXL2,0.42171074640757134,0.41496813277224986,0.0019758357768298435,0.4685286760324232,0.8534
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2A,LOXL2,0.42171074640757134,0.4432820511379386,-0.002559607054015713,-0.606957986207429,0.6962
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2B,LOXL2,0.42171074640757134,0.3442296955415698,-0.0024730261309814225,-0.5864271072170671,0.9412
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2D,LOXL2,0.42171074640757134,0.42559265776695043,-0.00022815464050738614,-0.05410216420875394,0.8112
S100→CALM→CAMK→Target,S100A10,CALM1,CAMK2G,LOXL2,0.42171074640757134,0.33424237469354323,0.0004894185003963287,0.1160554964666041,0.9054
S100→CALM→Target,S100A10,CALM1,,LOXL3,0.1027265461298369,0.10506708226704099,-0.0023405361372020946,-2.2784141250537835,0.8694
