Candidate_Index,Velocity,Posterior_Weight
1,1.186435355652691,0.03298727081931018
2,1.3483618382854905,0.10156552762692336
3,1.4459533416596355,0.0977556820762414
4,1.449479842265239,0.09402061623109988
5,1.6346478411541698,0.09249375011944816
6,1.6514273463924554,0.0858416672093934
7,1.6979697582453006,0.08064997031267104
8,1.6983804366068975,0.07524195915228427
9,1.7894837018395124,0.07051913391482778
10,1.870316585116976,0.06435234696758166
11,1.8983645516982757,0.057141982369189846
12,1.9552397727644704,0.0499329100476425
13,2.091129248165303,0.04216998634109657
14,2.0921174870763606,0.03241172765669948
15,2.1738021055823493,0.022915469155590493
