Marker_Set,Preferred_Phase,Mean_Phase_I,Mean_Phase_II,Odds_Ratio,P_Value,Genes_Considered
Metabolic,Phase_I,0.1428179682249006,0.1371004540023162,0.4166666666666667,0.6199095022624433,373
Mechanical,Phase_I,-0.04697267673779812,-0.3193292788219162,0.2222222222222222,0.28005817711700065,25
