Index,Velocity,SSE
1,1.186435355652691,6.715319863207604
2,1.3483618382854905,6.223751775839005
3,1.4459533416596355,5.912579394375449
4,1.449479842265239,5.67478446468778
5,1.6346478411541698,5.368636944603767
6,1.6514273463924554,5.2786183426288105
7,1.6979697582453006,5.144263570530707
8,1.6983804366068975,5.01213441861788
9,1.7894837018395124,4.8061467005368534
10,1.870316585116976,4.662199569797771
11,1.8983645516982757,4.560494385381638
12,1.9552397727644704,4.394891583066893
13,2.091129248165303,4.180996258204071
14,2.0921174870763606,4.033873263035315
15,2.1738021055823493,3.4707840994864343
