Method,LOO_tau,Protein_subset_tau,Noise_tau,Overall_robustness
PCA (Codex),0.5205882352941176,0.2401960784313725,0.3261029411764705,0.36229575163398686
Diffusion,0.03529411764705882,0.009803921568627453,-0.059926470588235276,-0.004942810457516334
Velocity (H03),0.03137254901960784,-0.053921568627450976,0.0018382352941176466,-0.006903594771241829
