,Velocity (H03),PCA (Codex),Slingshot,Autoencoder,Diffusion
Velocity (H03),0.9999999999999999,-0.2352941176470588,-0.2352941176470588,0.41176470588235287,0.30882352941176466
PCA (Codex),-0.2352941176470588,0.9999999999999999,0.9999999999999999,0.0,-0.48529411764705876
Slingshot,-0.2352941176470588,0.9999999999999999,0.9999999999999999,0.0,-0.48529411764705876
Autoencoder,0.41176470588235287,0.0,0.0,0.9999999999999999,0.30882352941176466
Diffusion,0.30882352941176466,-0.48529411764705876,-0.48529411764705876,0.30882352941176466,0.9999999999999999
