Method,MSE,R2,MSE_std,R2_std,n_sequences
PCA (Codex),0.16750694811344147,0.29423183,0.03496729003279835,0.15017334,11
Slingshot,0.17518030603726706,0.26259172,0.02456251239707923,0.09242974,11
Diffusion,0.18523250023523966,0.20227076,0.007194525383139575,0.061615624,11
Autoencoder,0.20079166690508524,0.17140973,0.021436419576120587,0.0682317,11
Velocity (H03),0.17942907909552255,0.11523207,0.012206260777178833,0.03929966,11
