Tissue,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Brain_Cortex,-0.01833810185046764,0.7265272950370567,-0.025898152065627546,-1.1934660762387024,-0.2223105833669908,-0.26432206905140815,-0.10639744089143835,0.8006984958755731,-0.779731223124321,0.634033428471763
Brain_Hippocampus,-0.020843016042820274,0.8194195825904681,-0.029135524644611263,-1.3013935914340877,-0.2717915310434741,-0.3085565873680691,-0.11945617419481779,0.8871406993704886,-0.8564086918854573,0.696256996672308
Heart_Decellularized_Tissue,0.045173597644679625,-1.212733397954352,0.04011303259806445,4.1018450363565915,-1.7132611234203325,-0.8472621367663863,-0.04462571588767494,0.4457217815888982,0.8236792585509749,0.4452596501530538
Heart_Native_Tissue,-2.1619122039894205,6.111660169157209,-0.08398339986465375,1.6057352688055366,1.6125351248419317,1.3286048395888006,0.3149161769492909,-0.6420257939015712,-0.018255034495194437,0.0992860574896343
Intervertebral_disc_IAF,7.04021979938377,-0.11448572085622118,-1.2337498856494709,-0.2062624812349737,0.32341587987855874,-1.4331408796851581,2.609485138914507,0.5250873191085209,0.015485117027077144,-0.7757706032494628
Intervertebral_disc_NP,11.124873543297925,0.06301871606619523,2.134193318107544,-0.46416354325435205,-1.7700727465112454,1.7118778455492685,-1.2359913629906287,-0.5634353982496034,-0.015059752384549476,-0.04995614607866711
Intervertebral_disc_Nucleus_pulposus,-0.3402899679362204,0.5347645219473712,0.07179919461843604,0.48133032263434067,0.3342985498067519,1.104735559662741,0.13785421621559737,1.5813551279799676,0.043310611620920446,0.40840986759577885
Intervertebral_disc_OAF,2.55734670870169,-0.4072007261418402,-1.459874925391714,-0.14507734532802385,1.3631591506772995,-3.0705135654237523,-0.8712524893048433,-1.0915912650992372,-0.030404058884447964,0.7195536005507877
Kidney_Glomerular,-4.389817406906021,-1.1442994083535887,-3.6854573625706397,-0.8187839368971668,-2.0350698436482255,1.043849988207272,0.3391912049257419,-0.8738176733536435,-0.024282796231091624,0.8395860243852585
Kidney_Tubulointerstitial,-5.073365920889711,-0.8619937705344312,-1.4038836856816175,-0.5503006279490309,-1.2623705396596467,0.5544279316586175,0.022029835935780152,0.0997335304824496,0.0042535210147171465,-1.404293248468618
Lung,-0.12725003191361736,2.9864301973704275,-0.08893852453974234,-0.511310895612624,-1.4123614126538433,-0.9721205955541052,-0.06536747822286569,-0.5887549673040212,-0.12408077414104322,-0.7816218119084618
Ovary,-0.028208271823735483,0.8688267281391209,-0.02920903969112659,-1.4581131253697632,0.027171576781032707,-0.10681299142126212,-0.07109349424848442,0.49378485464117566,1.3931526943839798,0.48985685024188536
Ovary_Cortex,-2.649757267343062,-0.2815666244949758,-0.01729766948876016,0.06155421062350037,0.7941270106106847,-1.1107839003341562,-2.3997500136260066,0.7709099397814246,0.022872521989611438,-0.9215889845656693
Skeletal_muscle_EDL,0.13137227055428338,-3.3106774057848107,0.10130901484204459,0.357445490273631,2.155865797922462,1.4845054576793257,0.1768774927362931,-0.22046878124820096,-0.056813776412032134,0.14533744543289617
Skeletal_muscle_Gastrocnemius,0.05717704246409213,-1.3666223216067368,0.04035746438312734,-1.0834320777527926,1.5950273059178113,0.9933154432977638,0.09665374624360429,-0.30714911521487853,0.36198251127942815,-0.2011090777271291
Skeletal_muscle_Soleus,0.036837008583335426,-0.982047794147161,0.030695145529308465,0.07473909252062211,0.7748463734137948,0.5360396083490185,0.08166939047310023,-0.43676913442812887,1.1240778070840374,-0.3245100695667628
Skeletal_muscle_TA,0.05443892652151883,-1.543819111778152,0.05004667132560407,1.6875443762688933,0.31019090850403314,0.3512796456148762,0.09751057227759165,-0.35777783589704965,-1.8696020402559657,-0.24508724871160234
Skin dermis,-6.237656708456218,-0.8852009286555779,5.588914328183835,-0.6378900964115963,-0.6033998980506037,-0.9951235940033861,1.0377463946952534,-0.5226417841321599,-0.014175895136643229,0.22635726928300762
