Model,Val R²,Val MAE,Val RMSE,Test R²,Test MAE,Test RMSE
AE + LSTM,-0.54511559009552,0.5220629572868347,0.5859684490931195,-0.00024580955505371094,0.4671296775341034,0.47146246036651046
Full Model,-1.122148036956787,0.5876603126525879,0.6867230099490578,-1.5488672256469727,0.6456358432769775,0.7526054426312218
AE Only,-1.2514455318450928,0.6189436912536621,0.7073339162201536,-0.32100343704223633,0.5310836434364319,0.5418083910278576
Random Forest,-1.4203999999999994,0.7200000000000001,0.7333939368897636,,,
Ridge,-1.4671518802642822,0.6484304666519165,0.740443097080931,,,
Baseline NN,-67.52503204345703,3.123281240463257,3.9022795984075707,-4.090285301208496,0.8464292883872986,1.0635669063869806
