dataset_id,sample_id,tissue,phase,velocity,is_control,ATP,Lactate,Lactate/Pyruvate,NAD+,NADH,Pyruvate,COL1A1,COL3A1,COL4A1,COL5A1,ELN,FN1,LAMC1,LOX,MMP2,MMP9,PLOD1,TGM2
ST000828,S00015475,Lung,Phase II,4.162418661183056,True,0.0,0.0,,0.0,0.0,0.0,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015476,Lung,Phase II,4.162418661183056,True,0.0,0.0,130.48911880032335,0.0,0.0,0.0,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015477,Lung,Phase II,4.162418661183056,True,0.0,0.0,216.143185928233,0.0,0.0,0.0,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015478,Lung,Phase II,4.162418661183056,True,0.0,0.0,411.2061154713352,0.0,0.0,0.0,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015479,Lung,Phase II,4.162418661183056,True,0.0,0.0,1073.5756204598204,0.0,0.0,0.0,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015480,Lung,Phase II,4.162418661183056,False,-47.74944454734018,73.07990719005349,973.0963671918196,-2.984509841423531,-76.19955116244242,-3.3439145646344883,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015481,Lung,Phase II,4.162418661183056,False,-41.13719970193964,-65.73433450020396,145.1704433560695,-0.10637654431171839,-71.08090571684188,-5.149728567736176,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015482,Lung,Phase II,4.162418661183056,False,-48.07402565552157,,,-7.482621814002908,-56.601954481477875,-66.40783903825626,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015483,Lung,Phase II,4.162418661183056,False,-56.25444747734135,-78.58156578430038,5.411930442441733,-12.156510300152105,-65.11058619409911,-1.8513096352747525,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST000828,S00015484,Lung,Phase II,4.162418661183056,False,-47.45384106260157,421.8319236438066,2493.363908472261,2.8624072433336973,-69.79627707653165,0.08812996722873123,-0.0269701266414517,-0.3754952309335128,0.4137018076850522,-0.2533428647562274,0.0570920117346701,0.020827339803569135,0.1478479565737385,-0.7757171877897789,-0.1237422672072595,0.3519884784689476,-0.1688555050679134,-0.1301823125645501
ST001329,JW25-NP,Heart_Native_Tissue,Phase I,1.6346478411541698,False,-42.33190846805716,6.8863570059118615,-91.52968628732052,-21.191471624685658,-13.795973213160948,-98.40013265252428,-1.338262750794401,-0.3441444660360284,-0.0339959488116695,0.1268989751409802,3.945081831498672,0.9682505202800582,-0.7694194672625025,0.0,0.0,-0.3546009504496286,-0.1517013643822191,-0.2353143263570894
ST001329,JW25-R,Heart_Native_Tissue,Phase I,1.6346478411541698,False,-40.55229667270006,-6.353343678543197,-99.30655012215556,-17.91538790271017,-25.89609896247831,-60.0109368935139,-1.338262750794401,-0.3441444660360284,-0.0339959488116695,0.1268989751409802,3.945081831498672,0.9682505202800582,-0.7694194672625025,0.0,0.0,-0.3546009504496286,-0.1517013643822191,-0.2353143263570894
ST001329,JW37-LB,Heart_Native_Tissue,Phase I,1.6346478411541698,False,-1.8719045580526792,-2.70719762160671,-99.8268101999306,-17.13472030829694,-25.678590799400812,16.641621683581654,-1.338262750794401,-0.3441444660360284,-0.0339959488116695,0.1268989751409802,3.945081831498672,0.9682505202800582,-0.7694194672625025,0.0,0.0,-0.3546009504496286,-0.1517013643822191,-0.2353143263570894
ST001329,JW41-RF,Heart_Native_Tissue,Phase I,1.6346478411541698,False,-35.6632866361993,-9.96998378471055,-99.5326466366216,-13.745289738597693,-21.428119408493114,-54.705331752061134,-1.338262750794401,-0.3441444660360284,-0.0339959488116695,0.1268989751409802,3.945081831498672,0.9682505202800582,-0.7694194672625025,0.0,0.0,-0.3546009504496286,-0.1517013643822191,-0.2353143263570894
