metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
5-6-Dihydrouracil,590000.0,,52400.0,,497000.0,,594000.0,,46800.0,,34700.0,,784000.0,,775000.0,,32600.0,,806000.0,,803000.0,,27200.0,,913000.0,,821000.0,,55300.0,,679000.0,
5-Hydroxyindoleacetate,,15800.0,,34700.0,,86900.0,,45400.0,,115000.0,,53100.0,,35300.0,,35500.0,,422000.0,,47400.0,,25300.0,,143000.0,,31000.0,,19200.0,,242000.0,,29800.0
5-Hydroxyisourate,2600000.0,,1590000.0,,3080000.0,,1330000.0,,957000.0,,676000.0,,3630000.0,,3470000.0,,25800.0,,4270000.0,,2860000.0,,85400.0,,2760000.0,,3850000.0,,470000.0,,2390000.0,
5-L-Glutamyl-taurine,,38600.0,,96000.0,,66500.0,,0.0,,43000.0,,54300.0,,108000.0,,51400.0,,44100.0,,19200.0,,0.0,,20100.0,,28300.0,,26000.0,,62000.0,,23800.0
5-Methylthioadenosine,416000.0,,1020000.0,,238000.0,,453000.0,,991000.0,,655000.0,,291000.0,,204000.0,,547000.0,,225000.0,,267000.0,,618000.0,,225000.0,,247000.0,,504000.0,,251000.0,
5-Oxoproline,34500000.0,,16700000.0,,39800000.0,,34800000.0,,15200000.0,,13300000.0,,44200000.0,,52200000.0,,7760000.0,,48900000.0,,60200000.0,,12800000.0,,43800000.0,,52300000.0,,11000000.0,,50600000.0,
6-Phospho-D-gluconate,,416000.0,,245000.0,,200000.0,,461000.0,,136000.0,,228000.0,,403000.0,,182000.0,,328000.0,,245000.0,,304000.0,,405000.0,,253000.0,,165000.0,,183000.0,,206000.0
ADP,,2670000.0,,690000.0,,1350000.0,,3000000.0,,473000.0,,680000.0,,1380000.0,,1070000.0,,489000.0,,1240000.0,,647000.0,,573000.0,,1110000.0,,440000.0,,431000.0,,851000.0
ADP-D-ribose,,3460000.0,,3410000.0,,4310000.0,,7430000.0,,1030000.0,,2010000.0,,6090000.0,,5610000.0,,1840000.0,,4130000.0,,5780000.0,,2430000.0,,7480000.0,,5550000.0,,2190000.0,,9510000.0
AMP,5450000.0,,25400000.0,,1450000.0,,5120000.0,,25100000.0,,18300000.0,,4140000.0,,4620000.0,,18600000.0,,3140000.0,,2500000.0,,32200000.0,,1560000.0,,1350000.0,,11700000.0,,4210000.0,
ATP,,5370000.0,,31300.0,,196000.0,,1190000.0,,56000.0,,99400.0,,708000.0,,433000.0,,114000.0,,267000.0,,735000.0,,93600.0,,164000.0,,483000.0,,42600.0,,147000.0
Acetoacetate,,149000.0,,362000.0,,998000.0,,54200.0,,370000.0,,331000.0,,599000.0,,372000.0,,504000.0,,625000.0,,176000.0,,316000.0,,747000.0,,441000.0,,785000.0,,592000.0
Acetylcarnitine,99000000.0,,78100000.0,,120000000.0,,200000000.0,,55400000.0,,38400000.0,,98900000.0,,98100000.0,,58100000.0,,142000000.0,,122000000.0,,57600000.0,,179000000.0,,101000000.0,,45100000.0,,138000000.0,
Acetylcholine,,449.0,,921.0,,1270.0,,0.0,,0.0,,0.0,,1540.0,,0.0,,3510.0,,480.0,,535.0,,1960.0,,0.0,,0.0,,1120.0,,0.0
