metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
Guanosine,293000.0,,836000.0,,886000.0,,622000.0,,897000.0,,1090000.0,,1190000.0,,39100.0,,918000.0,,57700.0,,69400.0,,823000.0,,111000.0,,58400.0,,1020000.0,,82100.0,
HETE,,27800.0,,212000.0,,211000.0,,23200.0,,373000.0,,467000.0,,29200.0,,1100.0,,1710000.0,,6110.0,,1220.0,,701000.0,,89900.0,,10100.0,,1170000.0,,19500.0
HODE,,21800.0,,283000.0,,212000.0,,74100.0,,167000.0,,99500.0,,68900.0,,21500.0,,417000.0,,16500.0,,12500.0,,242000.0,,147000.0,,55900.0,,251000.0,,45600.0
Heptadecanoyl carnitine,4040.0,,16800.0,,13400.0,,12100.0,,16400.0,,10500.0,,21400.0,,7620.0,,8030.0,,12500.0,,3300.0,,6640.0,,21600.0,,3190.0,,10300.0,,6110.0,
Hexadecadienoylcarnitine,295000.0,,3050.0,,178000.0,,126000.0,,1940.0,,0.0,,211000.0,,61000.0,,0.0,,139000.0,,38900.0,,1950.0,,92300.0,,54900.0,,0.0,,47400.0,
Hexadecanoic acid,,12100000.0,,12400000.0,,10300000.0,,21600000.0,,6200000.0,,12000000.0,,8120000.0,,10100000.0,,10300000.0,,7870000.0,,6660000.0,,12800000.0,,6990000.0,,6390000.0,,15800000.0,,7530000.0
Hexadecenoic acid,,637000.0,,532000.0,,1900000.0,,1040000.0,,660000.0,,576000.0,,875000.0,,919000.0,,1080000.0,,912000.0,,597000.0,,555000.0,,670000.0,,791000.0,,1200000.0,,2190000.0
Hexadecenoyl carnitine,188000.0,,717000.0,,345000.0,,933000.0,,72300.0,,376000.0,,573000.0,,21000.0,,406000.0,,46400.0,,514000.0,,402000.0,,95000.0,,693000.0,,23700.0,,472000.0,
Hexanoic acid,,500000.0,,414000.0,,655000.0,,1610000.0,,567000.0,,496000.0,,554000.0,,582000.0,,435000.0,,553000.0,,358000.0,,490000.0,,255000.0,,310000.0,,537000.0,,407000.0
Hexanoylcarnitine,1110000.0,,781000.0,,1460000.0,,1300000.0,,325000.0,,240000.0,,1830000.0,,1520000.0,,284000.0,,1160000.0,,1200000.0,,351000.0,,971000.0,,1420000.0,,302000.0,,1910000.0,
Hexenoylcarnitine,41400.0,,39200.0,,20000.0,,35700.0,,39700.0,,43300.0,,58400.0,,32600.0,,44700.0,,44300.0,,40500.0,,29600.0,,54100.0,,61500.0,,45200.0,,53900.0,
Homocarnosine,,8970000.0,,12700.0,,2990000.0,,8160000.0,,5050.0,,107000.0,,4290000.0,,8510000.0,,1290.0,,8720000.0,,8460000.0,,3310.0,,8850000.0,,5320000.0,,6030.0,,8600000.0
Homovanillate,,112000.0,,57700.0,,139000.0,,231000.0,,55400.0,,30900.0,,105000.0,,107000.0,,18800.0,,78000.0,,72100.0,,19100.0,,94800.0,,71400.0,,33500.0,,137000.0
Hydroxydecanoyl carnitine,67700.0,,158000.0,,288000.0,,146000.0,,97600.0,,69900.0,,518000.0,,352000.0,,120000.0,,507000.0,,249000.0,,93100.0,,245000.0,,149000.0,,68100.0,,707000.0,
Hydroxydodecanoyl carnitine,9830.0,,40000.0,,61300.0,,23900.0,,28700.0,,13100.0,,115000.0,,94000.0,,16300.0,,153000.0,,114000.0,,30700.0,,61200.0,,44300.0,,16700.0,,157000.0,
Hydroxyhexadecanoyl carnitine,127000.0,,86400.0,,95400.0,,154000.0,,63000.0,,60500.0,,62600.0,,156000.0,,93900.0,,111000.0,,78800.0,,57600.0,,110000.0,,35700.0,,47000.0,,333000.0,
Hydroxyhexadecenoylcarnitine,15500.0,,0.0,,0.0,,3180.0,,0.0,,7350.0,,5470.0,,0.0,,1540.0,,0.0,,771.0,,0.0,,0.0,,0.0,,4700.0,,920.0,
Hydroxyisovaleroyl carnitine,197000.0,,98800.0,,124000.0,,270000.0,,63500.0,,72000.0,,141000.0,,171000.0,,57200.0,,234000.0,,237000.0,,72700.0,,241000.0,,249000.0,,98500.0,,263000.0,
Hydroxynonanoyl carnitine,38900.0,,30900.0,,21500.0,,41000.0,,31600.0,,38500.0,,25200.0,,17700.0,,41000.0,,24800.0,,23300.0,,21100.0,,28900.0,,26400.0,,25100.0,,25200.0,
Hydroxyoctadecenoylcarnitine,63700.0,,441000.0,,344000.0,,187000.0,,139000.0,,67900.0,,135000.0,,45800.0,,111000.0,,136000.0,,751000.0,,466000.0,,226000.0,,467000.0,,34100.0,,133000.0,
Hydroxyoctanoyl carnitine,114000.0,,170000.0,,156000.0,,153000.0,,115000.0,,57500.0,,254000.0,,230000.0,,95100.0,,293000.0,,187000.0,,102000.0,,176000.0,,195000.0,,85800.0,,345000.0,
Hydroxyundecanoyl carnitine,3480.0,,6600.0,,4250.0,,5590.0,,3500.0,,5650.0,,5370.0,,3400.0,,8440.0,,8710.0,,3770.0,,8710.0,,6120.0,,3580.0,,8600.0,,5040.0,
Hypotaurine,1530000.0,,1060000.0,,1480000.0,,1010000.0,,844000.0,,658000.0,,2040000.0,,1510000.0,,660000.0,,1640000.0,,1970000.0,,724000.0,,1760000.0,,1570000.0,,771000.0,,1410000.0,
Hypoxanthine,32100000.0,,24500000.0,,84600000.0,,48800000.0,,47500000.0,,41000000.0,,88300000.0,,23200000.0,,50400000.0,,23300000.0,,29100000.0,,26400000.0,,28900000.0,,26300000.0,,48500000.0,,24300000.0,
IDP,,11900.0,,10200.0,,9150.0,,23300.0,,23400.0,,13600.0,,34700.0,,0.0,,2750.0,,4010.0,,6540.0,,23700.0,,0.0,,115000.0,,16600.0,,1710.0
IMP,30300000.0,,3460000.0,,47300000.0,,57400000.0,,4770000.0,,3980000.0,,44700000.0,,64900000.0,,850000.0,,54900000.0,,62200000.0,,1140000.0,,62000000.0,,57700000.0,,1100000.0,,46800000.0,
ITP,,16700.0,,0.0,,6990.0,,45700.0,,28300.0,,28200.0,,140000.0,,16400.0,,38300.0,,27900.0,,19600.0,,44100.0,,0.0,,25300.0,,46700.0,,2880.0
Indole-5-6-quinone,,136000.0,,143000.0,,111000.0,,112000.0,,120000.0,,132000.0,,91700.0,,184000.0,,115000.0,,161000.0,,86500.0,,153000.0,,94200.0,,99200.0,,108000.0,,115000.0
Inosine,6730000.0,,2080000.0,,17600000.0,,11300000.0,,4800000.0,,5690000.0,,16600000.0,,3140000.0,,5010000.0,,3790000.0,,4830000.0,,2340000.0,,4680000.0,,4040000.0,,4020000.0,,3170000.0,
Isovalerylcarnitine,1210000.0,,1110000.0,,722000.0,,943000.0,,642000.0,,666000.0,,1170000.0,,1090000.0,,639000.0,,363000.0,,275000.0,,436000.0,,826000.0,,746000.0,,979000.0,,1240000.0,
Itaconate,,264000.0,,1030000.0,,477000.0,,717000.0,,890000.0,,676000.0,,424000.0,,200000.0,,733000.0,,226000.0,,181000.0,,569000.0,,240000.0,,154000.0,,152000.0,,271000.0
Kynurenic acid,,1120.0,,1800.0,,1890.0,,4150.0,,1550.0,,1340.0,,1130.0,,1850.0,,142000.0,,2230.0,,3680.0,,49300.0,,5490.0,,4230.0,,53500.0,,2000.0
Kynurenine,19200.0,,31300.0,,59800.0,,23800.0,,26600.0,,25400.0,,18600.0,,9960.0,,24100.0,,14100.0,,10300.0,,25500.0,,11800.0,,11700.0,,35300.0,,18700.0,
L-Adrenaline,6000.0,,8940.0,,16700.0,,6990.0,,9260.0,,6390.0,,16800.0,,26300.0,,8610.0,,4660.0,,16100.0,,7950.0,,9900.0,,16800.0,,4990.0,,17000.0,
L-Carnitine,111000000.0,,70100000.0,,79300000.0,,96000000.0,,43800000.0,,43800000.0,,97000000.0,,110000000.0,,47200000.0,,168000000.0,,110000000.0,,64800000.0,,164000000.0,,99100000.0,,62700000.0,,149000000.0,
L-Citrulline,8180000.0,,2060000.0,,4880000.0,,7760000.0,,1850000.0,,1820000.0,,7060000.0,,9200000.0,,1080000.0,,9530000.0,,8320000.0,,1580000.0,,10100000.0,,8450000.0,,2150000.0,,8040000.0,
L-Homocysteine,40500.0,,51400.0,,52400.0,,96700.0,,53200.0,,23900.0,,34000.0,,68500.0,,19300.0,,50900.0,,41700.0,,32300.0,,47200.0,,30100.0,,27100.0,,37500.0,
L-Methionine S-oxide,137000.0,,307000.0,,210000.0,,226000.0,,329000.0,,162000.0,,142000.0,,162000.0,,383000.0,,134000.0,,127000.0,,261000.0,,178000.0,,162000.0,,406000.0,,301000.0,
L-alanine,31700000.0,,7500000.0,,26900000.0,,29300000.0,,7690000.0,,6570000.0,,39900000.0,,37600000.0,,4290000.0,,28900000.0,,33200000.0,,4330000.0,,50000000.0,,28100000.0,,6260000.0,,44700000.0,
L-arginine,3180000.0,,2670000.0,,4070000.0,,3950000.0,,1380000.0,,980000.0,,3610000.0,,4160000.0,,2390000.0,,2640000.0,,4500000.0,,1940000.0,,4290000.0,,4730000.0,,3780000.0,,4960000.0,
L-asparagine,1940000.0,,956000.0,,2380000.0,,2010000.0,,1380000.0,,893000.0,,2310000.0,,1640000.0,,634000.0,,1180000.0,,1470000.0,,574000.0,,1520000.0,,1610000.0,,878000.0,,1600000.0,
L-aspartate,2870000.0,,7040000.0,,3730000.0,,2950000.0,,6820000.0,,5030000.0,,4670000.0,,2800000.0,,4920000.0,,1710000.0,,2650000.0,,7030000.0,,2390000.0,,1900000.0,,5240000.0,,3490000.0,
L-cysteine,336000.0,,590000.0,,696000.0,,137000.0,,581000.0,,481000.0,,566000.0,,198000.0,,51900.0,,141000.0,,102000.0,,170000.0,,103000.0,,13000.0,,228000.0,,71800.0,
L-cystine,0.0,,6310.0,,3270.0,,7990.0,,0.0,,6010.0,,0.0,,0.0,,13300.0,,21800.0,,0.0,,18000.0,,0.0,,0.0,,14300.0,,0.0,
L-glutamate,29700000.0,,38700000.0,,41700000.0,,45800000.0,,57100000.0,,41900000.0,,46800000.0,,26600000.0,,28600000.0,,47000000.0,,33900000.0,,41800000.0,,36900000.0,,26800000.0,,29700000.0,,35800000.0,
L-glutamine,62100000.0,,19400000.0,,71300000.0,,54400000.0,,11500000.0,,10600000.0,,71700000.0,,90000000.0,,6650000.0,,82500000.0,,102000000.0,,12400000.0,,107000000.0,,90400000.0,,11200000.0,,85300000.0,
L-histidine,11700000.0,,2860000.0,,7640000.0,,14600000.0,,2340000.0,,1990000.0,,10100000.0,,15600000.0,,1300000.0,,15800000.0,,15900000.0,,1570000.0,,16000000.0,,14600000.0,,2450000.0,,15100000.0,
L-leucine,17800000.0,,9670000.0,,21700000.0,,16300000.0,,13700000.0,,13200000.0,,15200000.0,,11200000.0,,9570000.0,,12700000.0,,9600000.0,,9960000.0,,17000000.0,,12000000.0,,13300000.0,,14600000.0,
L-lysine,12600000.0,,7400000.0,,15000000.0,,18900000.0,,5040000.0,,5730000.0,,14500000.0,,26400000.0,,5270000.0,,17300000.0,,22500000.0,,4640000.0,,21200000.0,,24100000.0,,8760000.0,,28000000.0,
L-methionine,16100000.0,,11000000.0,,14100000.0,,19400000.0,,10700000.0,,10100000.0,,17200000.0,,17500000.0,,6140000.0,,9570000.0,,13200000.0,,4760000.0,,15800000.0,,12000000.0,,9740000.0,,22000000.0,
L-phenylalanine,8240000.0,,4810000.0,,10500000.0,,8800000.0,,6610000.0,,5940000.0,,9140000.0,,4350000.0,,3160000.0,,5150000.0,,4580000.0,,3090000.0,,8160000.0,,6050000.0,,5130000.0,,10100000.0,
L-proline,43000000.0,,14800000.0,,51300000.0,,48300000.0,,20900000.0,,24400000.0,,43500000.0,,21700000.0,,12800000.0,,16000000.0,,20100000.0,,8780000.0,,22200000.0,,21800000.0,,18200000.0,,27600000.0,
L-serine,2610000.0,,1350000.0,,3030000.0,,2470000.0,,1830000.0,,1250000.0,,2780000.0,,3180000.0,,1100000.0,,2780000.0,,3440000.0,,944000.0,,3090000.0,,2640000.0,,1550000.0,,2560000.0,
L-threonine,9810000.0,,3630000.0,,7130000.0,,7400000.0,,3860000.0,,3970000.0,,10600000.0,,7510000.0,,2060000.0,,7210000.0,,6360000.0,,2100000.0,,9680000.0,,8580000.0,,3480000.0,,7630000.0,
L-tryptophan,20300000.0,,23400000.0,,23700000.0,,26600000.0,,12400000.0,,12100000.0,,18800000.0,,8010000.0,,8190000.0,,8520000.0,,5640000.0,,10200000.0,,9610000.0,,9680000.0,,16500000.0,,14000000.0,
L-tyrosine,10200000.0,,9080000.0,,11700000.0,,13700000.0,,8780000.0,,6190000.0,,9440000.0,,8560000.0,,4060000.0,,4680000.0,,6490000.0,,2940000.0,,9420000.0,,6360000.0,,5830000.0,,11100000.0,
L-valine,32500000.0,,24200000.0,,45500000.0,,39100000.0,,25400000.0,,19300000.0,,36500000.0,,27000000.0,,16900000.0,,23900000.0,,28700000.0,,17100000.0,,38900000.0,,36100000.0,,22200000.0,,32600000.0,
Lactate,,464000000.0,,83600000.0,,560000000.0,,1090000000.0,,67600000.0,,77700000.0,,897000000.0,,661000000.0,,30700000.0,,856000000.0,,800000000.0,,28200000.0,,947000000.0,,675000000.0,,67400000.0,,901000000.0
Leukotriene A4,,855.0,,11600.0,,9650.0,,772.0,,15700.0,,11900.0,,1560.0,,0.0,,100000.0,,0.0,,0.0,,93700.0,,4180.0,,0.0,,148000.0,,2220.0
Leukotriene C4,4140.0,,3460.0,,2520.0,,0.0,,6240.0,,5780.0,,5600.0,,3850.0,,44000.0,,0.0,,0.0,,9940.0,,0.0,,2940.0,,8130.0,,2260.0,
Linoelaidyl carnitine,72900.0,,551000.0,,205000.0,,479000.0,,24700.0,,81700.0,,199000.0,,13500.0,,48000.0,,10000.0,,390000.0,,324000.0,,47500.0,,365000.0,,3980.0,,339000.0,
Malate,,29900000.0,,14300000.0,,41600000.0,,38000000.0,,23700000.0,,16900000.0,,59900000.0,,32800000.0,,13100000.0,,39700000.0,,36100000.0,,12200000.0,,45300000.0,,36200000.0,,13700000.0,,42000000.0
Malonylcarnitine,442000.0,,133000.0,,474000.0,,582000.0,,84400.0,,138000.0,,417000.0,,404000.0,,78700.0,,646000.0,,360000.0,,77100.0,,781000.0,,360000.0,,87000.0,,693000.0,
Maltose/Sucrose,,102000.0,,277000.0,,330000.0,,154000.0,,109000.0,,168000.0,,483000.0,,172000.0,,197000.0,,195000.0,,176000.0,,160000.0,,331000.0,,218000.0,,213000.0,,169000.0
Maltotriose,,21800.0,,72700.0,,67500.0,,96800.0,,15600.0,,53500.0,,99700.0,,32000.0,,14700.0,,40400.0,,44100.0,,32400.0,,126000.0,,54400.0,,11300.0,,60200.0
Mannitol/Sorbitol/Glucitol/Iditol,,636000.0,,285000.0,,654000.0,,1250000.0,,904000.0,,1050000.0,,1150000.0,,588000.0,,272000.0,,471000.0,,359000.0,,293000.0,,659000.0,,583000.0,,226000.0,,694000.0
Methylglutarylcarnitine,17500.0,,14000.0,,21500.0,,15500.0,,21100.0,,8970.0,,17400.0,,6250.0,,20800.0,,18700.0,,22200.0,,21600.0,,17000.0,,13000.0,,11700.0,,16300.0,
Methylmalonylcarnitine,305000.0,,106000.0,,540000.0,,712000.0,,96300.0,,183000.0,,608000.0,,606000.0,,82100.0,,671000.0,,825000.0,,85900.0,,1030000.0,,957000.0,,106000.0,,1040000.0,
Mevalonate,345000.0,,126000.0,,437000.0,,310000.0,,56100.0,,70700.0,,453000.0,,589000.0,,38200.0,,521000.0,,702000.0,,81900.0,,593000.0,,587000.0,,73100.0,,568000.0,
Mevalonate-P,,0.0,,0.0,,3920.0,,3930.0,,0.0,,0.0,,0.0,,4950.0,,0.0,,7630.0,,956.0,,0.0,,13300.0,,17000.0,,0.0,,13600.0
Mevalonate-PP,,5830.0,,32800.0,,10400.0,,0.0,,9820.0,,9740.0,,0.0,,0.0,,24400.0,,0.0,,0.0,,15600.0,,0.0,,0.0,,4200.0,,0.0
N-Acetyl-D-phenylalanine,36300.0,,53500.0,,32100.0,,36100.0,,14800.0,,6410.0,,27900.0,,9240.0,,14200.0,,14400.0,,3830.0,,19300.0,,24100.0,,10300.0,,47800.0,,43000.0,
N-Acetyl-L-aspartate,115000.0,,217000.0,,158000.0,,102000.0,,174000.0,,165000.0,,123000.0,,93000.0,,91200.0,,77100.0,,211000.0,,125000.0,,61000.0,,172000.0,,66000.0,,84900.0,
N-Acetyl-L-glutamate,5540.0,,24900.0,,30500.0,,8940.0,,20700.0,,21400.0,,11400.0,,11600.0,,40400.0,,23800.0,,21400.0,,11900.0,,17200.0,,17100.0,,9950.0,,22900.0,
N-Acetyl-L-histidine,7420000.0,,882000.0,,2230000.0,,9190000.0,,698000.0,,634000.0,,4410000.0,,9210000.0,,914000.0,,10100000.0,,10200000.0,,938000.0,,9510000.0,,8510000.0,,791000.0,,9240000.0,
N-Acetyl-L-leucine,,19600.0,,47700.0,,39300.0,,53300.0,,29000.0,,6710.0,,13200.0,,15500.0,,17500.0,,14200.0,,8460.0,,28000.0,,20900.0,,12400.0,,26000.0,,14600.0
N-Acetylmethionine,33400.0,,88100.0,,167000.0,,55200.0,,208000.0,,119000.0,,151000.0,,46100.0,,133000.0,,111000.0,,51500.0,,71300.0,,95100.0,,58900.0,,145000.0,,91600.0,
N-Acetylneuraminate,,199000.0,,1000000.0,,783000.0,,533000.0,,735000.0,,668000.0,,598000.0,,198000.0,,853000.0,,287000.0,,319000.0,,761000.0,,390000.0,,231000.0,,888000.0,,313000.0
N-Glycoloyl-neuraminate,,742000.0,,1590000.0,,1830000.0,,669000.0,,2010000.0,,1680000.0,,1010000.0,,68900.0,,957000.0,,160000.0,,184000.0,,795000.0,,192000.0,,225000.0,,1090000.0,,255000.0
N-Methylethanolamine phosphate,141000.0,,148000.0,,144000.0,,131000.0,,124000.0,,136000.0,,166000.0,,179000.0,,113000.0,,172000.0,,171000.0,,112000.0,,164000.0,,175000.0,,117000.0,,175000.0,
N-acetyl-D-glucosamine,,10800.0,,12700.0,,65700.0,,16900.0,,29800.0,,8960.0,,62400.0,,5830.0,,39300.0,,3190.0,,3000.0,,36500.0,,3820.0,,3060.0,,27000.0,,13900.0
N-formyl kynurenine,17200.0,,9260.0,,5920.0,,11500.0,,12700.0,,15800.0,,12400.0,,7830.0,,3180.0,,15700.0,,5480.0,,11000.0,,14400.0,,12700.0,,12200.0,,26500.0,
N1-Acetylspermidine,106000.0,,319000.0,,172000.0,,127000.0,,683000.0,,319000.0,,195000.0,,17600.0,,138000.0,,16200.0,,36300.0,,174000.0,,15900.0,,42300.0,,197000.0,,17900.0,
NAD+,,63500.0,,0.0,,0.0,,56800.0,,0.0,,0.0,,0.0,,14500.0,,0.0,,25200.0,,0.0,,0.0,,17800.0,,36100.0,,0.0,,29400.0
NADH,11700.0,,0.0,,0.0,,18400.0,,0.0,,0.0,,0.0,,2300.0,,0.0,,1380.0,,7770.0,,0.0,,4770.0,,4350.0,,0.0,,2420.0,
NADP+,,9380.0,,0.0,,0.0,,25200.0,,18000.0,,0.0,,6630.0,,9510.0,,0.0,,2610.0,,7080.0,,2230.0,,0.0,,0.0,,0.0,,6780.0
NADPH,44500.0,,0.0,,66100.0,,32600.0,,0.0,,0.0,,0.0,,21800.0,,0.0,,57500.0,,30400.0,,0.0,,22200.0,,0.0,,0.0,,44600.0,
Nicotinamide,55800000.0,,23500000.0,,46000000.0,,89000000.0,,24200000.0,,19700000.0,,62700000.0,,59700000.0,,21000000.0,,87000000.0,,66200000.0,,18300000.0,,78100000.0,,58500000.0,,14800000.0,,102000000.0,
Nicotinate ribonucleotide,145000.0,,5010.0,,0.0,,3550.0,,0.0,,0.0,,4380.0,,0.0,,0.0,,0.0,,27400.0,,0.0,,0.0,,28100.0,,0.0,,6230.0,
Nonanoic acid,,639000.0,,458000.0,,480000.0,,898000.0,,621000.0,,318000.0,,276000.0,,605000.0,,527000.0,,515000.0,,366000.0,,633000.0,,420000.0,,1120000.0,,762000.0,,836000.0
Octadecadienoic acid,,2700000.0,,3300000.0,,12800000.0,,4800000.0,,3290000.0,,2500000.0,,4650000.0,,7940000.0,,4120000.0,,3860000.0,,3150000.0,,3070000.0,,5800000.0,,3890000.0,,5270000.0,,7750000.0
Octadecanoic acid,,5620000.0,,3750000.0,,3870000.0,,6560000.0,,3570000.0,,3940000.0,,2540000.0,,1400000.0,,4380000.0,,2620000.0,,3330000.0,,6180000.0,,3430000.0,,1990000.0,,4580000.0,,1980000.0
Octadecatrienoic acid,,172000.0,,212000.0,,455000.0,,417000.0,,113000.0,,77500.0,,302000.0,,227000.0,,391000.0,,461000.0,,478000.0,,217000.0,,643000.0,,676000.0,,232000.0,,389000.0
Octadecenoic acid,,3680000.0,,4170000.0,,11800000.0,,3470000.0,,5310000.0,,3220000.0,,5730000.0,,3640000.0,,4300000.0,,2650000.0,,1940000.0,,3050000.0,,3450000.0,,3340000.0,,3370000.0,,4910000.0
Octanoic acid,,214000.0,,375000.0,,377000.0,,880000.0,,418000.0,,245000.0,,306000.0,,357000.0,,381000.0,,235000.0,,239000.0,,379000.0,,194000.0,,196000.0,,509000.0,,228000.0
Octanoylcarnitine,451000.0,,134000.0,,545000.0,,479000.0,,31900.0,,37500.0,,222000.0,,561000.0,,36200.0,,403000.0,,352000.0,,52900.0,,289000.0,,346000.0,,42400.0,,726000.0,
Octenoylcarnitine,32800.0,,23000.0,,35200.0,,45400.0,,17000.0,,18700.0,,51900.0,,43900.0,,18000.0,,58900.0,,35100.0,,15600.0,,30400.0,,31000.0,,14400.0,,61300.0,
Ornithine,1050000.0,,773000.0,,1040000.0,,931000.0,,1320000.0,,1740000.0,,698000.0,,1260000.0,,434000.0,,714000.0,,709000.0,,288000.0,,1230000.0,,1040000.0,,846000.0,,1530000.0,
Oxaloacetate,,18800.0,,9720.0,,12900.0,,24000.0,,20600.0,,29400.0,,19400.0,,2750.0,,39300.0,,14300.0,,14600.0,,80500.0,,15400.0,,7550.0,,50100.0,,23100.0
Pantetheine,,27700.0,,32100.0,,236000.0,,69400.0,,39100.0,,39900.0,,183000.0,,50600.0,,29900.0,,61700.0,,49200.0,,42500.0,,78200.0,,60300.0,,34300.0,,74800.0
Pantetheine 4--phosphate,,124000.0,,77300.0,,739000.0,,496000.0,,157000.0,,122000.0,,415000.0,,421000.0,,133000.0,,342000.0,,387000.0,,51100.0,,335000.0,,258000.0,,103000.0,,400000.0
Pantothenate,,910000.0,,1040000.0,,4040000.0,,2500000.0,,1680000.0,,996000.0,,2070000.0,,3210000.0,,656000.0,,1780000.0,,3360000.0,,527000.0,,1580000.0,,2420000.0,,695000.0,,2560000.0
Pentanoate,,56800.0,,91800.0,,90600.0,,79500.0,,73400.0,,104000.0,,88400.0,,104000.0,,99400.0,,41200.0,,55600.0,,109000.0,,93800.0,,52300.0,,106000.0,,60400.0
Pentose phosphates (isobars),,8890000.0,,6080000.0,,11900000.0,,8410000.0,,7360000.0,,10100000.0,,9200000.0,,5540000.0,,8250000.0,,5440000.0,,4830000.0,,6910000.0,,7570000.0,,4630000.0,,8670000.0,,8020000.0
Phosphate,,525000.0,,85000.0,,25000000.0,,93300.0,,14900000.0,,66500000.0,,955000.0,,14900000.0,,16700000.0,,11700000.0,,17400.0,,16000000.0,,239000.0,,76500.0,,306000.0,,277000.0
Phosphocreatine,2800000.0,,600000.0,,28400.0,,405000.0,,275000.0,,425000.0,,25900.0,,18200.0,,247000.0,,25900.0,,785000.0,,301000.0,,69800.0,,584000.0,,258000.0,,19900.0,
Phosphodimethyl-ethanolamine,,181000.0,,4360000.0,,713000.0,,432000.0,,1700000.0,,3410000.0,,728000.0,,164000.0,,3490000.0,,39200.0,,167000.0,,3250000.0,,329000.0,,144000.0,,3720000.0,,289000.0
Phosphoenolpyruvate,,352000.0,,215000.0,,271000.0,,1180000.0,,159000.0,,280000.0,,784000.0,,328000.0,,142000.0,,106000.0,,246000.0,,122000.0,,435000.0,,941000.0,,89500.0,,216000.0
Phosphoethanolamine,,1860000.0,,26700000.0,,3420000.0,,4060000.0,,19700000.0,,22200000.0,,4850000.0,,788000.0,,15900000.0,,621000.0,,732000.0,,13200000.0,,1260000.0,,724000.0,,16700000.0,,1180000.0
Phosphoserine,34300.0,,184000.0,,72700.0,,89400.0,,305000.0,,225000.0,,44400.0,,10400.0,,105000.0,,39600.0,,40100.0,,187000.0,,19700.0,,16000.0,,184000.0,,45200.0,
Pimelylcarnitine,21000.0,,10000.0,,5460.0,,12600.0,,6950.0,,28700.0,,17200.0,,7520.0,,19700.0,,20200.0,,10900.0,,9440.0,,16300.0,,18200.0,,25500.0,,6040.0,
Propenoylcarnitine,11600.0,,13300.0,,11300.0,,28100.0,,10500.0,,14700.0,,5200.0,,10800.0,,11400.0,,19800.0,,26700.0,,10400.0,,20200.0,,23000.0,,14700.0,,18600.0,
Propionylcarnitine,751000.0,,457000.0,,480000.0,,734000.0,,268000.0,,225000.0,,548000.0,,439000.0,,207000.0,,265000.0,,359000.0,,257000.0,,418000.0,,360000.0,,212000.0,,376000.0,
Prostaglandin A2/B2,,24300.0,,86200.0,,17500.0,,28300.0,,49000.0,,27800.0,,41100.0,,12800.0,,48100.0,,13800.0,,22100.0,,20300.0,,8180.0,,16100.0,,45800.0,,12200.0
Prostaglandin D2/Thromboxane A2 (isobars),,72500.0,,1300000.0,,112000.0,,175000.0,,766000.0,,725000.0,,367000.0,,56900.0,,1390000.0,,48500.0,,84500.0,,578000.0,,98100.0,,77300.0,,1280000.0,,69300.0
Prostaglandin F2alpha/beta/D1 (isobars),,4060.0,,371000.0,,18400.0,,11500.0,,194000.0,,149000.0,,23500.0,,597.0,,278000.0,,2590.0,,2930.0,,173000.0,,7230.0,,1350.0,,309000.0,,5810.0
Prostaglandin G2,,61600.0,,93600.0,,67900.0,,57900.0,,42500.0,,77500.0,,42600.0,,54700.0,,43100.0,,40300.0,,35400.0,,43700.0,,53300.0,,37000.0,,74100.0,,54900.0
Putrescine,107000.0,,201000.0,,56900.0,,159000.0,,316000.0,,181000.0,,125000.0,,55600.0,,99500.0,,65100.0,,44000.0,,88700.0,,55700.0,,50200.0,,72300.0,,56600.0,
Pyridoxal,16400.0,,31800.0,,35600.0,,53700.0,,19600.0,,9530.0,,75700.0,,8180.0,,10400.0,,3090.0,,18300.0,,24200.0,,16800.0,,2970.0,,28200.0,,2950.0,
Pyridoxamine 5'-phosphate,,70700.0,,23300.0,,126000.0,,75000.0,,24300.0,,36100.0,,106000.0,,0.0,,29600.0,,35700.0,,46100.0,,47000.0,,0.0,,0.0,,46800.0,,113000.0
Pyruvate,,11500000.0,,2150000.0,,9170000.0,,18500000.0,,1480000.0,,2070000.0,,21800000.0,,21500000.0,,1100000.0,,24200000.0,,31400000.0,,2210000.0,,30900000.0,,26300000.0,,1310000.0,,17300000.0
Quinolinic acid,,109000.0,,202000.0,,174000.0,,136000.0,,120000.0,,108000.0,,141000.0,,166000.0,,133000.0,,59600.0,,27900.0,,172000.0,,132000.0,,116000.0,,125000.0,,156000.0
S-Adenosyl-L-homocysteine,93900.0,,369000.0,,235000.0,,117000.0,,395000.0,,317000.0,,204000.0,,132000.0,,400000.0,,168000.0,,137000.0,,266000.0,,197000.0,,131000.0,,282000.0,,136000.0,
