sample_id,metabolite,value,Age,Genotype,Treatment
85_Old_Liver_22b,Glutamate +3,0.0,Old,Wild-type,N/A
86_Old_Liver_22c,Glutamate +3,0.0,Old,Wild-type,N/A
87_Old_Liver_23a,Glutamate +3,0.0,Old,SIRT6-tg,N/A
88_Old_Liver_23b,Glutamate +3,0.0,Old,SIRT6-tg,N/A
89_Old_Liver_23c,Glutamate +3,0.0,Old,SIRT6-tg,N/A
90_Old_Liver_24a,Glutamate +3,0.0,Old,Wild-type,N/A
91_Old_Liver_24b,Glutamate +3,0.0,Old,Wild-type,N/A
92_Old_Liver_24c,Glutamate +3,0.0,Old,Wild-type,N/A
93_Old_Liver_25a,Glutamate +3,0.0,Old,SIRT6-tg,N/A
94_Old_Liver_25b,Glutamate +3,0.0,Old,SIRT6-tg,N/A
95_Old_Liver_25c,Glutamate +3,0.0,Old,SIRT6-tg,N/A
96_Old_Liver_26a,Glutamate +3,0.0,Old,Wild-type,N/A
97_Old_Liver_26b,Glutamate +3,0.0,Old,Wild-type,N/A
98_Old_Liver_26c,Glutamate +3,0.0,Old,Wild-type,N/A
99_Old_Liver_27a,Glutamate +3,0.0,Old,Wild-type,N/A
100_Old_Liver_27b,Glutamate +3,0.0,Old,Wild-type,N/A
101_Old_Liver_27c,Glutamate +3,0.0,Old,Wild-type,N/A
102_Old_Liver_28a,Glutamate +3,0.0,Old,SIRT6-tg,N/A
103_Old_Liver_28b,Glutamate +3,0.0,Old,SIRT6-tg,N/A
104_Old_Liver_28c,Glutamate +3,0.0,Old,SIRT6-tg,N/A
105_Old_Liver_29a,Glutamate +3,0.0,Old,Wild-type,N/A
106_Old_Liver_29b,Glutamate +3,0.0,Old,Wild-type,N/A
107_Old_Liver_29c,Glutamate +3,0.0,Old,Wild-type,N/A
108_Old_Liver_30a,Glutamate +3,0.0,Old,SIRT6-tg,N/A
109_Old_Liver_30b,Glutamate +3,0.0,Old,SIRT6-tg,N/A
110_Old_Liver_30c,Glutamate +3,0.0,Old,SIRT6-tg,N/A
111_Old_Liver_31a,Glutamate +3,46586350.37,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,Glutamate +3,33760004.49,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,Glutamate +3,29173250.67,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,Glutamate +3,26835553.52,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,Glutamate +3,23081369.07,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,Glutamate +3,26279672.49,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,Glutamate +3,59683935.59,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,Glutamate +3,61179444.99,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,Glutamate +3,58591876.09,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,Glutamate +3,47155603.85,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,Glutamate +3,44671479.28,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,Glutamate +3,44648480.88,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,Glutamate +3,69801066.02,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,Glutamate +3,68011665.87,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,Glutamate +3,53453265.76,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,Glutamate +3,45163427.13,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,Glutamate +3,43254613.22,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,Glutamate +3,49752384.64,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,Glutamate +3,57968601.04,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,Glutamate +3,65764744.04,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,Glutamate +3,67211598.63,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,Glutamate +3,70927971.22,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,Glutamate +3,62170086.76,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,Glutamate +3,50336349.88,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,Glutamate +3,51352236.65,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,Glutamate +3,43053273.48,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,Glutamate +3,42458411.23,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,Glutamate +3,36342452.37,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,Glutamate +3,43592571.5,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,Glutamate +3,37211426.83,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,Glutamate +4,0.0,Young,SIRT6-tg,N/A
02_Young_Liver_1b,Glutamate +4,0.0,Young,SIRT6-tg,N/A
03_Young_Liver_1c,Glutamate +4,0.0,Young,SIRT6-tg,N/A
05_Young_Liver_2a,Glutamate +4,0.0,Young,SIRT6-tg,N/A
06_Young_Liver_2b,Glutamate +4,0.0,Young,SIRT6-tg,N/A
07_Young_Liver_2c,Glutamate +4,0.0,Young,SIRT6-tg,N/A
09_Young_Liver_3a,Glutamate +4,0.0,Young,Wild-type,N/A
10_Young_Liver_3b,Glutamate +4,0.0,Young,Wild-type,N/A
11_Young_Liver_3c,Glutamate +4,0.0,Young,Wild-type,N/A
13_Young_Liver_4a,Glutamate +4,0.0,Young,SIRT6-tg,N/A
14_Young_Liver_4b,Glutamate +4,0.0,Young,SIRT6-tg,N/A
15_Young_Liver_4c,Glutamate +4,0.0,Young,SIRT6-tg,N/A
17_Young_Liver_5a,Glutamate +4,0.0,Young,Wild-type,N/A
18_Young_Liver_5b,Glutamate +4,0.0,Young,Wild-type,N/A
19_Young_Liver_5c,Glutamate +4,0.0,Young,Wild-type,N/A
21_Young_Liver_6a,Glutamate +4,0.0,Young,Wild-type,N/A
22_Young_Liver_6b,Glutamate +4,0.0,Young,Wild-type,N/A
23_Young_Liver_6c,Glutamate +4,0.0,Young,Wild-type,N/A
25_Young_Liver_7a,Glutamate +4,0.0,Young,Wild-type,N/A
26_Young_Liver_7b,Glutamate +4,0.0,Young,Wild-type,N/A
27_Young_Liver_7c,Glutamate +4,0.0,Young,Wild-type,N/A
29_Young_Liver_8a,Glutamate +4,0.0,Young,Wild-type,N/A
30_Young_Liver_8b,Glutamate +4,0.0,Young,Wild-type,N/A
31_Young_Liver_8c,Glutamate +4,0.0,Young,Wild-type,N/A
33_Young_Liver_9a,Glutamate +4,0.0,Young,SIRT6-tg,N/A
34_Young_Liver_9b,Glutamate +4,0.0,Young,SIRT6-tg,N/A
37_Young_Liver_10a,Glutamate +4,0.0,Young,SIRT6-tg,N/A
38_Young_Liver_10b,Glutamate +4,0.0,Young,SIRT6-tg,N/A
39_Young_Liver_10c,Glutamate +4,0.0,Young,SIRT6-tg,N/A
41_Young_Liver_11a,Glutamate +4,27507735.43,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,Glutamate +4,27513894.52,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,Glutamate +4,14720906.18,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,Glutamate +4,14992971.62,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,Glutamate +4,15516243.05,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,Glutamate +4,13175584.59,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,Glutamate +4,13996322.78,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,Glutamate +4,11651427.49,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,Glutamate +4,12397844.0,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,Glutamate +4,4987523.148,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,Glutamate +4,5763234.338,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,Glutamate +4,5454840.821,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,Glutamate +4,7208633.894,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,Glutamate +4,7404564.454,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,Glutamate +4,9611883.498,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,Glutamate +4,11576646.37,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,Glutamate +4,13572147.43,Young,SIRT6-tg,[U-13C]Lactate
63_Young_Liver_16c,Glutamate +4,11985535.34,Young,SIRT6-tg,[U-13C]Lactate
65_Young_Liver_17a,Glutamate +4,9267747.83,Young,SIRT6-tg,[U-13C]Lactate
66_Young_Liver_17b,Glutamate +4,9600886.889,Young,SIRT6-tg,[U-13C]Lactate
67_Young_Liver_17c,Glutamate +4,9132939.304,Young,SIRT6-tg,[U-13C]Lactate
69_Young_Liver_18a,Glutamate +4,29106257.77,Young,SIRT6-tg,[U-13C]Lactate
70_Young_Liver_18b,Glutamate +4,31352295.37,Young,SIRT6-tg,[U-13C]Lactate
71_Young_Liver_18c,Glutamate +4,29060523.9,Young,SIRT6-tg,[U-13C]Lactate
73_Young_Liver_19a,Glutamate +4,12846231.12,Young,Wild-type,[U-13C]Lactate
74_Young_Liver_19b,Glutamate +4,10722743.59,Young,Wild-type,[U-13C]Lactate
75_Young_Liver_19c,Glutamate +4,10518793.79,Young,Wild-type,[U-13C]Lactate
77_Young_Liver_20a,Glutamate +4,8487203.284,Young,Wild-type,[U-13C]Lactate
78_Young_Liver_20b,Glutamate +4,6558126.739,Young,Wild-type,[U-13C]Lactate
79_Young_Liver_20c,Glutamate +4,8780865.894,Young,Wild-type,[U-13C]Lactate
81_Old_Liver_21a,Glutamate +4,0.0,Old,SIRT6-tg,N/A
82_Old_Liver_21b,Glutamate +4,0.0,Old,SIRT6-tg,N/A
83_Old_Liver_21c,Glutamate +4,0.0,Old,SIRT6-tg,N/A
84_Old_Liver_22a,Glutamate +4,0.0,Old,Wild-type,N/A
85_Old_Liver_22b,Glutamate +4,0.0,Old,Wild-type,N/A
86_Old_Liver_22c,Glutamate +4,0.0,Old,Wild-type,N/A
87_Old_Liver_23a,Glutamate +4,0.0,Old,SIRT6-tg,N/A
88_Old_Liver_23b,Glutamate +4,0.0,Old,SIRT6-tg,N/A
89_Old_Liver_23c,Glutamate +4,0.0,Old,SIRT6-tg,N/A
90_Old_Liver_24a,Glutamate +4,0.0,Old,Wild-type,N/A
91_Old_Liver_24b,Glutamate +4,0.0,Old,Wild-type,N/A
92_Old_Liver_24c,Glutamate +4,0.0,Old,Wild-type,N/A
93_Old_Liver_25a,Glutamate +4,0.0,Old,SIRT6-tg,N/A
94_Old_Liver_25b,Glutamate +4,0.0,Old,SIRT6-tg,N/A
95_Old_Liver_25c,Glutamate +4,0.0,Old,SIRT6-tg,N/A
96_Old_Liver_26a,Glutamate +4,0.0,Old,Wild-type,N/A
97_Old_Liver_26b,Glutamate +4,0.0,Old,Wild-type,N/A
98_Old_Liver_26c,Glutamate +4,0.0,Old,Wild-type,N/A
99_Old_Liver_27a,Glutamate +4,0.0,Old,Wild-type,N/A
100_Old_Liver_27b,Glutamate +4,0.0,Old,Wild-type,N/A
101_Old_Liver_27c,Glutamate +4,0.0,Old,Wild-type,N/A
102_Old_Liver_28a,Glutamate +4,0.0,Old,SIRT6-tg,N/A
103_Old_Liver_28b,Glutamate +4,0.0,Old,SIRT6-tg,N/A
104_Old_Liver_28c,Glutamate +4,0.0,Old,SIRT6-tg,N/A
105_Old_Liver_29a,Glutamate +4,0.0,Old,Wild-type,N/A
106_Old_Liver_29b,Glutamate +4,0.0,Old,Wild-type,N/A
107_Old_Liver_29c,Glutamate +4,0.0,Old,Wild-type,N/A
108_Old_Liver_30a,Glutamate +4,0.0,Old,SIRT6-tg,N/A
109_Old_Liver_30b,Glutamate +4,0.0,Old,SIRT6-tg,N/A
110_Old_Liver_30c,Glutamate +4,0.0,Old,SIRT6-tg,N/A
111_Old_Liver_31a,Glutamate +4,6692752.845,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,Glutamate +4,5520276.4,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,Glutamate +4,5108337.905,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,Glutamate +4,11108891.58,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,Glutamate +4,9637748.355,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,Glutamate +4,10569076.32,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,Glutamate +4,17355460.81,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,Glutamate +4,19080260.1,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,Glutamate +4,18339241.57,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,Glutamate +4,15600245.37,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,Glutamate +4,13306040.53,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,Glutamate +4,12720976.94,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,Glutamate +4,6092366.523,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,Glutamate +4,6515419.809,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,Glutamate +4,5440895.777,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,Glutamate +4,8611635.167,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,Glutamate +4,8517875.967,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,Glutamate +4,9847990.265,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,Glutamate +4,17744504.03,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,Glutamate +4,20238695.58,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,Glutamate +4,18929838.99,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,Glutamate +4,27229371.12,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,Glutamate +4,25237587.83,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,Glutamate +4,16684984.01,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,Glutamate +4,24269594.16,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,Glutamate +4,19917693.03,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,Glutamate +4,18127151.85,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,Glutamate +4,8797508.229,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,Glutamate +4,10608864.5,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,Glutamate +4,8700418.691,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,Glutamate +5,0.0,Young,SIRT6-tg,N/A
02_Young_Liver_1b,Glutamate +5,0.0,Young,SIRT6-tg,N/A
03_Young_Liver_1c,Glutamate +5,0.0,Young,SIRT6-tg,N/A
05_Young_Liver_2a,Glutamate +5,0.0,Young,SIRT6-tg,N/A
06_Young_Liver_2b,Glutamate +5,0.0,Young,SIRT6-tg,N/A
07_Young_Liver_2c,Glutamate +5,0.0,Young,SIRT6-tg,N/A
09_Young_Liver_3a,Glutamate +5,0.0,Young,Wild-type,N/A
10_Young_Liver_3b,Glutamate +5,0.0,Young,Wild-type,N/A
11_Young_Liver_3c,Glutamate +5,0.0,Young,Wild-type,N/A
13_Young_Liver_4a,Glutamate +5,0.0,Young,SIRT6-tg,N/A
14_Young_Liver_4b,Glutamate +5,0.0,Young,SIRT6-tg,N/A
15_Young_Liver_4c,Glutamate +5,0.0,Young,SIRT6-tg,N/A
17_Young_Liver_5a,Glutamate +5,0.0,Young,Wild-type,N/A
18_Young_Liver_5b,Glutamate +5,0.0,Young,Wild-type,N/A
19_Young_Liver_5c,Glutamate +5,0.0,Young,Wild-type,N/A
21_Young_Liver_6a,Glutamate +5,0.0,Young,Wild-type,N/A
22_Young_Liver_6b,Glutamate +5,0.0,Young,Wild-type,N/A
23_Young_Liver_6c,Glutamate +5,0.0,Young,Wild-type,N/A
25_Young_Liver_7a,Glutamate +5,0.0,Young,Wild-type,N/A
26_Young_Liver_7b,Glutamate +5,0.0,Young,Wild-type,N/A
27_Young_Liver_7c,Glutamate +5,0.0,Young,Wild-type,N/A
29_Young_Liver_8a,Glutamate +5,0.0,Young,Wild-type,N/A
30_Young_Liver_8b,Glutamate +5,0.0,Young,Wild-type,N/A
31_Young_Liver_8c,Glutamate +5,0.0,Young,Wild-type,N/A
33_Young_Liver_9a,Glutamate +5,0.0,Young,SIRT6-tg,N/A
34_Young_Liver_9b,Glutamate +5,0.0,Young,SIRT6-tg,N/A
37_Young_Liver_10a,Glutamate +5,0.0,Young,SIRT6-tg,N/A
38_Young_Liver_10b,Glutamate +5,0.0,Young,SIRT6-tg,N/A
39_Young_Liver_10c,Glutamate +5,0.0,Young,SIRT6-tg,N/A
41_Young_Liver_11a,Glutamate +5,16334478.35,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,Glutamate +5,17037234.52,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,Glutamate +5,9257780.335,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,Glutamate +5,8676761.415,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,Glutamate +5,8651008.118,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,Glutamate +5,7403950.274,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,Glutamate +5,7557541.778,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,Glutamate +5,5521199.665,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,Glutamate +5,5723768.634,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,Glutamate +5,1868884.099,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,Glutamate +5,2340187.267,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,Glutamate +5,2585984.571,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,Glutamate +5,3221357.335,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,Glutamate +5,3624897.054,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,Glutamate +5,4613630.596,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,Glutamate +5,5992674.178,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,Glutamate +5,7497788.697,Young,SIRT6-tg,[U-13C]Lactate
63_Young_Liver_16c,Glutamate +5,6219504.445,Young,SIRT6-tg,[U-13C]Lactate
65_Young_Liver_17a,Glutamate +5,4947330.231,Young,SIRT6-tg,[U-13C]Lactate
66_Young_Liver_17b,Glutamate +5,4742196.477,Young,SIRT6-tg,[U-13C]Lactate
67_Young_Liver_17c,Glutamate +5,4523013.722,Young,SIRT6-tg,[U-13C]Lactate
69_Young_Liver_18a,Glutamate +5,17622564.43,Young,SIRT6-tg,[U-13C]Lactate
70_Young_Liver_18b,Glutamate +5,19498125.67,Young,SIRT6-tg,[U-13C]Lactate
71_Young_Liver_18c,Glutamate +5,17968629.58,Young,SIRT6-tg,[U-13C]Lactate
73_Young_Liver_19a,Glutamate +5,5034987.933,Young,Wild-type,[U-13C]Lactate
74_Young_Liver_19b,Glutamate +5,4811021.548,Young,Wild-type,[U-13C]Lactate
75_Young_Liver_19c,Glutamate +5,4247243.498,Young,Wild-type,[U-13C]Lactate
77_Young_Liver_20a,Glutamate +5,3823981.242,Young,Wild-type,[U-13C]Lactate
78_Young_Liver_20b,Glutamate +5,3338441.278,Young,Wild-type,[U-13C]Lactate
79_Young_Liver_20c,Glutamate +5,3691723.018,Young,Wild-type,[U-13C]Lactate
81_Old_Liver_21a,Glutamate +5,0.0,Old,SIRT6-tg,N/A
82_Old_Liver_21b,Glutamate +5,0.0,Old,SIRT6-tg,N/A
83_Old_Liver_21c,Glutamate +5,0.0,Old,SIRT6-tg,N/A
84_Old_Liver_22a,Glutamate +5,0.0,Old,Wild-type,N/A
85_Old_Liver_22b,Glutamate +5,0.0,Old,Wild-type,N/A
86_Old_Liver_22c,Glutamate +5,0.0,Old,Wild-type,N/A
87_Old_Liver_23a,Glutamate +5,0.0,Old,SIRT6-tg,N/A
88_Old_Liver_23b,Glutamate +5,0.0,Old,SIRT6-tg,N/A
89_Old_Liver_23c,Glutamate +5,0.0,Old,SIRT6-tg,N/A
90_Old_Liver_24a,Glutamate +5,0.0,Old,Wild-type,N/A
91_Old_Liver_24b,Glutamate +5,0.0,Old,Wild-type,N/A
92_Old_Liver_24c,Glutamate +5,0.0,Old,Wild-type,N/A
93_Old_Liver_25a,Glutamate +5,0.0,Old,SIRT6-tg,N/A
94_Old_Liver_25b,Glutamate +5,0.0,Old,SIRT6-tg,N/A
95_Old_Liver_25c,Glutamate +5,0.0,Old,SIRT6-tg,N/A
96_Old_Liver_26a,Glutamate +5,0.0,Old,Wild-type,N/A
97_Old_Liver_26b,Glutamate +5,0.0,Old,Wild-type,N/A
98_Old_Liver_26c,Glutamate +5,0.0,Old,Wild-type,N/A
99_Old_Liver_27a,Glutamate +5,0.0,Old,Wild-type,N/A
100_Old_Liver_27b,Glutamate +5,0.0,Old,Wild-type,N/A
101_Old_Liver_27c,Glutamate +5,0.0,Old,Wild-type,N/A
102_Old_Liver_28a,Glutamate +5,0.0,Old,SIRT6-tg,N/A
103_Old_Liver_28b,Glutamate +5,0.0,Old,SIRT6-tg,N/A
104_Old_Liver_28c,Glutamate +5,0.0,Old,SIRT6-tg,N/A
105_Old_Liver_29a,Glutamate +5,0.0,Old,Wild-type,N/A
106_Old_Liver_29b,Glutamate +5,0.0,Old,Wild-type,N/A
107_Old_Liver_29c,Glutamate +5,0.0,Old,Wild-type,N/A
108_Old_Liver_30a,Glutamate +5,0.0,Old,SIRT6-tg,N/A
109_Old_Liver_30b,Glutamate +5,0.0,Old,SIRT6-tg,N/A
110_Old_Liver_30c,Glutamate +5,0.0,Old,SIRT6-tg,N/A
111_Old_Liver_31a,Glutamate +5,3013025.511,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,Glutamate +5,2549981.596,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,Glutamate +5,2196802.847,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,Glutamate +5,5846118.419,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,Glutamate +5,5359793.681,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,Glutamate +5,5772184.263,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,Glutamate +5,8232206.215,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,Glutamate +5,9485430.806,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,Glutamate +5,8741347.047,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,Glutamate +5,8407833.197,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,Glutamate +5,7230180.476,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,Glutamate +5,7090105.582,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,Glutamate +5,2398773.86,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,Glutamate +5,2767211.633,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,Glutamate +5,2215270.471,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,Glutamate +5,4376221.415,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,Glutamate +5,4308714.42,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,Glutamate +5,5126168.831,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,Glutamate +5,10689546.86,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,Glutamate +5,11976141.27,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,Glutamate +5,12553708.81,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,Glutamate +5,15012383.34,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,Glutamate +5,14481608.62,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,Glutamate +5,8857766.078,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,Glutamate +5,15350960.55,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,Glutamate +5,12740872.64,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,Glutamate +5,12182405.49,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,Glutamate +5,4026538.227,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,Glutamate +5,5139594.536,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,Glutamate +5,4560100.374,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,Glutamine,3892626889.0,Young,SIRT6-tg,N/A
02_Young_Liver_1b,Glutamine,3861523330.0,Young,SIRT6-tg,N/A
03_Young_Liver_1c,Glutamine,3202194188.0,Young,SIRT6-tg,N/A
05_Young_Liver_2a,Glutamine,3495157656.0,Young,SIRT6-tg,N/A
06_Young_Liver_2b,Glutamine,3128531457.0,Young,SIRT6-tg,N/A
07_Young_Liver_2c,Glutamine,4103545269.0,Young,SIRT6-tg,N/A
09_Young_Liver_3a,Glutamine,4332562249.0,Young,Wild-type,N/A
10_Young_Liver_3b,Glutamine,3815669486.0,Young,Wild-type,N/A
11_Young_Liver_3c,Glutamine,4390428664.0,Young,Wild-type,N/A
13_Young_Liver_4a,Glutamine,4691395503.0,Young,SIRT6-tg,N/A
14_Young_Liver_4b,Glutamine,3893719392.0,Young,SIRT6-tg,N/A
15_Young_Liver_4c,Glutamine,4964297778.0,Young,SIRT6-tg,N/A
17_Young_Liver_5a,Glutamine,4429678987.0,Young,Wild-type,N/A
18_Young_Liver_5b,Glutamine,4268636983.0,Young,Wild-type,N/A
19_Young_Liver_5c,Glutamine,4038990110.0,Young,Wild-type,N/A
21_Young_Liver_6a,Glutamine,4380981040.0,Young,Wild-type,N/A
22_Young_Liver_6b,Glutamine,4198943876.0,Young,Wild-type,N/A
23_Young_Liver_6c,Glutamine,3853721639.0,Young,Wild-type,N/A
25_Young_Liver_7a,Glutamine,4109378897.0,Young,Wild-type,N/A
26_Young_Liver_7b,Glutamine,4558426684.0,Young,Wild-type,N/A
27_Young_Liver_7c,Glutamine,3716386612.0,Young,Wild-type,N/A
29_Young_Liver_8a,Glutamine,3776509067.0,Young,Wild-type,N/A
30_Young_Liver_8b,Glutamine,3635735816.0,Young,Wild-type,N/A
31_Young_Liver_8c,Glutamine,3571955651.0,Young,Wild-type,N/A
33_Young_Liver_9a,Glutamine,3987829259.0,Young,SIRT6-tg,N/A
34_Young_Liver_9b,Glutamine,3590727247.0,Young,SIRT6-tg,N/A
37_Young_Liver_10a,Glutamine,3227358381.0,Young,SIRT6-tg,N/A
38_Young_Liver_10b,Glutamine,3698819945.0,Young,SIRT6-tg,N/A
39_Young_Liver_10c,Glutamine,3933553785.0,Young,SIRT6-tg,N/A
41_Young_Liver_11a,Glutamine,1439385247.0,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,Glutamine,1580138643.0,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,Glutamine,746480223.0,Young,Wild-type,[U-13C]Lactate
