sample_id,metabolite,value,Age,Genotype,Treatment
87_Old_Liver_23a,3-hydroxybutyric acid,64167348.31,Old,SIRT6-tg,N/A
88_Old_Liver_23b,3-hydroxybutyric acid,113418493.3,Old,SIRT6-tg,N/A
89_Old_Liver_23c,3-hydroxybutyric acid,107714673.1,Old,SIRT6-tg,N/A
90_Old_Liver_24a,3-hydroxybutyric acid,134495711.6,Old,Wild-type,N/A
91_Old_Liver_24b,3-hydroxybutyric acid,150581467.4,Old,Wild-type,N/A
92_Old_Liver_24c,3-hydroxybutyric acid,161134303.1,Old,Wild-type,N/A
93_Old_Liver_25a,3-hydroxybutyric acid,75944387.53,Old,SIRT6-tg,N/A
94_Old_Liver_25b,3-hydroxybutyric acid,97155622.7,Old,SIRT6-tg,N/A
95_Old_Liver_25c,3-hydroxybutyric acid,84195060.2,Old,SIRT6-tg,N/A
96_Old_Liver_26a,3-hydroxybutyric acid,49439990.65,Old,Wild-type,N/A
97_Old_Liver_26b,3-hydroxybutyric acid,62585302.82,Old,Wild-type,N/A
98_Old_Liver_26c,3-hydroxybutyric acid,47044330.83,Old,Wild-type,N/A
99_Old_Liver_27a,3-hydroxybutyric acid,59940869.47,Old,Wild-type,N/A
100_Old_Liver_27b,3-hydroxybutyric acid,54461809.26,Old,Wild-type,N/A
101_Old_Liver_27c,3-hydroxybutyric acid,62087519.93,Old,Wild-type,N/A
102_Old_Liver_28a,3-hydroxybutyric acid,122648832.2,Old,SIRT6-tg,N/A
103_Old_Liver_28b,3-hydroxybutyric acid,127456809.7,Old,SIRT6-tg,N/A
104_Old_Liver_28c,3-hydroxybutyric acid,137332122.5,Old,SIRT6-tg,N/A
105_Old_Liver_29a,3-hydroxybutyric acid,87700459.92,Old,Wild-type,N/A
106_Old_Liver_29b,3-hydroxybutyric acid,59839873.25,Old,Wild-type,N/A
107_Old_Liver_29c,3-hydroxybutyric acid,79948148.32,Old,Wild-type,N/A
108_Old_Liver_30a,3-hydroxybutyric acid,84130981.28,Old,SIRT6-tg,N/A
109_Old_Liver_30b,3-hydroxybutyric acid,120949105.2,Old,SIRT6-tg,N/A
110_Old_Liver_30c,3-hydroxybutyric acid,86532883.63,Old,SIRT6-tg,N/A
111_Old_Liver_31a,3-hydroxybutyric acid,36364129.74,Old,SIRT6-tg,[U-13C]Lactate
112_Old_Liver_31b,3-hydroxybutyric acid,28496168.85,Old,SIRT6-tg,[U-13C]Lactate
113_Old_Liver_31c,3-hydroxybutyric acid,23272362.37,Old,SIRT6-tg,[U-13C]Lactate
114_Old_Liver_32a,3-hydroxybutyric acid,11179735.37,Old,Wild-type,[U-13C]Lactate
115_Old_Liver_32b,3-hydroxybutyric acid,11364783.54,Old,Wild-type,[U-13C]Lactate
116_Old_Liver_32c,3-hydroxybutyric acid,17618126.23,Old,Wild-type,[U-13C]Lactate
117_Old_Liver_33a,3-hydroxybutyric acid,16558876.58,Old,Wild-type,[U-13C]Lactate
118_Old_Liver_33b,3-hydroxybutyric acid,16287225.43,Old,Wild-type,[U-13C]Lactate
119_Old_Liver_33c,3-hydroxybutyric acid,28155766.12,Old,Wild-type,[U-13C]Lactate
120_Old_Liver_34a,3-hydroxybutyric acid,20936286.1,Old,SIRT6-tg,[U-13C]Lactate
121_Old_Liver_34b,3-hydroxybutyric acid,31614175.65,Old,SIRT6-tg,[U-13C]Lactate
122_Old_Liver_34c,3-hydroxybutyric acid,24998170.5,Old,SIRT6-tg,[U-13C]Lactate
123_Old_Liver_35a,3-hydroxybutyric acid,35938895.88,Old,SIRT6-tg,[U-13C]Lactate
124_Old_Liver_35b,3-hydroxybutyric acid,36266486.15,Old,SIRT6-tg,[U-13C]Lactate
125_Old_Liver_35c,3-hydroxybutyric acid,25072448.61,Old,SIRT6-tg,[U-13C]Lactate
126_Old_Liver_36a,3-hydroxybutyric acid,30556127.3,Old,Wild-type,[U-13C]Lactate
127_Old_Liver_36b,3-hydroxybutyric acid,28718850.34,Old,Wild-type,[U-13C]Lactate
128_Old_Liver_36c,3-hydroxybutyric acid,31688310.94,Old,Wild-type,[U-13C]Lactate
129_Old_Liver_37a,3-hydroxybutyric acid,21964747.46,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,3-hydroxybutyric acid,22338000.61,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,3-hydroxybutyric acid,20162715.63,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,3-hydroxybutyric acid,17047183.44,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,3-hydroxybutyric acid,16040152.36,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,3-hydroxybutyric acid,15724490.13,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,3-hydroxybutyric acid,20610112.11,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,3-hydroxybutyric acid,18673168.95,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,3-hydroxybutyric acid,17750255.18,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,3-hydroxybutyric acid,25027928.63,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,3-hydroxybutyric acid,28538315.86,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,3-hydroxybutyric acid,27613445.4,Old,Wild-type,[U-13C]Lactate
01_Young_Liver_1a,3-hydroxybutyric acid+1,3498524.903,Young,SIRT6-tg,N/A
02_Young_Liver_1b,3-hydroxybutyric acid+1,3128562.442,Young,SIRT6-tg,N/A
03_Young_Liver_1c,3-hydroxybutyric acid+1,2365321.744,Young,SIRT6-tg,N/A
05_Young_Liver_2a,3-hydroxybutyric acid+1,2164291.77,Young,SIRT6-tg,N/A
06_Young_Liver_2b,3-hydroxybutyric acid+1,1947756.353,Young,SIRT6-tg,N/A
07_Young_Liver_2c,3-hydroxybutyric acid+1,822700.1011,Young,SIRT6-tg,N/A
09_Young_Liver_3a,3-hydroxybutyric acid+1,1084196.115,Young,Wild-type,N/A
10_Young_Liver_3b,3-hydroxybutyric acid+1,925409.1104,Young,Wild-type,N/A
11_Young_Liver_3c,3-hydroxybutyric acid+1,2071822.471,Young,Wild-type,N/A
13_Young_Liver_4a,3-hydroxybutyric acid+1,2382015.431,Young,SIRT6-tg,N/A
14_Young_Liver_4b,3-hydroxybutyric acid+1,1923531.168,Young,SIRT6-tg,N/A
15_Young_Liver_4c,3-hydroxybutyric acid+1,1846574.182,Young,SIRT6-tg,N/A
17_Young_Liver_5a,3-hydroxybutyric acid+1,1972798.606,Young,Wild-type,N/A
18_Young_Liver_5b,3-hydroxybutyric acid+1,1510612.861,Young,Wild-type,N/A
19_Young_Liver_5c,3-hydroxybutyric acid+1,1151878.612,Young,Wild-type,N/A
21_Young_Liver_6a,3-hydroxybutyric acid+1,2221346.626,Young,Wild-type,N/A
22_Young_Liver_6b,3-hydroxybutyric acid+1,1427892.66,Young,Wild-type,N/A
23_Young_Liver_6c,3-hydroxybutyric acid+1,2540681.612,Young,Wild-type,N/A
25_Young_Liver_7a,3-hydroxybutyric acid+1,2644631.627,Young,Wild-type,N/A
26_Young_Liver_7b,3-hydroxybutyric acid+1,3625510.945,Young,Wild-type,N/A
27_Young_Liver_7c,3-hydroxybutyric acid+1,2722918.857,Young,Wild-type,N/A
29_Young_Liver_8a,3-hydroxybutyric acid+1,2698283.013,Young,Wild-type,N/A
30_Young_Liver_8b,3-hydroxybutyric acid+1,2694020.695,Young,Wild-type,N/A
31_Young_Liver_8c,3-hydroxybutyric acid+1,3684931.46,Young,Wild-type,N/A
33_Young_Liver_9a,3-hydroxybutyric acid+1,4890287.163,Young,SIRT6-tg,N/A
34_Young_Liver_9b,3-hydroxybutyric acid+1,4273230.48,Young,SIRT6-tg,N/A
37_Young_Liver_10a,3-hydroxybutyric acid+1,2753000.71,Young,SIRT6-tg,N/A
38_Young_Liver_10b,3-hydroxybutyric acid+1,2788811.734,Young,SIRT6-tg,N/A
39_Young_Liver_10c,3-hydroxybutyric acid+1,3933161.204,Young,SIRT6-tg,N/A
41_Young_Liver_11a,3-hydroxybutyric acid+1,2378440.637,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,3-hydroxybutyric acid+1,2302777.455,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,3-hydroxybutyric acid+1,501283.5488,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,3-hydroxybutyric acid+1,1814096.844,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,3-hydroxybutyric acid+1,1691757.748,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,3-hydroxybutyric acid+1,1419211.257,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,3-hydroxybutyric acid+1,2565606.594,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,3-hydroxybutyric acid+1,2861984.087,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,3-hydroxybutyric acid+1,2940680.889,Young,Wild-type,[U-13C]Lactate
