sample_id,Age,Genotype,Treatment
129_Old_Liver_37a,Old,SIRT6-tg,[U-13C]Lactate
130_Old_Liver_37b,Old,SIRT6-tg,[U-13C]Lactate
131_Old_Liver_37c,Old,SIRT6-tg,[U-13C]Lactate
132_Old_Liver_38a,Old,Wild-type,[U-13C]Lactate
133_Old_Liver_38b,Old,Wild-type,[U-13C]Lactate
134_Old_Liver_38c,Old,Wild-type,[U-13C]Lactate
135_Old_Liver_39a,Old,SIRT6-tg,[U-13C]Lactate
136_Old_Liver_39b,Old,SIRT6-tg,[U-13C]Lactate
137_Old_Liver_39c,Old,SIRT6-tg,[U-13C]Lactate
138_Old_Liver_40a,Old,Wild-type,[U-13C]Lactate
139_Old_Liver_40b,Old,Wild-type,[U-13C]Lactate
140_Old_Liver_40c,Old,Wild-type,[U-13C]Lactate
