Protein,Study_ID,Tissue,Pattern,N_Compartment_Pairs,Divergence
ECM2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.16985121303020012
TGM2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.16984077852493792
PRELP,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1694116416203233
COL11A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.16884960712720817
COL6A3,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.16741919032042496
ANGPTL2,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.16659300611805197
SPON2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1650248341564808
Igf2r,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16484381260176661
Itgb1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16456695315028266
COMP,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.16446468937465428
Akr1b3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16371916009198353
Calr,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16266716411473114
Alad,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16248367493644408
Orm1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16154675542267335
Txn1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.16153126866608866
EFEMP2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.15978474851687538
Plaa,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.15971695230503602
Hsd17b11,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.15879658939753902
Gpt,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.15858512019967366
Ttr,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.158050595300577
SERPING1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1574760672864664
Arhgdia,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1559279071025079
Gars,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1551037216459911
ANXA7,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.15332740331090378
F13a1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.15269740897550615
PLOD1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.15127700408162165
Dnpep,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.150900581793553
Fgg,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.15067506358806299
LAMA5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.14970590574384213
COL18A1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.14729030222815515
COL1A2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.14725741765117387
Serping1,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.14714066658034708
Stx4a,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.14602744517121177
Vldlr,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.14600410760061858
Lpl,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.14485195000092455
Gpx3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.14405872703085554
Aga,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.1424890124580552
Nid1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.14179114144314234
Sri,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.14128410881431533
Cd151,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.1405339326677374
C8a,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.14018017182627007
Serpind1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.13889417063572518
Apoe,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.13732523498105625
TGFB1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.13575685148679664
Fbln1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1347044113118313
Kera,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),6,0.13375052340441201
Selenop,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.13355121764862293
CTGF,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.13346787911578753
ITIH5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.133387448432613
Copa,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.13273432986936012
Fam213a,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.13152147403516928
Pon2,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.1299217453776669
Bag6,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1287008164649574
Man2b1,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.12775494152715908
Hnrnpm,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1275787293639272
Apoa1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.12542463646305244
CILP,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.12535938106560465
Rnh1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1244068829342096
Cp,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.12369364251351267
S100A1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.12359864416394885
Sord,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.12345157548251884
PCOLCE2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1222396910461398
Hsd17b12,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.12126644549123927
Gstm2,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),6,0.12120290810189692
Col18a1,Schuler_2021,Skeletal_muscle_EDL,No_change,4,0.12114477799177589
Hspa8,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1208274441944955
Slc2a4,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.12014854289748256
Car2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.12001718282381506
VCAN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.11961699440504452
Gba,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.11929734538794878
Adipoq,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.11813068794845177
Dlg1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.11746608035453003
Nenf,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.11644091278060915
Cfl1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.1134941545058122
COL6A1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.11334959563703513
Fn1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.11092688451277806
Sema3c,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),3,0.11072692042272621
Dnajc9,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.11047462380096414
Itih4,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.10994303892915984
SEMA3D,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.10990651524686033
FSTL1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.10905832221679447
THBS2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.10777607787738626
Vtn,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.10503252470693392
Prelp,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.10447657357036073
Dnajb11,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.10384615014046844
ABI3BP,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.1025092951299736
PDGFC,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.10186754963994575
Col14a1,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),6,0.10149011803777604
TIMP2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.10057059519403592
Pon1,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.09952333967387288
Mmrn2,Schuler_2021,Skeletal_muscle_EDL,No_change,2,0.09948835935533774
Fastkd2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09911366792482829
Ctsf,Schuler_2021,Skeletal_muscle_EDL,Both_UP (synergistic),2,0.09761641133551238
Rab35,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09714693054748529
Mydgf,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09553234727708947
Xdh,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09480770934475309
PLOD2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.09438802191308208
Pecam1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09324271836559032
Plg,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09300219643144281
Apoa4,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09297512196527802
Il1rap,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.09135053713065538
Lman2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.09134637929916871
FMOD,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.09013134611817179
Hspd1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.0893549492800058
THBS4,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.08859145440803391
Nucb1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.08660377816923366
DPT,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.08557524938286414
Lum,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.08537387181421431
IGFBP3,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.08487300142291619
Serpinc1,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.08366750125904798
Ago2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.08264480429377385
Ctsd,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.08146741391696746
Serpina3m,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.08094065836791496
Lrpap1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.07931418250638535
Asah1,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.07800277148973721
Cap1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.07740162533160348
Naxe,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.07705911367565343
TGFBI,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.0745204684286246
Ddt,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.07437447483820624
Anxa2,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.07250267406753541
Anxa5,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.07196337733308049
Hyou1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.07090057700092363
BGN,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.070063883961672
CILP2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.0682950975455186
Hdgf,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.06814390909665795
Ist1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.06791892983462457
Ctsh,Schuler_2021,Skeletal_muscle_EDL,No_change,4,0.06582387249538171
Dcn,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.06375030287684925
Serpina1e,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.06265988776481254
Smc3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.06222015321574545
SERPINA5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.06138835945687926
SERPINE2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.05759676779694813
Adam10,Schuler_2021,Skeletal_muscle_EDL,No_change,2,0.05727588041750076
Dnajc8,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.057011081331049714
Them6,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.05363472711521652
TIMP1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.04497908152169561
Ehd2,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.04362948231355953
COL16A1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.0388689324830906
ANXA5,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.037689998382018926
Fga,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.036719256572399106
Azgp1,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.03211336450203989
LTBP2,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.029966770508142532
Fgf1,Schuler_2021,Skeletal_muscle_EDL,No_change,2,0.0278641476971195
VWA1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.01903974762288908
