Protein,Study_ID,Tissue,Pattern,N_Compartment_Pairs,Divergence
Serpinh1,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),7,0.38610108851443276
MATN4,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3828566249355177
EFEMP1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.3812780067517359
ANXA6,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.37730533660109306
COL2A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.37495576014477344
Col3a1,Schuler_2021,Skeletal_muscle_EDL,Mixed,7,0.37330678058735234
Apoo,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.37237228469620093
SERPINA6,Tam_2020,Intervertebral_disc_IAF,Both_UP (synergistic),3,0.37212195982254137
PRSS3P2;PRSS2;PRSS1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.37188390695377804
COL12A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.37052946738349596
COL5A1,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.36895106734729977
F2,Schuler_2021,Skeletal_muscle_EDL,No_change,9,0.3679788591382498
Ache,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.36742180739060704
HAPLN3,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.36511019239328274
Tgfbi,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.3627130320057959
Fetub,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.3612609787277962
Psap,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.36071726183642294
Alb,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.35946888921540227
Eln,Schuler_2021,Skeletal_muscle_EDL,Both_DOWN (synergistic),3,0.3567822725284011
FBLN7,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3562663594390187
SEMA3C,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.35579422646945486
Thbs4,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.3553024927708998
LEPRE1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.35246859405580483
CHADL,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.35059645910486537
Snca,Schuler_2021,Skeletal_muscle_EDL,No_change,3,0.3464147333370538
Cpa3,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.34507751598616904
SMOC1,Tam_2020,Intervertebral_disc_IAF,No_change,3,0.3427075116535672
Ctsl,Schuler_2021,Skeletal_muscle_EDL,No_change,7,0.3425467367876727
S100A9,Tam_2020,Intervertebral_disc_IAF,Mixed,3,0.3393693320465916
Rab5b,Schuler_2021,Skeletal_muscle_EDL,No_change,6,0.33448019270109125
Phospho1,Schuler_2021,Skeletal_muscle_EDL,Mixed,6,0.33211581940057944
