Gene_Symbol,cluster
MXRA5,0
Matn2,2
Matn4,1
Mbl2,1
Mbp,3
Megf10,3
Megf8,0
Megf9,3
Mfge8,1
Mmp17,3
Mmrn2,3
NGLY1,0
NID1,0
NID2,0
NOV,0
NPNT,0
NRP1,0
NTN1,0
NTN3,0
NTN4,0
Ncan,2
Nell2,3
Ngly1,2
Nid1,1
Nid2,1
Nrg3,2
Ntng1,2
OGN,0
OMD,0
Ogfod1,3
Ogn,1
Ovos,3
P4HA1,0
P4HA2,0
P4ha1,2
P4htm,2
PAMR1,0
PAPLN,0
PCOLCE,0
PCOLCE2,0
PDF,0
PDGFC,0
PDGFD,0
PLG,0
PLOD1,0
PLOD2,0
PLOD3,0
PLXDC2,0
PLXNA1,0
PLXNB1,0
PLXNB2,0
POSTN,0
PPBP,0
PRELP,0
PRG2,0
PRG3,0
PRG4,0
PRSS2,0
PRSS3P2;PRSS2;PRSS1,0
PTN,0
PXDN,0
Pag1,0
Papln,1
Pcolce,1
Pik3ip1,2
Plg,1
Plxdc1,3
Plxdc2,1
Plxna1,3
Plxna2,3
Plxna4,3
Plxnb1,4
Plxnb2,3
Plxnc1,4
Plxnd1,2
Postn,1
Prelp,1
Ptn,3
Pxdn,1
Pzp,1
REG1A;REG1B,0
S100A1,0
S100A10,0
S100A11,0
S100A13,0
S100A16,0
S100A4,0
S100A6,0
S100A7A,0
S100A8,0
S100A9,0
S100B,0
S100a1,4
S100a10,2
S100a11,2
S100a13,3
S100a16,4
S100a4,2
S100a5,2
S100a6,4
S100a9,3
S100b,2
SBSPON,0
SCUBE1,0
SCUBE3,0
SDC1,0
SDC2,0
SEMA3A,0
SEMA3B,0
SEMA3C,0
SEMA3D,0
SEMA3E,0
SEMA3G,0
SERPINA1,0
SERPINA10,0
SERPINA3,0
SERPINA3N,0
SERPINA4,0
SERPINA5,0
SERPINA6,0
SERPINA7,0
SERPINB1,0
SERPINB12,0
SERPINB1A,0
SERPINB6,0
SERPINB6B,0
SERPINB8,0
SERPINB9,0
SERPINC1,0
SERPIND1,0
SERPINE1,0
SERPINE2,0
SERPINF1,0
SERPINF2,0
SERPING1,0
SERPINH1,0
SERPINI2,0
SFRP1,0
SFRP4,0
SLIT3,0
SLPI,0
SMAP2,0
SMOC1,0
SMOC2,0
SNED1,0
SPARC,0
SPARCL1,0
SPON1,0
SPON2,0
SPP1,0
SRPX,0
SRPX2,0
SULF2,0
Sdc2,2
Sdc3,4
Sdc4,3
Sema3c,1
Sema4a,4
Sema4b,0
Sema4d,3
Sema4f,4
Sema6d,3
Sema7a,3
Serpina1a,1
Serpina1b,1
Serpina1c,3
Serpina1d,1
Serpina1e,1
Serpina3k,3
Serpina3m,1
Serpina3n,2
Serpina6,1
Serpinb1a,1
Serpinb6,1
Serpinb6a,1
Serpinb8,1
Serpinb9,3
Serpinb9b,4
Serpinc1,2
Serpind1,1
Serpine2,1
Serpinf1,1
Serpinf2,1
Serping1,1
Serpinh1,1
Serpini1,3
Slit1,4
Slit2,2
Smoc2,1
Sparc,1
Sparcl1,2
Spock1,3
Spock2,3
Spon1,4
TGFB1,0
TGFBI,0
TGM1,0
TGM2,0
TGM3,0
THBS1,0
THBS2,0
THBS3,0
THBS4,0
THSD4,0
TIMP1,0
TIMP2,0
TIMP3,0
TINAG,0
TINAGL1,0
TNC,0
TNFAIP6,0
TNXB,0
TSKU,0
Tgfbi,1
Tgm2,1
Thbs4,1
Timp2,4
Tinagl1,1
Tnc,1
Tnr,4
Try4,2
VCAN,0
VEGFA,0
VIT,0
VTN,0
VWA1,0
VWA5A,0
VWA9,0
VWF,0
Vcan,4
Vtn,1
Vwa1,1
Vwa5a,3
Vwa5b2,2
Vwf,3
WISP2,0
WISP3,0
WNT4,0
