Gene_Symbol,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,reconstruction_error
ANXA6,1.342721,3.311229,-1.5671445,-1.1575112,0.7154778,0.6575075,1.0956254,-1.5659567,0.6525291
ANXA7,0.87292385,1.8681246,-1.9147432,0.021329314,0.54427046,0.08235278,0.37052977,0.09378996,0.19675584
ANXA8,0.348957,0.75482893,-0.9417733,-0.51046646,0.2707621,-0.9699032,0.0460923,0.2339213,0.02009207
ANXA8L2;ANXA8,0.23455662,0.5309705,-0.9875921,-0.5688675,0.33609027,-0.089057,-0.21641387,0.15619174,0.00611806
ANXA9,0.24404791,0.5624883,-0.96280026,-0.548349,0.39335093,-0.3194588,-0.10449846,0.14316484,0.0060951565
ARG1,-1.1602648,1.847041,-2.1142335,0.52812064,1.4377375,1.0090628,-0.42062765,-1.9616894,0.39201486
ASPN,0.35755852,0.7912476,-1.4635608,-1.7105801,-0.57896113,-0.95031357,-0.99987876,0.10430915,0.22526808
ASTL,5.3548656,5.8740635,-6.896486,2.4514067,4.4536986,0.6626186,1.9674091,3.0480123,0.6763641
Acan,0.68694884,1.9488851,-0.78819215,-1.0187849,1.3393917,-0.92953736,-2.1386626,1.1990464,0.13998
Adam10,0.5925926,1.3229314,-0.20245667,-1.2617388,0.75703746,-0.24212429,-2.1171763,1.3064278,0.42672673
Adam11,0.19168141,0.32743663,-1.2346128,-0.56493866,0.31998068,-0.25123793,0.36423075,0.03862089,0.0113917645
Adam17,0.026108079,0.7254411,-1.0322322,-0.996235,0.27977505,-0.062209688,0.054095425,0.4512838,0.029862057
Adam22,0.13691235,0.23188594,-1.7384361,-0.800995,0.27643168,-0.25791177,0.9263604,-0.057418987,0.009618937
Adam23,0.14564103,0.24509034,-1.3443704,-0.5580164,0.29249695,-0.2381309,0.54741067,-0.0038713813,0.025097385
Adam9,-0.22789484,0.87438583,-2.0183644,-1.0016332,0.82792026,-0.43242413,0.4498886,-0.170161,0.153661
Adamtsl1,0.20071444,0.51779675,-0.97150564,-0.6225222,0.4186321,-0.24285853,-0.07034719,0.1646729,0.008597302
Adamtsl4,-0.042172838,0.8730224,-1.1488285,-1.2057803,0.24118516,-0.078655794,0.14705943,0.57858664,0.05988844
Adipoq,-0.33945468,1.6348362,-2.4674919,-1.7500622,1.2972006,-0.12792419,0.099891365,0.1925524,0.08428479
Aebp1,0.3631188,0.006421726,-0.86729634,-0.56257653,0.2831485,0.15797728,-0.53912777,0.23966795,0.2527238
Agrn,0.17524546,1.5539062,-1.5548469,-0.98329353,1.0104415,-0.22009361,-0.37300014,0.6422827,0.33079293
Agt,0.16024262,0.3120215,-1.499637,-0.6237005,0.33283877,-0.25216293,0.65584975,-0.036818177,0.030995376
Ambp,2.7324507,-1.5733768,-1.0235246,-1.0803971,-0.46888983,-0.17624408,-2.4741535,1.7512493,0.88410264
Angpt1,0.23271382,0.3892763,-0.9266664,-0.22875187,0.5304445,-0.33879963,-0.3682356,0.09061624,0.036279533
Angptl1,0.43821105,1.119925,-0.8059449,-0.7334206,0.90551794,-0.65518475,-1.137699,0.67927444,0.123325825
Angptl2,1.3662007,0.50292397,-2.324569,0.3999246,1.0016441,-1.8057485,-1.3677741,0.7056636,0.9688898
Angptl7,6.280974,-3.1382446,-0.9679061,-2.1364958,-1.264694,-0.9849685,-5.1071243,4.05138,2.374818
Anxa1,0.20477459,3.7266634,-3.8980386,-1.7528211,2.8547115,-1.0399586,-0.86436045,0.6193874,0.55401355
Anxa11,-0.04267754,0.6794252,-1.6326536,-1.220664,0.14641117,-0.24642101,0.8079157,0.40621653,0.04515763
Anxa2,-0.46630612,4.1991878,-5.0002646,-3.567708,3.0320308,-1.0636609,-0.09077245,0.8710507,0.15282708
Anxa3,0.14118722,0.52521116,-0.64689815,-0.6546761,0.43762958,-0.054624364,-0.39944106,0.38657385,0.012161697
Anxa4,0.69704866,1.907887,-0.7051159,-0.85738885,1.3180963,-0.99135804,-2.1442673,1.2191333,0.07004991
Anxa5,0.37181002,1.8527923,-1.9926533,-0.21526164,1.6276829,-1.0775765,-1.4204535,0.5115997,1.0585687
Anxa6,0.150258,-0.039343826,-1.3315167,-0.54353285,0.10243468,0.142928,0.58560044,0.0047358274,0.14843227
Anxa7,-0.008616708,0.58149123,-1.7753474,-1.1979339,0.18749,-0.2914819,0.93304944,0.25796795,0.0362688
Aspn,6.250209,-2.1739514,0.44393507,-0.95367897,-2.5716417,-1.0409864,-3.9715605,3.857294,1.138669
BCAN,0.20904419,0.71115845,-1.221978,-0.7790202,-0.07665832,0.5279161,-0.76947063,0.053087756,0.039738737
BGN,0.5667982,0.48158985,-5.617404,-1.9104707,0.80234367,-2.2428732,-2.0792122,1.3695792,0.42439198
BMP1,0.1626299,0.71288234,-1.1982788,-0.6917383,0.014232044,0.33691993,-0.600797,0.01881136,0.027249243
BMP3,0.08815775,0.388536,-1.0097215,-0.5186144,0.2550358,0.5042491,-0.51975554,0.050408706,0.013970904
BMP5,0.04633092,-0.083777614,-0.96078193,-0.5661069,0.7481287,0.16910183,-0.24923486,0.20029528,0.012822009
BMP6,0.07806908,0.36168626,-0.9550948,-0.4129102,0.39823517,0.113299035,-0.30839258,-0.02552244,0.007345515
BMP8A;BMP8B,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
BMPER,0.14827478,0.6388204,-0.9899659,-0.39559996,0.33797744,-0.35203186,-0.14019877,-0.0033308417,0.011323987
Bcan,0.13667858,0.24821702,-1.6655478,-0.7522104,0.28294897,-0.25966495,0.8574964,-0.054980084,0.012121839
Bdnf,0.14097601,0.06271578,-2.5855482,-1.3681282,0.20228907,-0.2453196,1.723153,-0.09098472,0.024669189
Bgn,1.8494345,1.7383214,0.096446276,-1.5203463,0.5271897,-1.5641147,-4.5160685,2.5953858,0.777478
Brinp2,0.13894954,0.16310102,-2.1044567,-1.0460744,0.2447308,-0.254097,1.269897,-0.073012665,0.0072140717
C17ORF58,1.4308753,0.7834317,-2.1250553,-2.9300187,1.5300428,-0.43832475,0.5191799,1.7163244,0.1605427
C17orf58,0.5379304,1.486441,-1.3875675,-0.7605984,0.34762886,-1.8640091,0.24021299,0.27929753,0.27392185
C1QA,0.27537015,-0.4391234,-0.9802674,-0.9101012,3.0487533,-3.8368874,1.5212467,1.0113468,0.24849552
C1QB,-0.38459027,-0.20337042,-0.70426947,-1.527136,0.51281375,-1.4744647,0.20355718,0.67009455,0.10712537
C1QC,1.1178937,2.1186597,-2.551222,-0.4805315,2.4845831,-4.191612,1.1931462,0.7200687,0.6962308
C1QTNF1,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
C1QTNF2,0.33089724,0.68940353,-0.90895116,-0.49197078,0.28952342,-0.90530777,0.02964506,0.21336102,0.021263726
C1QTNF5,0.34001774,-0.40872926,-1.5352366,-1.0415734,2.4272223,-3.2146354,0.84975165,0.73283994,0.17145903
C1QTNF7,-1.8497355,0.5160546,-2.442766,0.56236386,1.340265,1.5641861,-1.0508072,-2.128303,0.12890492
C1QTNF8,0.23455662,0.5309705,-0.9875921,-0.5688675,0.33609027,-0.089057,-0.21641387,0.15619174,0.00611806
C1qa,0.9722082,4.173004,-1.8152282,-2.1362884,3.0305505,-1.1499276,-3.6324024,1.9825134,0.428029
C1qb,0.7662681,1.9727693,-0.36960846,-1.2103137,1.2275428,-0.7388638,-2.711202,1.5043801,0.083566874
C1qc,0.37015903,2.7379377,-1.7446543,-0.834978,2.2588127,-0.74327826,-1.726634,0.993406,0.36366022
C1ql3,0.14830363,0.16726482,-2.6138592,-1.3879088,0.20836832,-0.28647596,1.7308139,-0.119993225,0.11403751
C1qtnf4,0.14383227,0.20081207,-2.2402864,-1.1374975,0.23787683,-0.27653933,1.3864985,-0.09480168,0.055644374
C1qtnf9,0.30518767,0.52439517,-1.2868606,-1.325076,0.7884292,-0.24716306,-0.23792283,0.18907596,0.38257432
C7,1.3204583,-0.3681561,-3.1870599,-1.8788496,2.4767928,-4.200462,0.03107901,1.0054859,0.1361357
CAP2,1.2721951,1.1411283,-2.2803962,-3.1289382,1.6163307,-0.17447072,0.6512303,2.06444,0.14201431
CCL14,0.22829348,0.5415279,-1.0035136,-0.57325804,0.32711306,-0.08543879,-0.22572267,0.1337711,0.005037319
CCL16,0.24907893,0.57589144,-1.0573862,-0.63760495,0.2509061,0.037090458,-0.30009663,0.163718,0.006590288
CCL18,0.37514943,0.87093645,-1.170449,-0.78603375,-0.3684756,-0.044470258,-0.6343234,0.11332877,0.041441873
CCL21,0.3198517,0.68175256,-0.89901257,-0.49860615,0.16909155,-0.78423846,-0.05021851,0.1912175,0.02486943
CCL21C;CCL21B;CCL21A,0.24662465,0.57413477,-0.96644413,-0.5502002,0.38761654,-0.33501017,-0.1002986,0.14449346,0.006325151
CCL28,0.3271313,0.67576015,-0.90210664,-0.4881138,0.29343584,-0.8918376,0.026215281,0.20907356,0.021543097
CD109,0.27469712,0.89349216,-1.0610169,-1.0066959,-0.4066283,0.2624192,-0.6234284,-0.016446963,0.09886988
CD209,0.011475563,0.50933653,-0.95438254,-0.23157214,0.37613848,-0.15591173,-0.23204942,-0.15633093,0.014207005
CELA3A;CELA3B,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
CHAD,-0.24320152,0.6270072,-1.355637,-0.4554849,0.007882446,0.9238561,-0.9452603,-0.508985,0.044278476
CHADL,0.14606977,0.70251954,-1.1720111,-0.6489454,-0.030536208,0.44375798,-0.70340365,-0.010075867,0.022240633
CHRD,-0.0076770447,0.7338902,-1.1688106,-0.4698894,-0.02872334,0.3626404,-0.6749955,-0.18839242,0.024249276
CHRDL1,0.06683227,-0.005220413,-0.9240593,-0.5342833,0.7085943,0.11906666,-0.21689816,0.15856755,0.007930767
CHRDL2,0.27513492,1.058937,-1.6756905,-0.9521222,-0.2879768,0.9305605,-1.2274419,-0.12064426,0.07609803
CILP,4.5374813,11.181941,-8.771614,-2.559675,0.8226973,-11.851747,0.8484378,1.930137,0.5779983
CILP2,3.365948,8.947932,-6.367144,-2.8580647,-1.4750882,-8.031961,0.88556534,2.6133597,2.2110384
CLC,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
CLEC10A,-0.20070079,-0.038991153,-0.877193,-1.3597182,0.22823794,-0.6659691,-0.39897776,0.16324851,0.018718287
CLEC11A,0.18312919,0.9145962,-3.8398218,-2.2634895,2.7360227,3.528265,-1.0212836,0.27040496,0.13130033
CLEC14A,0.6953084,1.4781495,-1.9835459,-2.7438061,1.3214742,0.24879694,0.62069154,2.126826,0.29482278
CLEC18B,0.31567898,0.68940026,-0.72932976,-0.726631,0.5122815,-0.31600723,0.11230132,0.32326412,0.1071822
CLEC1A,0.14059055,0.2237682,-0.8977469,-0.53556406,0.5633295,-0.0469981,-0.16264813,0.14888346,0.003533126
CLEC3A,0.06340288,1.1484972,-1.9906139,-0.84160614,-0.33385295,1.0986704,-1.4283022,-0.6481192,0.1281135
CLEC3B,0.030493632,0.86039597,-1.4717742,-0.40637746,0.27107733,0.054236762,-0.53831637,1.2903696,0.09257906
CLEC5A,0.310423,0.5154283,-1.0841055,-0.7818723,0.4546711,-0.42052868,-0.12244846,0.34251547,0.05005536
CLGN,0.14532793,0.47666427,-0.8359039,-0.6575511,0.35506067,-0.05443875,-0.10453552,0.22819597,0.0064232117
COCH,0.3271313,0.67576015,-0.90210664,-0.4881138,0.29343584,-0.8918376,0.026215281,0.20907356,0.021543097
COL10A1,0.71858627,2.2404451,-0.5884849,-1.5385526,1.3948861,-2.1588006,1.8421632,0.70465124,1.3460252
COL11A1,1.2542713,3.1635022,-4.4665895,-1.4224879,3.2001095,5.842868,-0.53773034,0.2780936,0.15856363
COL11A2,-0.10078488,1.6791099,-1.5013295,-0.4854554,-0.040743235,1.1218164,-1.0549973,-1.1623869,0.2976106
COL12A1,0.071162276,0.9277379,-4.535531,-1.576459,0.4569878,-0.7155631,-1.7327175,2.3059647,0.116254956
COL14A1,0.7304547,2.578289,-5.6064463,-2.0892203,-0.40370494,-1.5790554,-2.063498,2.6119683,0.10846716
COL15A1,0.2046453,1.1080741,-2.4808667,-2.051839,-0.4953355,-0.21578056,-1.1190459,0.36970145,0.39549437
COL16A1,-0.36570078,1.2346026,-0.57228005,0.3647214,0.8435326,-0.8458231,0.9492705,1.3632045,0.10223396
COL17A1,0.3271313,0.67576015,-0.90210664,-0.4881138,0.29343584,-0.8918376,0.026215281,0.20907356,0.021543097
COL18A1,0.30102846,-0.23827064,-2.123765,-1.8753629,0.8263314,-1.4901329,-0.5680807,-0.4698999,0.20314036
COL1A1,-1.4219474,0.29274076,-2.9529378,-1.5094692,0.6970578,-1.6641997,0.48575556,3.869083,0.36534595
COL1A2,-0.8332798,0.38210186,-1.3163866,-0.84274685,0.22718047,-0.6764802,0.040159404,2.66476,0.3423341
COL21A1,0.08589459,1.2674379,-0.41973025,-0.72757065,0.37763703,-0.1612388,0.528947,0.5713409,0.16449583
COL22A1,0.47978604,1.1891128,-0.39763498,-0.8491428,0.81188595,-0.26307502,0.6139086,0.5090554,0.09608956
COL27A1,0.23455662,0.5309705,-0.9875921,-0.5688675,0.33609027,-0.089057,-0.21641387,0.15619174,0.00611806
COL28A1,0.2573741,0.8801226,-1.2239885,-1.4650996,-0.10360485,-0.23988232,-0.29186648,0.25346768,0.50813603
COL2A1,1.592177,3.7003264,-2.3296945,-3.0739777,-0.44469288,-1.7330927,-0.6533259,-3.7596989,1.1004416
COL3A1,-0.24058074,1.8736268,-2.6782553,-0.37164,0.46736145,-1.001381,-0.14860174,3.6104012,0.33369663
COL4A1,-0.43194807,1.2758033,-0.35632414,-0.018433064,1.4753506,-0.9983277,1.5145787,1.4182241,0.22434372
COL4A2,-0.88378125,1.3271822,-0.67045796,0.59302604,1.7760199,-1.6762214,2.2090275,2.0955272,0.25154823
COL4A3,0.93676037,4.1022444,-0.30881953,-0.5234556,3.155395,1.225433,1.9467895,0.5244218,0.7641289
COL4A4,0.07306502,1.0204506,-0.3680938,-0.48323864,1.0577459,0.31512362,0.36335403,0.15466926,0.06344713
COL4A5,0.2839349,0.8930902,-2.036154,-1.6074948,1.8540444,2.427889,-0.42706162,0.3428375,0.038098168
COL4A6,0.4543249,2.354374,-0.19469503,-0.4628375,1.8616483,0.24760813,1.1434821,0.5109759,0.40118667
COL5A1,-0.062469557,1.5239818,-1.0052197,-0.2137425,0.08264821,-0.693907,-0.046560884,1.7054611,0.45737585
COL5A2,-0.031474285,1.2373942,-2.8087401,-0.28517705,0.2123177,-0.52068,-1.0928906,2.3169973,0.7650821
COL5A3,0.8528086,0.98838955,-1.4130865,-2.3247015,1.0503832,-0.34885356,0.576924,1.3623446,0.22343355
COL6A1,-0.26917702,0.9606527,-3.5567775,-0.93789196,0.29132697,-0.91094726,-1.0403453,2.726591,0.26366702
COL6A2,0.16400167,1.0624545,-3.3883357,-1.5413747,-0.21131943,-0.5566332,-1.450217,1.2530471,0.14640225
COL6A3,1.0711389,1.6516513,-5.0063877,-1.048709,0.5880232,-0.5247306,-1.7589402,1.7559764,0.1513696
COL6A4,1.6121135,4.383732,-3.2693574,-1.9915826,-0.45846963,-4.2091923,0.5266638,1.4387292,0.5308159
COL6A5,0.15559328,0.53854775,-0.890555,-1.3935772,0.014903317,-1.2730163,-0.20104781,0.29217798,0.027507618
COL6A6,1.3162277,2.9620512,-1.4276644,-0.0009675622,2.7536716,-2.37017,2.2907515,-0.74706155,0.58606476
COL7A1,0.3685346,0.4579632,-0.5522487,-0.5861269,0.229946,-0.46204472,-0.01212896,0.34021923,0.06912555
COL8A1,1.1690727,3.024673,-1.922545,0.4009132,0.71431303,-2.3186142,0.7861366,-0.25979424,1.0510033
COL8A2,-0.79211104,1.4935203,-1.7612641,0.49605808,1.1299914,0.5616673,-0.097766094,-1.4254326,0.08694019
COL9A1,0.04037763,1.0852044,-1.849894,-0.7633747,-0.36760604,1.0408224,-1.4440722,-0.61308455,0.057477165
COL9A2,0.34845397,0.7117006,-2.9649966,-1.0944867,0.1843534,-0.35282302,-1.1371294,0.23832282,0.039451297
COL9A3,0.20076132,0.5690488,-1.0412555,-0.5605612,0.27572945,-0.019720413,-0.2814592,0.0798295,0.009583519
COLEC12,-0.095773935,0.052303277,-0.8419696,-1.1473562,0.24772711,-0.51302034,-0.34503734,0.13311143,0.015765466
COLQ,0.038149856,-0.12527904,-0.97675216,-0.5845729,0.76448226,0.19464862,-0.2712499,0.22573677,0.016631797
COMP,-0.0068672933,0.5969931,-1.0391816,-0.26886696,0.16974333,0.111905016,-0.42593956,-0.19829415,0.012889379
CPAMD8,0.29429126,0.5800124,-1.0674344,-0.7020551,0.211598,0.12730321,-0.3349343,0.25928056,0.016635993
CPN2,0.930074,0.09663478,-3.775269,-0.7586893,3.4152174,-3.6327755,0.52440387,-0.2717389,1.5458021
CRELD1,0.10062646,0.14783904,-0.8755702,-0.54935575,0.5939268,0.041849516,-0.17893507,0.17513283,0.0031063326
CRELD2,-0.12318806,-0.24320346,-1.0273535,-0.5000492,0.7725933,0.2862349,-0.3699276,0.18143035,0.03748619
CRISPLD1,0.03515234,0.7013805,-1.1897694,-0.51814884,-0.048353408,0.45464846,-0.73105466,-0.18466578,0.039137892
CRISPLD2,0.07290261,0.60704064,-0.9867587,-0.29160082,0.34785548,-0.2576134,-0.19327573,-0.09839265,0.014717907
CRLF1,0.5699441,-0.66604173,-0.9613408,-1.3513047,1.5351149,-1.3234738,0.46093166,0.799271,0.06002309
CRLF3,0.17561483,0.3349388,-0.91756415,-0.5382214,0.507421,-0.12968166,-0.14596161,0.14534387,0.00348576
CSPG4,0.17724222,0.84282565,-0.8569939,-0.9741769,-0.36716554,-0.02212236,-0.3424934,0.26842654,0.095177844
CST12,-0.6975832,-0.86755896,-1.4654458,-3.321075,0.6400747,-2.4528942,-0.8513301,0.62902427,0.22030172
CST3,-0.5834072,-0.70411056,-4.1136928,-4.5296335,0.44055948,-3.1735961,-1.7302469,0.6144185,0.17249869
CST6,0.34545952,0.7006198,-0.90808594,-0.4965484,0.2892954,-0.94296455,0.048693284,0.22062404,0.026096368
CSTA,0.21962467,1.3674722,-0.34765488,-0.74802846,0.6713254,0.011448659,0.59951687,0.521539,0.0936266
CSTB,0.6712921,2.471603,-1.3944346,-3.0558956,1.3489333,0.59724057,-0.35240543,-2.2051005,0.4703937
CTGF,-0.0680442,0.66763693,-1.0866961,-0.2693683,0.09735976,0.21002594,-0.51338243,-0.28430986,0.01649031
CTHRC1,0.19986701,0.78084975,-1.0040038,-0.39930785,-0.104558155,-0.34966448,-0.2892452,-0.050855383,0.02343664
CTSA,0.27228925,0.3617964,-0.89034414,-0.6403322,0.5815899,-0.39597553,0.010749958,0.28850186,0.0071361326
CTSB,0.350604,1.2342534,-0.32460672,-0.88538885,1.9303367,-1.4907835,0.88487315,0.19768788,0.57582504
CTSC,-0.05033584,1.3646296,-2.5821295,-1.5523167,2.0662832,3.197066,-0.6770125,-0.23483114,0.33312526
CTSD,0.8562956,0.16991681,-1.5157142,-2.8651962,0.918107,-2.0563052,-0.72282165,-1.0233668,0.20067729
CTSF,-0.15915917,0.022454727,-1.1178473,-2.006649,-0.023332562,-1.0091579,-0.680303,0.31790337,0.08098091
CTSG,0.38210627,-1.6118705,-2.632089,-2.1194785,2.5863905,-3.6035907,0.12145944,1.2103903,0.8012469
CTSH,0.06958934,0.37377104,-0.91675675,-0.3670373,0.4557435,-0.122405775,-0.19373022,-0.022324607,0.0071854023
CTSL,-0.53586733,-0.50577474,-1.2290837,-2.2268114,0.39613116,-1.5368624,-0.6832347,0.26680112,0.06829189
CTSS,-0.38336423,0.12630227,-0.93149614,-0.024991214,0.5840626,0.21332878,-0.24962346,-0.31823826,0.011051784
CTSV,0.3271313,0.67576015,-0.90210664,-0.4881138,0.29343584,-0.8918376,0.026215281,0.20907356,0.021543097
CTSZ,1.49369,1.8058496,-3.2703202,-2.1161718,1.2948927,2.0379124,-0.64174056,-1.3930538,0.67422086
CXCL10,0.23455662,0.5309705,-0.9875921,-0.5688675,0.33609027,-0.089057,-0.21641387,0.15619174,0.00611806
CXCL12,1.9703395,0.9233963,-10.0928335,-2.4429488,2.5380402,-3.2115471,-3.0680387,2.2284398,0.8257295
CXCL14,1.907442,3.5509453,-7.4700956,-4.1863556,-0.35716105,2.539087,-4.1516247,2.085135,0.41604653
CXCL15,0.29606888,0.7825915,-1.0417868,-0.5905038,0.29632422,-0.5940504,-0.030291036,0.17869174,0.012131331
CYR61,0.1042031,0.5341631,-0.7592339,-1.0877246,0.47242963,-0.09051121,0.12066552,0.8356804,0.08342383
Cabp1,0.14666891,0.2868847,-1.4426955,-0.60989404,0.30941316,-0.23828277,0.6224267,-0.015067279,0.012784309
Cap2,-0.033891626,0.69635,-1.1483316,-1.0613964,0.2430001,-0.06364839,0.22926728,0.45544583,0.06252746
Cbln1,0.15426946,0.33163524,-1.7401593,-0.8029095,0.30664378,-0.2589726,0.87716943,-0.0462967,0.10123642
Cbln4,0.7600646,2.2489305,-0.617203,-1.0676382,1.503291,-0.9802093,-2.5930939,1.4126877,0.03584437
Ccl21c,0.16080555,0.27942514,-1.2096415,-0.5581678,0.32381013,-0.2252354,0.37971282,0.021930486,0.023274254
Cd109,0.003100276,1.5724162,-1.8008717,-0.9005605,0.860855,-0.64466316,0.08926879,0.34237304,0.22889675
Cd209d,0.12932947,0.099722736,-1.796864,-0.83920765,0.2619616,-0.21158281,1.0020573,-0.029242933,0.13203773
Chad,-0.54351956,3.7754378,-5.784115,-4.242879,3.5714283,-1.4549541,0.31599224,0.7477634,1.0898206
Chadl,0.14043257,-0.0038655624,-2.601647,-1.3402344,0.22712368,-0.2319277,1.7810968,-0.064945295,0.18121637
