Tissue,Gene_Symbol,gradient,abs_gradient,zscore
Ovary_Cortex,THBS4,-1.704686476352588,1.704686476352588,
Ovary_Cortex,COL11A1,-1.5663367701308362,1.5663367701308362,
Ovary_Cortex,EFEMP2,-0.9645706777074637,0.9645706777074637,
Ovary_Cortex,LAMC3,-0.8632011860011715,0.8632011860011715,
Ovary_Cortex,F12,-0.6602533884997785,0.6602533884997785,
Ovary_Cortex,MATN2,0.561800678475317,0.561800678475317,
Ovary_Cortex,LTBP4,-0.5607127862038832,0.5607127862038832,
Ovary_Cortex,SPON1,-0.5315738291279681,0.5315738291279681,
Ovary_Cortex,NGLY1,-0.44992481360850634,0.44992481360850634,
Ovary_Cortex,C1QB,0.3088970451331717,0.3088970451331717,
Ovary_Cortex,TGFB1,0.26976490756047106,0.26976490756047106,
Ovary_Cortex,LAMA3,0.16882803131145815,0.16882803131145815,
