Tissue,TGFb_Delta,Collagen_Delta,TGFb_Magnitude,Collagen_Magnitude,Ratio
Intervertebral_disc_NP,0.0011155923781893174,-0.3917515627951711,0.0011155923781893174,0.3917515627951711,351.16012842523236
Intervertebral_disc_IAF,-0.19818440647415284,-0.2428880139872779,0.19818440647415284,0.2428880139872779,1.2255657158322157
Intervertebral_disc_OAF,0.20824881987926028,-0.0058471400051559016,0.20824881987926028,0.0058471400051559016,0.028077662137754204
Heart_Native_Tissue,-0.0968193829376606,-0.2216595407754417,0.0968193829376606,0.2216595407754417,2.2894128639320326
Skin dermis,-0.6336336331977275,0.012772871028268415,0.6336336331977275,0.012772871028268415,0.02015813296369418
Kidney_Glomerular,0.08001283429671123,-0.09260079379676002,0.08001283429671123,0.09260079379676002,1.1573242544235955
Kidney_Tubulointerstitial,-0.008180434749790515,-0.13253001185650007,0.008180434749790515,0.13253001185650007,16.200851899698108
Ovary_Cortex,0.2235516351547585,-0.5246227224880963,0.2235516351547585,0.5246227224880963,2.346763073886329
