Protein_A,Protein_B,Raw_Correlation,Latent_Similarity,Difference
IGFBP4,Plg,0.09041729570521706,0.7343722,0.6439549028764785
ANXA8L2;ANXA8,Plg,0.09041729570521706,0.7343722,0.6439549028764785
ADAMTS16,Plg,0.09041729570521706,0.7343722,0.6439549028764785
GLDN,Plg,0.09041729570521706,0.7343722,0.6439549028764785
COL27A1,Plg,0.09041729570521706,0.7343722,0.6439549028764785
C1QTNF8,Plg,0.09041729570521706,0.7343722,0.6439549028764785
Plg,S100A7L2,0.09041729570521705,0.73437214,0.6439548432718337
COL28A1,Mbl2,0.06135619674158844,0.7053086,0.643952419419758
NTN4,SEMA3D,0.07701949858115456,0.7209221,0.6439026138837503
COL9A3,ITIH6,0.29168429168661353,0.9354722,0.6437878986934829
Col11a1,PLXNB2;MKIAA0315,0.06522103435329975,0.7089035,0.6436824571437401
Ltbp2,REG1A;REG1B,0.08742817466152854,0.7308545,0.6434263365994578
KNG2,S100A12,0.08280335916784366,0.72618246,0.6433791016170685
FSTL3,Mstn,0.07017946015193788,0.71345913,0.6432796739499298
EGFL7,Srpx2,0.06250000000000001,0.7056986,0.6431986093521118
Col4a5,SCUBE3,0.07155823594140834,0.71473825,0.6431800138373392
PF4;PF4V1,S100P,0.06019448693401663,0.7033137,0.6431192213713423
CD209,CRLF3,0.06358441175272755,0.7064864,0.6429019921893806
Fgf13,Wnt10a,0.05951244281311749,0.70232785,0.6428154046676564
Ltbp2,MMP8,0.06249999999999995,0.7052546,0.6427546143531799
Adam17,Col5a1,0.17482982555246557,0.817461,0.6426311882414797
C17ORF58,EMID1,0.06250000000000003,0.70511895,0.6426189541816711
S100P,SFRP2,0.05777921024425176,0.70035076,0.6425715511693224
Hmcn2,Sema6d,0.14532085358820493,0.7878725,0.6425516396788544
CPAMD8,SVEP1,0.06809052096737067,0.7104814,0.642390884290808
Mmp2,PDGFC,0.13352004908329912,0.77582824,0.6423081932186419
BMPER,Ccl21c,0.09061043339757342,0.7328819,0.642271470250803
Angpt1,Igfbp4,0.062499999999999965,0.70476323,0.6422632336616516
IL17D,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
GLDN,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
ANXA8L2;ANXA8,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
S100A7,S100A7L2,0.09023009155324709,0.73235035,0.6421202578730224
ADAMTS16,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
COL27A1,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
IGFBP4,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
CXCL10,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
C1QTNF8,S100A7,0.09023009155324709,0.73235035,0.6421202578730224
INHA,SMOC1,0.06370181740456793,0.7057254,0.642023554433048
MMP2,WNT3A,0.18060077701535437,0.8224367,0.641835913315151
MMP8,REG3A,0.09060092609833571,0.7324275,0.6418265517382732
BMP6,SFRP2,0.07204770354770342,0.71382165,0.6417739460036882
Cd209d,Spock1,0.21586698804441262,0.8576339,0.6417669006770534
Clec10a,TCHH,0.06249999999999998,0.70424783,0.6417478322982788
LAMA4,SMOC2,0.16477816020874614,0.8064409,0.6416627296266115
MBL1,SULF2,0.16391833278108875,0.8054985,0.6415801480157253
Ltbp2,SCYL1,0.06250000000000006,0.7039312,0.6414312124252319
Col11a1,GREM1,0.06522103435329976,0.7065956,0.6413745652980369
SEMA3D,Serpina10,0.07635615571074256,0.71770304,0.6413468887037777
Masp2,SCUBE3,0.07155823594140832,0.71284974,0.6412915002722758
Clec10a,LAMB3,0.07745723571780326,0.7186774,0.6412201658248603
ECM1,SFTPD,0.0650849068571444,0.70629126,0.6412063514779691
CXCL15,Serpina10,0.07206368111539964,0.7132509,0.6411871943576228
REG3A,Serpina10,0.10446457995376564,0.7456412,0.6411765919784548
Igfals,Tgm1,0.0625,0.70357376,0.6410737633705139
Cspg5,TSKU,0.09431674110655192,0.7352683,0.6409515537046968
Mmp2,SPON2,0.06508208645647487,0.70589525,0.640813158618751
Coch,Igfbp4,0.06249999999999996,0.7032024,0.6407024264335632
Clec1a,HTRA4,0.09113027443295872,0.73182917,0.6406988919793948
CLEC1A,Fgf2,0.0625,0.7031865,0.6406865119934082
Adamtsl1,Ccl21c,0.06250000000000007,0.7031714,0.6406713724136351
CLEC1A,FGL2,0.07301475193545717,0.71364427,0.6406295141930829
CRISPLD2,PLXNB2;MKIAA0315,0.24497229175629362,0.88557506,0.6406027643197562
MST1;MST1L,TSPEAR,0.07036414280378515,0.71085703,0.6404928909257681
HTRA3,Mmp2,0.09983598197603798,0.7401997,0.6403637031207028
NTN1,SFTPB,0.1603506333383631,0.8004846,0.6401339643445898
ADAMTS2,Cspg5,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,PODNL1,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,SULF1,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,IBSP,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,PCSK5,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,REG4,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,MATN1,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,WFIKKN2,0.06739791282406146,0.7075254,0.6401274596811265
Cspg5,LEP,0.06739791282406146,0.7075254,0.6401274596811265
ISM2,Ncan,0.0632581074298682,0.70331395,0.6400558392940698
Col25a1,Plxnc1,0.2972123262800478,0.93720484,0.6399925115190245
Clec1a,MBL1,0.09128308430182867,0.7311504,0.6398673044158227
C1QTNF2,Mstn,0.06641708761493416,0.7062534,0.639836321770747
ANXA8,Masp2,0.07322986489340283,0.7130534,0.6398235403914787
FGL2,SEMA3F,0.07301475193545715,0.7128347,0.6398199639077435
CCL21C;CCL21B;CCL21A,SMOC1,0.06370181740456791,0.7035005,0.639798691857517
C17ORF58,Clec1a,0.06249999999999996,0.7022762,0.6397761702537537
Kcp,SERPINA3G,0.06250000000000001,0.70215404,0.6396540403366089
Col11a1,EMID1,0.06522103435329975,0.70452756,0.63930652254291
Adamtsl1,FSTL3,0.06815661493125343,0.7073771,0.6392204612177333
MMP2,Tgm1,0.06616021022321689,0.7053666,0.6392064012574961
S100P,TSPEAR,0.062499999999999986,0.7016801,0.6391801238059998
CSTB,SERPINA1,0.09515250577743624,0.7342481,0.6390955959338369
PLAU,WISP3,0.08669286430422359,0.72576934,0.6390764766877503
EGFL7,Sfrp1,0.06249999999999999,0.7015617,0.639061689376831
Col11a1,REG3A,0.09454537781600518,0.73360115,0.639055775080876
IL11,LAMA4,0.15400064343300063,0.7929611,0.6389604771724682
ANXA8,Serpina10,0.0844354181088317,0.72335786,0.6389224381648194
Gas6,Masp1,0.06250000000000007,0.7009879,0.6384878754615783
GDF10,WIF1,0.06793666013613188,0.7064179,0.6384812580691294
Fcn1,WNT3A,0.06250000000000006,0.7009357,0.6384357213973999
Col15a1,SERPINB8,0.0736067343043297,0.71202934,0.6384226035786659
SCUBE3,Serpina10,0.0825079983369948,0.7208167,0.6383086735113023
NID2;NID-2,Plg,0.09041729570521706,0.72865236,0.6382350623498977
CCL14,Col11a1,0.10426641634510256,0.742415,0.6381485945840051
Fgf2,SEMA3F,0.06250000000000001,0.70055413,0.6380541324615479
Sulf2,TSPEAR,0.062499999999999986,0.700481,0.6379809975624084
Fgf2,WISP3,0.08669286430422363,0.72461283,0.6379199677651733
Hmcn2,Lgi2,0.08028884936164782,0.7181107,0.6378218312184913
IGFALS,Serpind1,0.09410790343342348,0.7318542,0.6377462969297357
ANXA9,PRSS3P2;PRSS2;PRSS1,0.06804389103225457,0.7056683,0.6376243795556665
CTSV,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
Mstn,VWA2,0.06435496046745136,0.7019501,0.6375951127747361
COL17A1,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
COCH,Mstn,0.06435496046745136,0.7019501,0.6375951127747361
