,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10
CTSA,-0.08604004,-0.22296923,-0.11066827,-0.17426054,0.1291678,-0.14280021,0.108306065,0.18573865,0.17607293,-0.2245888
CTSB,-0.87824434,-0.88741094,-1.1802417,0.7458492,-0.6572595,-0.31656793,-1.0534981,1.443732,-0.84737784,0.8385639
CTSC,-0.7869944,-0.5109306,0.2795126,-0.056892686,0.84184813,0.24398464,-0.7273822,0.2861817,-1.9499005,0.9831691
CTSD,0.8420669,-2.227718,-0.8069832,0.9591244,-1.3729309,-0.35569757,-1.113443,0.4491883,-1.0665183,0.5454741
CTSF,0.3292515,-0.10138214,0.4214097,0.63539916,-0.62163025,0.13744098,0.011105716,0.18954034,-0.545884,0.34749055
CTSG,1.5260551,-0.8773019,1.1874137,-0.60847354,0.32421133,0.059599098,0.012013541,0.3616273,-0.23616995,-1.9087508
CTSH,-0.047418267,-0.17161423,-0.037235778,-0.108383745,0.0012584684,-0.050593507,0.07188352,0.114868864,0.13747983,-0.095033444
CTSL,0.44248143,-0.06310124,0.5430703,0.9427286,-0.85812503,0.2489998,0.0060012913,0.42704254,-0.8168181,0.23282698
CTSS,-0.116243996,-0.06163001,0.00575224,0.20879535,-0.13547663,0.103987806,-0.2796552,0.029317068,0.3290793,-0.013767653
CTSV,0.27672336,-0.3701339,-0.31853476,-0.21460232,-0.024289485,0.07614947,0.13442908,0.18071929,0.2791795,0.0028906174
CTSZ,-0.078766085,-3.5920417,-0.7617232,0.47491902,-1.3337395,-0.60027987,-2.9127026,-1.1432443,-1.1492151,2.022141
CXCL10,-0.09035245,-0.16647734,-0.039816495,-0.21019539,0.020270698,-0.1133058,0.10200009,0.07665098,0.19560164,-0.04684024
CXCL12,1.8211765,-5.6575623,3.3936377,1.0815747,-0.13953811,0.43721554,-0.45635474,0.010803399,1.5709523,0.94788784
CXCL14,1.0284367,-1.8281838,1.406464,0.19140433,-1.2687296,0.86797136,-0.87055856,-3.1512666,0.44916037,3.4682734
CXCL15,-0.1315808,-0.16609214,-0.075482324,-0.35020038,-0.062119793,-0.16283822,0.22081381,0.0020536056,0.119671896,4.608598e-05
CYR61,0.0027076327,0.4809478,-0.16269612,-0.33463922,0.34808356,0.17687896,0.04827281,0.028656874,0.080270484,-0.5334568
Cabp1,0.000466856,0.016017603,0.12934817,-0.51777595,-0.14488421,-0.18043444,-0.32163328,0.123529755,0.23677184,-0.1195304
Cap2,-0.14802259,0.2523227,-0.20762387,-0.46006888,-0.09224037,-0.01735864,0.048875663,0.06626786,-0.053065773,-0.47339338
Cbln1,0.33009657,0.32264122,0.061001536,-0.5266788,-0.28356707,-0.19366096,-0.79743123,-0.024717463,0.44624174,-0.2840665
Cbln4,-1.0765456,-0.30271274,-0.96278274,1.0827249,0.70390975,0.022952069,0.9675881,-0.60222334,-0.10113248,-0.4960819
Ccl21c,-0.08802998,-0.09197796,0.060410816,-0.44012973,-0.10540728,-0.12884437,-0.12010435,0.1737956,0.1861608,-0.088757336
Cd109,-0.13000211,-0.02933867,-0.082079224,0.114964075,0.26595873,0.4608404,0.46768385,0.17161322,0.20022489,-0.06558896
Cd209d,-0.030736001,0.018128904,0.08062691,-0.90329164,-0.17609164,-0.16064769,-0.5516912,0.35135332,0.13897361,-0.0994646
Chad,0.29338914,0.4475255,-0.85788596,-0.23488146,0.38355133,1.1810658,1.0141866,1.2350419,1.119211,-0.07923225
Chadl,0.21482791,0.35440108,0.14331232,-1.6014254,-0.31746307,-0.28737807,-1.2291187,0.56032956,0.1865802,-0.2724567
Chl1,0.7720154,0.8214216,0.22129367,-1.1917853,-0.61374795,-0.36459163,-1.7699298,-0.047519173,0.88134354,-0.45170203
Cilp,0.43690518,-0.72857684,-0.2008859,1.0202596,1.002533,-0.3838703,0.52859527,-0.060143463,0.08954193,0.549142
Cilp2,-1.3703158,0.22116297,-2.986704,-0.7289065,-1.6624948,-1.933227,-0.94937485,0.03426254,2.6272507,-1.3174205
Clec10a,-0.07027297,-0.33511913,-0.11178418,-0.15857974,0.014203847,-0.11501994,0.11029982,0.14486271,0.1454327,-0.023760319
Clec1a,-0.0446769,-0.022642424,-0.034235008,-0.19523898,0.06768631,-0.1161006,0.14506373,0.07492151,0.15212311,-0.20997582
Clec2l,0.36097425,0.54559624,0.21450785,-2.0891316,-0.43768868,-0.3575166,-1.6908659,0.7079026,0.23378266,-0.3484526
Clec3b,-0.027085353,0.30173993,-0.08031381,-0.2013868,0.16307047,0.060197573,0.07598564,-0.044856317,0.07949079,-0.28593472
Coch,-0.34175324,-0.41622066,-0.2765127,-0.012294225,-0.00084915385,-0.18979435,0.36091834,-0.15465082,0.102631144,0.04372789
Col11a1,-0.563066,-0.17444837,-0.955596,-0.37045574,-0.31900603,-0.277499,0.08907164,0.5087247,1.4066366,-0.41729
Col11a2,-1.1652687,-0.69248515,-3.803009,0.7832292,-1.4154234,-4.233281,-2.199216,-2.0218885,4.312201,-0.033996016
Col12a1,-1.5583342,-0.18487407,-3.0817177,0.8885721,-0.9963006,-2.5197833,-1.1713586,-2.0234303,1.3069483,-0.8315661
Col14a1,0.05861703,1.8668692,-1.2951826,-0.33117265,-0.6053443,4.8196063,3.0624907,4.807278,2.6659913,-2.3010209
Col15a1,0.2782596,0.6652087,-0.6265384,-0.13721249,0.31259158,1.4628478,1.0825366,1.0506862,0.5268238,-0.4536043
Col18a1,-0.18767315,-0.097294725,-0.6010602,0.6738711,0.54132265,-0.13606407,0.27843076,-0.27573538,0.37392387,-0.3215486
Col1a1,-2.2573037,-1.1427636,-2.822031,0.22474034,-1.4733039,-1.7104372,0.13797672,-0.40948334,0.7023152,-1.1662998
Col1a2,-3.2054267,-2.0006382,-3.5006692,0.96435773,-1.487176,-1.8302659,1.1233062,-0.6189095,0.3090997,-1.2588024
Col25a1,-0.10939731,-0.09028088,0.07422548,-0.57051927,-0.14718094,-0.12901184,-0.243698,0.21308807,0.16244274,-0.051775195
Col2a1,-1.663438,0.7658894,-4.1930003,-0.9930826,-2.6209567,-2.9706635,-1.7985594,-1.6024181,1.2116426,-2.328029
Col3a1,-1.7511841,-0.3006446,-1.0304593,-0.10451311,-1.7239828,0.2512138,0.5057806,1.4233487,0.44350076,-1.812136
Col4a1,-1.2197336,-1.381862,-0.6992434,0.94729966,0.4362815,-2.5097916,0.23101151,-2.682931,-0.2754029,-0.24447349
Col4a2,-1.0891281,-0.6566836,-0.5878567,0.8210086,0.63602215,-1.6587695,0.4520589,-2.0852728,-0.1583414,-0.826507
Col4a3,-0.104881726,-0.7853138,-0.896131,0.9960879,0.47685325,-1.5608678,-0.025068095,-0.79501325,0.9526868,0.39819002
Col4a4,0.17301089,-0.4149288,-0.17565547,0.46652123,0.5250373,-0.24724391,0.34808862,-0.017972693,0.12727475,0.19675647
Col4a5,-0.12022745,-0.24550225,-0.1544817,-0.14827318,0.06390389,-0.124962114,0.23648955,0.07820205,0.11331425,-0.09338
Col5a1,-0.5204645,0.90109354,-1.8918352,-1.4193288,-1.389482,-0.01330689,-0.22087172,-0.14542487,-0.7095217,-1.9499928
Col5a2,-1.2040855,0.34371704,-2.6425343,-0.950638,-1.615671,-2.1387296,-0.86715734,-0.7417416,1.3432711,-1.5593476
Col6a1,-1.355274,-1.2604591,-3.3003378,2.783477,1.5193837,-1.20723,1.7347026,-0.14809473,2.0285764,0.2728828
Col6a2,-1.2166568,-1.7792579,-2.3545926,1.4498824,0.1955019,-1.8360095,0.9682842,-0.24761114,1.4656487,0.8065539
Col6a3,-0.75765514,-0.55324984,-0.6321318,0.4006704,0.0895158,-0.25460052,0.5920211,-0.47432938,-0.023893723,-0.100970626
Col6a5,0.4823412,-0.78566086,-0.20513114,1.1344903,1.1000742,-0.41349065,0.5736216,-0.06329423,0.089704715,0.6160363
Col6a6,0.28941447,-0.87465394,-0.7454103,1.2711437,1.3327358,0.12811217,0.9009304,0.95023835,1.0381973,1.0419495
Col8a2,-0.4452579,-0.46841347,-1.2053233,0.44507593,-0.45468566,-2.014414,-1.1656309,-1.0767316,1.5995301,0.14666027
Colec11,-0.16471262,0.04184292,-0.236431,-0.26448667,-0.21843846,-0.03576451,0.08831161,0.08127938,0.010871756,-0.5048489
Colec12,0.2508281,0.56037647,-0.09916404,-0.45738342,0.06550631,0.10665046,-0.36050266,-0.16064315,0.22357346,-0.5052835
Comp,-1.190924,-0.40750188,-0.4846096,0.9410348,0.11384863,-3.4933894,-3.4074168,-2.6861386,1.3218181,0.08134496
Cpn2,-0.091300465,0.023266802,0.10625852,-0.11375242,0.37906954,-0.054541722,0.0056858403,-0.08379739,-0.060687326,-0.07500307
Creld1,0.2851464,0.5490575,0.083628185,-0.86726785,-0.11228282,-0.16447291,-0.74156547,0.05477483,0.29237458,-0.36551723
Creld2,0.24949299,0.47747928,0.07155248,-0.74253213,-0.09796488,-0.1404883,-0.63018876,0.022076167,0.28271422,-0.3401084
Crlf3,-0.14168508,0.12907632,-0.18490972,0.008366877,0.22261147,0.04016954,0.3083296,-0.071783625,0.060255487,-0.22930668
Crp,-1.595927,-1.7181315,-1.2451088,0.7647807,-0.2943132,-0.6773803,0.95243025,-0.96901524,0.017562699,0.37156212
Cspg4,0.36681,0.8268158,-0.1348946,-1.0081203,-0.39636832,0.06136218,-0.70720196,0.09315193,0.07011824,-1.02829
Cspg5,-0.081067696,-0.09734921,0.051369693,-0.41222143,-0.09511852,-0.1324597,-0.083489195,0.15636222,0.18782331,-0.09577479
Cst3,0.021372538,0.20707418,-0.45112014,-0.42368826,-0.21075374,0.1154034,-0.043127038,0.38995585,0.9841074,-0.41216987
Cstb,-0.5283316,0.33602926,-0.39306372,-0.09083292,0.1605648,-2.0793438,-1.5033242,-2.1115873,0.5157541,-0.5540289
Ctsa,-0.33642316,-0.33027494,-0.25718215,-0.03245258,0.02515925,-0.14992121,0.38555542,-0.17612652,0.09353787,0.03072842
Ctsb,0.03040992,-1.9458226,0.26201916,2.273047,1.9849578,-2.0254996,-0.24602784,-1.6470162,-0.44902557,0.3031559
Ctsc,-0.025202967,0.8199459,0.078324355,-0.4667574,0.75815034,-0.12325932,-0.5411192,-0.59826064,-0.23594505,-0.41899204
Ctsd,-0.37221408,-2.169214,-0.39587492,3.3898988,2.4331393,-2.7489297,0.21961556,-2.7870216,-0.5082532,-0.017815392
Ctsf,0.37490985,-4.3676744,-0.4110634,5.450212,3.0689454,-4.53024,-0.7687525,-2.2546463,0.18371466,1.437192
Ctsh,0.54966384,-0.50786966,-0.84472084,1.7183888,1.600267,0.49287954,1.3246013,0.31773558,0.58825827,0.70240164
Ctsl,-0.6771528,-0.19505368,-0.96454614,-0.26859644,-0.34989235,-0.2943496,0.07997524,0.863621,1.9761605,-0.31322175
Ctss,-0.8323237,-0.53050554,-0.081706606,-0.114371866,0.32190087,-0.8302344,0.20269433,-0.9433078,-0.43984303,-0.7437477
Ctsz,-0.6644771,-0.5095401,-0.3959685,0.71118665,0.37411878,0.3991647,0.8286474,0.111223295,-0.0054588625,-0.15428954
Cx3cl1,0.045914408,-0.0640752,-0.09863963,-0.016522346,0.099510096,-0.08342217,0.026268616,-0.07399982,0.17996512,-0.26740018
Cxcl12,0.44965956,-0.7445359,-0.20203213,1.0517688,1.0295383,-0.39198545,0.5412518,-0.061027583,0.08963085,0.5676042
Cyr61,-0.5391052,0.54188985,0.49665308,-1.7072815,0.55658525,-1.319489,-0.72713786,-1.3770478,-0.5009489,-1.3453916
DCN,0.37584138,0.520293,3.1916072,0.022448497,0.618696,0.5799112,1.626405,0.67795795,0.17124552,1.1777734
DPT,2.4245102,0.21183145,-0.06702477,-0.106626496,-0.90242624,0.37106445,-0.36516485,-1.2068224,-0.3127835,-0.09158226
DSP,-0.45580265,0.20276606,-0.06964716,-0.036552586,-0.23436086,0.6545168,-0.46347815,-1.3011719,0.41707018,1.53463
Dcn,-0.2717471,-0.4906069,-0.5266458,0.4491785,0.17774501,0.21324687,0.7905036,0.464031,0.48653463,-0.09164035
Dpt,-0.5901863,0.08028457,-0.91730964,-1.1363846,-0.56299007,-0.8090851,-0.34863427,-0.5799537,-0.18124603,-1.0897063
Dsp,0.7273004,0.8450432,0.12037013,-0.9630052,-0.42835826,-0.1615198,-1.4128294,-0.16816412,0.70474464,-0.5748996
EBI3,3.2050023,-2.0242202,1.550277,-1.0727153,-0.16524595,0.12655994,0.34890524,-1.5939529,0.5761284,-0.8140771
ECM1,-0.44968733,-0.66330415,-0.21947868,-0.21449652,0.3698593,0.06821075,0.13580245,0.6541469,0.40382227,-0.57572156
ECM2,-0.017817155,-0.11762758,-0.26045302,0.05238487,-0.26213044,0.2784188,0.0036267482,-0.400864,0.4899994,0.61249197
EDIL3,-0.13695341,-0.13236828,-0.08090422,-0.07249868,-0.13381082,0.07327597,-0.025921239,-0.32690254,0.23458974,0.3757088
EFEMP1,1.8221612,0.25736094,-0.53136927,1.4822669,-1.7812352,0.46221542,-0.70576406,0.426161,-1.8781174,0.7196788
EFEMP2,-0.07733625,-0.85960627,0.5481736,-0.41624454,0.8999622,-0.034163773,-0.75470686,-0.39990237,-1.9931985,1.2410556
EGF,-0.4929894,0.007432995,-0.5102169,-0.013219902,0.0688685,0.027837561,-0.19748962,0.25790793,-0.14778662,0.107062325
EGFL7,-0.03622551,-0.23231563,-0.077121176,0.029362122,0.1359496,-0.08009129,-0.06636969,0.17738523,0.169873,-0.14542991
EGFLAM,-0.08679644,0.24048078,-0.10406781,-0.2872503,0.1441774,0.010390509,0.15387717,-0.05492001,0.044560485,-0.23797855
EGLN1,0.055535603,0.50254667,-0.1824543,-0.26081967,0.17603642,0.22424826,-0.004706024,-0.09624257,0.054529354,-0.37118396
ELANE,1.3750085,-0.75972486,1.7262594,0.3254494,-1.6598232,1.0752685,-0.73314285,-1.3674495,2.2981398,-0.8193393
ELN,3.7095149,-5.5669174,0.6622184,0.87923104,0.27474385,0.20930745,0.8362797,0.84612435,-2.0518095,1.1976733
EMID1,-0.033549923,-0.20561635,-0.09597558,-0.115940705,0.06917816,-0.11031129,0.07524418,0.15196626,0.15206116,-0.14759919
EMILIN1,0.88667697,-0.7086694,0.4357237,-0.36037454,-0.021712437,0.2806148,0.38349512,-0.61455506,0.71274966,0.29246837
EMILIN2,0.54382205,0.38625497,-0.8326182,-0.97895676,1.8636261,0.0045064925,-0.028604804,0.21301158,1.4725143,-1.6161695
EMILIN3,0.10872378,0.4334807,-0.4873048,0.18660425,-0.21464123,0.69515413,-0.39789206,-1.0667741,0.779578,0.64673406
EPYC,0.40521023,-0.52005655,-0.55353916,-0.027303603,0.20375189,0.32460058,0.24940905,0.44370547,-0.7183727,-0.47171155
Ecm1,-0.28323132,-0.04563969,-0.0818593,-0.057002746,-0.28866512,0.34299543,0.35396633,0.48903587,-0.027943801,-0.49235904
Edil3,-0.41932148,-0.032127406,-0.43418288,0.41197222,0.4096841,0.019897457,0.51504815,-0.25901517,0.044566657,-0.36462244
Efemp1,-0.056661934,0.42305583,-0.3109531,-0.0673697,-0.009372589,1.1959014,0.7680165,0.8537145,0.6702356,-0.8819657
Efemp2,-0.06567861,-0.13197522,-0.0393037,-0.11480988,0.07402336,0.07189976,0.2454953,0.17822999,0.16656816,-0.098459676
Egfl7,0.07160046,-0.2951578,-0.12278895,0.10857658,0.28383383,-0.15573272,0.24689226,0.05794687,0.15020017,0.021442115
Egln1,0.080530286,0.40968058,-0.1109979,-0.97635967,-0.26468858,-0.13321231,-0.5115953,0.22286722,0.03514261,-0.6211758
Elfn1,0.04075501,0.09157157,0.1338813,-0.6621119,-0.17345065,-0.20331645,-0.49553138,0.17456183,0.24648607,-0.1469671
Elfn2,0.1394986,0.21475166,0.14727716,-0.8262487,-0.22756776,-0.24999191,-0.7152165,0.19893137,0.31253478,-0.18369685
Eln,-1.277798,0.21209577,-0.28234437,-0.15326361,-1.6826729,1.4960587,1.1627787,2.5926683,0.9408021,-2.4147608
Emilin1,-0.23703676,0.1826753,-0.51197857,-0.40443975,-0.38130608,0.087289385,0.11450592,0.14182599,0.3735856,-0.9580198
Emilin2,-0.035303026,0.8017985,-0.50888896,-0.485001,-0.12252488,0.4649864,0.07961147,0.016432032,-0.1319028,-1.0370965
F10,1.1008816,-1.7759194,-0.6332361,0.37494028,0.003413906,0.64540803,0.3001977,1.3592803,-1.5515702,-0.3494266
F12,-0.022153394,-0.755812,0.93009466,-0.12267917,0.95462,0.027752947,-0.40920734,0.2767466,-2.4034567,0.5964596
F13A1,2.7224324,-1.163242,1.5083761,-0.35079905,-0.023444332,0.16565195,0.0342293,-0.6201281,0.5727945,-2.0514414
F13B,-0.08566844,-1.886895,1.0785286,6.9146423,2.844854,0.23467474,-6.46682,2.6502697,1.228513,1.2983651
F13a1,-0.15440226,-0.0011389886,-0.034328993,-0.40897194,-0.05170011,0.6694326,0.6636084,1.0589463,0.8033114,0.06472753
F13b,-0.19698001,0.47311902,-0.3064408,-0.29160053,0.329997,0.49102244,0.27099383,0.0006004032,-0.05246626,-0.5916208
F2,3.3679957,-1.775249,-1.0933977,-1.3782755,1.6800132,-0.2615084,-1.2680019,-0.018735744,-2.0795422,-0.93841124
F7,-0.11561148,-0.15300407,-0.040074416,-0.18845819,-0.091174476,-0.052240014,0.05490105,-0.091926046,0.2227383,0.14172278
F9,2.6670573,-0.75335664,2.3378391,0.37171885,0.30883083,0.8848412,1.1387,2.085047,-4.28263,-2.246761
FAM132A,-0.03385125,-0.22961116,-0.07629788,0.008076971,0.12804854,-0.08302109,-0.043827493,0.17346853,0.1653606,-0.14565329
FAM20C,-0.14553358,-0.13781959,0.067392826,-0.17996803,-0.06612389,-0.024360249,0.056124073,0.07504979,0.21109034,-0.03667627
FBLN1,0.6025391,-2.607372,-1.1980665,-1.3192343,0.06733384,0.37947813,-2.0672796,-1.8592827,0.63233674,0.67767495
FBLN2,0.13401587,0.24681708,-0.37669897,0.037487842,0.059818655,0.48987213,-0.23041566,-0.7800956,0.5207112,0.4394221
FBLN5,0.13923466,-0.6324971,0.32217628,-2.3602328,1.9403348,0.7749591,1.5862634,-1.8319365,2.2985146,1.3219011
FBLN7,-0.079041414,-0.79898727,0.58266765,-0.31474516,0.7699835,-0.049885713,-0.7568575,-0.3371357,-1.9844592,1.229782
FBN1,-0.18241505,-0.44373512,0.5231886,-0.09739287,-0.32149124,0.38829845,-0.10001854,-0.42232594,0.84615636,0.40110388
FBN2,-0.3623461,0.47139725,-2.1214905,-1.2176268,1.3649496,-0.083287604,-1.1319178,-0.6487836,0.09075324,1.7217857
FBN3,-0.34284636,-1.2149719,1.7434088,-1.7269529,1.5150769,0.84756505,0.90656126,3.2815702,-1.886414,-2.3108926
FCN1,0.95077604,0.009524547,1.1574072,1.995778,-2.0006564,0.5096616,-0.040863343,0.9734472,-1.8629817,0.60023034
FCN2,4.232732,-2.7417283,1.9005651,-2.7308438,1.4637662,-0.40158546,0.94428504,-0.4890717,0.17831512,-2.9620135
FCN3,0.20270972,-0.405572,-0.3527536,-0.022947045,0.16097116,0.13986306,0.21735564,0.29282266,-0.3758592,-0.36054173
FGA,1.8315161,-2.2825387,1.2368741,0.6619952,1.1379703,0.58159816,0.9629421,1.784588,-1.6059191,-1.270205
FGB,1.6669436,-3.1726706,2.888596,0.512452,0.86268103,0.25612187,1.2266258,1.7319088,-0.30991706,-1.02867
FGF1,-0.038393293,0.2744567,-0.07390923,-0.20173885,0.15621388,0.037908316,0.08958729,-0.038333207,0.08056412,-0.27663067
FGF12,-0.04598246,0.08526341,-0.032565527,-0.1964133,0.106048934,-0.0706813,0.14726347,0.033580318,0.11752136,-0.22463441
FGF2,-0.065293305,-0.7971425,0.72788256,-0.57144094,-0.17697206,-0.07183664,0.09792081,-0.24652585,0.86057395,-0.2662387
FGFBP2,-0.24721807,-0.033065956,-0.10191762,0.16266383,-0.25022003,0.22319457,-0.19634688,-0.36216134,0.4164624,0.36306944
FGG,2.3353527,-2.9755566,0.1467374,0.34933674,0.5367366,0.2997769,0.07061664,1.2782974,-1.522985,-1.3719687
FGL1,3.3546634,-1.3562336,0.19496436,-2.265329,3.5322137,-0.6478975,0.08867901,-0.39220235,2.4706404,-3.2323136
FGL2,1.0207415,-0.43900254,-0.7309331,-1.0514783,2.486767,-0.49233952,-0.20222346,0.43858963,2.154732,-1.957477
FLG,-0.799591,1.7117112,-1.7377481,-0.09799424,0.92485106,0.59018546,-1.2965524,-0.16181423,-0.70318556,0.59936005
FLG2,-1.1230704,-0.9108377,-1.7589651,-1.9117129,2.0632312,0.8253243,-0.3157738,-1.2747347,0.7221329,2.1187718
FMOD,-1.1405227,1.5253303,-0.24161878,-5.1111307,-1.7284952,1.1297096,2.278756,-0.25378495,-1.1254243,2.560161
FN1,0.8571394,-1.9830317,1.7763456,-0.4153648,0.5862412,0.09633855,0.9783638,0.38728136,0.78798366,-0.0945231
FNDC1,-0.7246113,-0.31382063,-0.35618058,0.13307568,0.76915824,0.22121507,-1.351296,-0.3289825,-2.5335135,1.7785755
FRAS1,-0.7311589,0.11942496,-0.8272592,-0.3252312,0.61111903,0.28229928,-0.7705656,-0.11510854,-1.7575277,0.951518
FREM1,-0.5038811,-0.1563399,-0.09653536,-1.3004509,-0.43527067,0.027780809,0.33355084,-0.081826456,-0.8877805,0.6402443
FREM2,-0.9196242,0.10756885,-0.892351,0.17196667,0.7207355,0.27790934,-1.111016,0.26307398,-1.5592965,0.95184034
FRZB,-0.18019505,-0.26698303,-0.06646051,0.18908069,-0.26598457,0.3388871,-0.28550217,-0.74775285,0.24465105,0.8366034
FSTL1,-0.15505384,-0.010749619,-0.11157862,-0.024223369,-0.13907081,0.12846889,-0.029474994,-0.34761426,0.2855428,0.30016717
FSTL3,-0.109203316,-0.17538226,-0.045876604,-0.20168872,0.003266901,-0.094197385,0.069093324,-0.005729978,0.21273194,0.07293707
Fam20b,-0.023569228,0.31015116,-0.08363067,-0.20300193,0.16474114,0.06717167,0.07258473,-0.047295194,0.078730226,-0.28844818
Fbln1,-0.07449658,0.6202337,-0.28142565,-0.36229098,0.1406789,0.3902794,0.13180774,0.043862343,-0.07465494,-0.6470106
Fbln2,-0.35487235,0.15205355,-0.05660695,-0.13275312,-0.21401021,0.35546747,0.32730722,0.48506492,0.09687094,-0.66328865
Fbln5,0.70703363,2.1847768,-0.56251925,-0.8720061,-0.9542887,1.8719584,-0.34813935,1.6795496,2.1425257,-2.4487839
Fbn1,-0.8740592,-0.17823353,-0.9665597,-0.047146138,-0.38319805,-0.36490202,-0.0009604532,0.6821654,1.912243,-0.5658092
Fbn2,-2.5361993,1.2080338,-2.7019532,-1.4032475,-5.0803804,0.6845631,0.21224517,2.962689,1.8548648,-5.7705107
Fcn1,-0.045428786,0.07165315,-0.033056147,-0.19799228,0.10260164,-0.076790884,0.14982514,0.037974305,0.12326236,-0.22137642
Fga,-0.036549512,0.11033176,-0.7601261,0.65484023,0.952679,0.7739048,1.1820984,0.35497662,0.8859036,0.12233149
Fgb,0.41422653,-0.11448476,-1.1796236,1.5480648,1.4927526,0.6044403,1.3377099,0.37956566,0.9440674,0.41672543
Fgf1,0.5784609,0.97498375,0.15634376,-1.347362,-0.15667976,-0.30028117,-1.3682106,-0.07492364,0.29421622,-0.49393332
Fgf12,0.8349171,1.1404358,0.4088376,-2.2374616,-0.78759104,-0.56198776,-2.471023,0.4120785,0.89400357,-0.4337718
Fgf13,0.53898346,0.54818803,0.1678257,-0.76076794,-0.4763205,-0.26070905,-1.2853955,-0.13022579,0.5877723,-0.46654642
Fgf2,-0.1039444,-0.21960057,-0.16383438,-0.2135054,-0.00952741,-0.28448594,0.040337417,0.0109637035,0.22799383,-0.102199815
Fgfbp1,-0.35506833,0.16482177,0.23156801,-0.9672357,0.38253796,-0.7687937,-0.393163,-0.8186427,-0.25896868,-0.77835214
Fgg,-2.451048,-0.5690066,-3.0147305,5.125759,4.040946,1.7643025,4.1957664,-0.65096736,0.01698833,-1.2678124
Fgl2,-0.053237833,0.751858,-0.61687326,-0.56362987,-0.3370196,0.37926945,0.062716715,0.039666213,-0.21083316,-1.1739007
Fmod,-1.0889717,-1.1039178,-1.6574441,0.95842165,0.13397676,-0.39607057,1.2785562,0.3718278,1.4089409,0.21734391
Fn1,-0.12311881,0.13595623,-0.69427216,0.1759758,0.3937373,0.77526116,0.9644394,0.97858715,1.5894736,-0.022557708
Fstl1,0.15743735,0.28245243,0.15400055,-1.115096,-0.25546718,-0.2678042,-0.9119109,0.34732196,0.26340663,-0.22526434
GAS6,-0.269847,0.5915699,0.009743003,-0.33112934,1.485015,-0.46824142,-0.45032942,0.4466464,0.93512,-1.4014901
GDF10,-0.13997935,-0.15171872,-0.11766917,-0.18679456,0.23416479,-0.19484974,0.07750023,0.026733134,0.3324672,0.0035451823
GDF15,0.5088243,-1.9887737,2.2058856,-0.59326684,-0.33711454,0.19360662,-0.37745336,-0.6817689,2.151612,-1.0767623
GDF5,-0.07737771,-0.16277964,-0.084517814,-0.22048707,0.0641268,-0.16175021,0.10907693,0.03680425,0.23794036,-0.018359974
GDF6,-0.09277303,-0.13000077,-0.056627594,-0.17445667,-0.121060744,-0.018808793,0.062715456,-0.23202084,0.22352968,0.24561302
GLDN,-0.09035245,-0.16647734,-0.039816495,-0.21019539,0.020270698,-0.1133058,0.10200009,0.07665098,0.19560164,-0.04684024
GPC1,0.2318057,0.91780627,1.091033,0.5532617,-0.50547975,0.4337522,0.33808917,0.28165567,-0.3909133,0.49609804
GPC4,1.9607693,-1.0565045,0.62339556,-1.1486889,0.044500634,-0.6744387,0.21009834,-1.4680638,-0.6437425,-0.12438096
GPC6,-0.62874174,1.3880736,0.9794633,-0.39816698,1.2946695,0.23462735,1.0793179,0.07567037,0.3711236,1.0941112
GREM1,-0.13092446,-0.19622251,-0.1601492,-0.21928452,0.28264976,-0.25035623,0.053897317,0.16306023,0.31994426,-0.24007098
Gas6,-0.07707541,-0.1487855,-0.09783403,-0.2223702,-0.04322821,-0.11872494,0.12710175,0.119911805,0.13782777,-0.2165117
Gpc1,0.48466423,0.8516668,0.0953993,-1.280362,0.084886506,-0.15804674,-1.30132,-0.06544827,-0.073538534,-0.3184244
Gpc4,0.018602561,0.07865038,0.118490875,-0.701955,0.031871133,0.014054791,-0.29786453,0.26476455,0.05848637,-0.011796949
Gpc5,0.2298423,0.33122894,0.16593423,-0.9717334,-0.28198406,-0.29507422,-0.90611356,0.20474976,0.38691896,-0.21133715
Gpc6,-0.059923463,-0.050508894,0.11252964,-0.59714806,-0.14810926,-0.13916531,-0.29273573,0.22449249,0.17973922,-0.08897393
Grip1,0.3286874,0.51687634,0.21620527,-1.4695004,-0.38912147,-0.35618538,-1.3343612,0.3956037,0.4158181,-0.27924538
HABP2,-0.21682248,0.03945136,-0.07938703,0.15934506,-0.29631153,0.1871812,-0.19309902,-0.19144735,0.48626494,0.14691864
HAPLN1,-0.1398268,-0.071404286,-0.26937366,-0.0027752544,-0.33967817,0.21349233,0.12590069,-0.4001273,0.39429894,0.67541516
HAPLN3,-0.12221196,-0.87405366,0.6596069,-0.25389946,0.68955827,-0.13484883,-0.9935998,-0.52362686,-2.1040518,1.512801
HCFC1,0.058821093,0.16231251,-1.108137,-0.9928616,2.072295,0.05005548,-0.0482254,0.23134446,1.3183689,-1.0234381
HCFC2,-0.055013612,-0.19235499,-0.10299668,-0.16457622,0.038925212,-0.121024124,0.12388577,0.1306685,0.14936408,-0.14040306
HGF,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
HGFAC,-0.082777925,-0.16735996,0.03182299,-0.18185449,-0.010409245,-0.05407569,0.13265301,0.17961666,0.11644973,-0.16867557
