,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10
ANXA2,-0.07969707,-0.24831982,0.44477814,-0.064745955,0.058489963,0.04850347,0.031613197,0.08963288,0.5787322,-0.42821893
ANXA2;ANXA2P2,-0.15319787,-0.18592721,-0.069909714,0.075877756,-0.18496254,0.23574679,-0.15211095,-0.56577873,0.23927909,0.6404281
ANXA3,-0.1461957,-0.74252886,-1.2894329,-2.3657656,2.694221,0.21219882,0.3165411,0.38897365,0.45474395,-0.838359
ANXA4,-0.55078655,-1.4932398,-1.72426,-0.18737999,-0.40099487,0.39951947,-2.625694,-1.8104365,0.47241756,1.4086151
ANXA5,0.568014,-1.1288319,-3.5017753,-1.0743297,0.4737236,-0.3673069,-3.3420157,-1.2055541,-0.7829122,2.212956
ANXA6,1.1294127,-0.7010152,-2.9060416,-0.88429624,0.33762246,-0.35499802,-2.7229953,-1.6477234,-0.46959072,1.8505397
ANXA7,0.6565866,-0.1958548,-1.0013355,-0.668813,0.72101647,0.16240986,-0.33175254,-1.2501197,0.6377098,1.0522006
ANXA8,0.25138766,-0.35788882,-0.31906196,-0.2495735,-0.07139641,0.059391454,0.17752671,0.16762733,0.26226768,0.012133512
ANXA8L2;ANXA8,-0.09035245,-0.16647734,-0.039816495,-0.21019539,0.020270698,-0.1133058,0.10200009,0.07665098,0.19560164,-0.04684024
ANXA9,-0.08043423,-0.17751324,-0.09791918,-0.23116408,0.00677871,-0.13753588,0.1682588,0.08742197,0.1436258,-0.11103901
ARG1,-0.8948107,1.247277,-0.5464196,1.3180792,-1.1963353,0.86493695,-1.5025997,-0.67245495,1.6653395,0.7594565
ASPN,1.1208093,-0.3873452,-0.1372913,0.3308014,-0.5534958,0.19871864,0.23134501,-0.4001928,-0.26408654,0.7263478
ASTL,-0.50544095,-2.605345,-2.371274,-3.6098492,4.019644,1.512862,0.022769226,-2.8887131,1.5980095,3.6247957
Acan,-0.6939533,0.12089935,-0.8170784,1.0425123,0.9654754,0.23776396,0.90189534,-0.49850968,0.05462477,-0.66981214
Adam10,-0.61221063,0.8675465,-1.1913043,0.9803218,1.143495,0.28039503,0.7045193,-0.99227345,0.35163578,-0.87333834
Adam11,0.011633548,-0.040240977,0.07868828,-0.40118232,-0.11528391,-0.15005064,-0.17838055,0.089762464,0.20545404,-0.11483912
Adam17,-0.08742561,0.27540627,-0.18398064,-0.25768355,-0.019489316,0.050221827,0.061466217,0.00404908,0.05181545,-0.48894116
Adam22,0.095609285,0.1458444,0.1365063,-0.6923125,-0.19676365,-0.22480647,-0.58480394,0.15956748,0.29169965,-0.16388576
Adam23,-0.06276917,-0.061952963,0.10751996,-0.5147909,-0.12623027,-0.13546234,-0.20373423,0.19106226,0.18826576,-0.08734426
Adam9,-0.0014696349,-0.19633593,-0.00052095216,-0.3565203,-0.11223147,0.113226816,0.082972504,0.47709787,0.27530482,0.051806804
Adamtsl1,-0.07473989,-0.15938765,-0.09659208,-0.21237095,-0.02568158,-0.12026528,0.13260888,0.12031465,0.1415618,-0.1922576
Adamtsl4,-0.07535488,0.39329162,-0.31443444,-0.3229647,-0.093393415,0.14188011,0.037882682,-0.008940707,-0.025582228,-0.6568514
Adipoq,-0.10653089,0.091503024,-0.19453189,-0.03966886,0.118448295,0.2965851,0.44315293,0.46761054,0.56282616,-0.10796243
Aebp1,-0.024753027,-0.12720369,-0.104496814,-0.10577814,0.013604301,-0.33452842,-0.33762205,-0.13391957,0.30427697,-0.040763352
Agrn,-0.11096132,0.2734722,-0.29386592,0.37069184,0.7163983,0.8183159,0.6611047,-0.059479326,0.052612238,-0.07632706
Agt,0.08268012,0.053964686,0.10680226,-0.468841,-0.185335,-0.17046759,-0.42392004,0.07612075,0.2608351,-0.12909093
Ambp,-0.8934535,-0.91123426,-0.51193637,0.78613806,-0.09993734,-2.540559,-2.1650488,-1.5315956,1.0524288,0.2646624
Angpt1,0.11376668,-0.33768418,-0.1283653,0.20816886,0.35101864,-0.16988562,0.2829461,0.033469338,0.14144991,0.0838874
Angptl1,-0.32988065,0.13199897,-0.52544117,0.57734114,0.6040126,0.13648216,0.50131536,-0.33202606,0.17491515,-0.48871854
Angptl2,0.9660014,-2.9124188,0.54997015,1.6805947,1.3718799,-0.6102992,-0.15621635,-0.053343896,-0.80950576,1.0819179
Angptl7,-1.7213604,-0.85405463,-0.6848953,1.0701987,0.042737216,-5.5800757,-5.303999,-3.8126898,2.1251948,0.13564587
Anxa1,-0.0703522,-0.18936706,-0.46624577,1.0380927,0.8333645,1.2257682,1.3831832,0.7539986,0.72907376,0.06783128
Anxa11,0.26086646,0.64418846,-0.15872344,-0.58531106,-0.088226385,0.10895548,-0.3806444,-0.09584158,0.14661379,-0.70763874
Anxa2,-0.078773595,0.19978437,-0.56340754,0.33070478,0.1859574,1.199687,1.151867,0.8863102,0.59452397,-0.3613001
Anxa3,-0.121486835,0.10990294,-0.16958472,-0.0038574282,0.20307234,0.027777184,0.29885498,-0.05163115,0.061005913,-0.22588903
Anxa4,-0.40393573,-0.3776327,-0.80130905,1.2724718,1.0679829,-0.1332733,0.88386756,-0.5027355,-0.021650288,-0.099718
Anxa5,0.7379291,-1.0946965,-0.5110963,2.3026655,1.949465,-0.24170975,1.2068195,-0.051566295,0.1099537,0.9828656
Anxa6,0.25177473,0.53611845,0.1539616,-0.63602155,0.05139873,-0.15863372,-0.6663757,-0.02519989,0.31383616,-0.19253872
Anxa7,0.28696573,0.5356834,-0.05164425,-0.6028277,-0.16053054,-0.00611665,-0.5021986,-0.07934374,0.22338001,-0.62565446
Aspn,-1.5056777,1.1874924,-0.71569085,-1.0526226,0.2520628,-3.9722404,-2.2711792,-4.3844986,-0.12601274,-1.7776579
BCAN,-0.13105926,-0.21976188,-0.05654853,0.018922722,-0.12465566,0.13339189,-0.10976631,-0.3948513,0.1576998,0.4720095
BGN,2.4136393,-2.051545,1.5368404,0.4300801,-0.38046497,0.423826,0.98276025,-0.3611057,-0.33803743,1.0947986
BMP1,-0.07711386,-0.110226065,-0.06082106,-0.17415248,-0.11300342,-0.002850611,0.07555644,-0.25434178,0.20915511,0.26568162
BMP3,-0.06940189,-0.21642606,-0.038421474,0.008323753,-0.0113842795,0.023309583,-0.15286307,-0.078914516,0.2710015,0.1580694
BMP5,-0.057131268,-0.242487,-0.019825522,0.29622352,0.23181288,-0.036993764,-0.35077107,0.23517533,0.2111098,-0.12458491
BMP6,-0.040266253,-0.18512098,-0.046467762,-0.021428432,0.033955894,-0.025522362,-0.008389223,0.07383298,0.16958623,-0.036000393
BMP8A;BMP8B,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
BMPER,-0.09247229,-0.14989792,-0.059452474,-0.2734716,-0.091688335,-0.11454325,0.17457397,0.049474996,0.13577832,-0.05142303
Bcan,0.08179854,0.12298208,0.13439643,-0.6376044,-0.18897712,-0.21539332,-0.5336162,0.13704602,0.28518954,-0.15648015
Bdnf,0.32846415,0.51516336,0.2155348,-1.4591618,-0.38788962,-0.35560626,-1.3273274,0.39027268,0.4173461,-0.27766225
Bgn,-1.4672325,0.08492841,-0.96051943,1.6001861,1.6686438,-0.33256263,1.1603366,-2.1010153,-0.9689967,-0.78927195
Brinp2,0.20554991,0.31556374,0.16580191,-1.005895,-0.2750195,-0.28636923,-0.8968932,0.24122292,0.35360056,-0.21232942
C17ORF58,-0.3905325,-0.15359281,-0.51044106,-0.54444146,1.6220157,-0.4483317,-0.23831789,0.48360428,1.20293,-0.9059069
C17orf58,1.1790562,-0.6459353,-1.1892245,-0.25644067,-0.0016064693,0.80095285,0.0010788789,0.15915714,0.30136633,0.61017835
C1QA,0.8410819,-0.76411545,-0.7704082,-0.56448585,0.32126108,0.7628918,0.4839642,1.2658304,-1.5279316,-1.1903752
C1QB,0.8546603,0.3342714,-0.24694291,-0.02934898,-0.16196376,0.45281154,-0.06472344,0.19944021,-0.41023505,-0.60656375
C1QC,1.6106448,-1.7981738,-1.8224386,-0.5492853,-0.4841436,0.72233665,0.6868655,0.82973,-2.046378,-0.25241524
C1QTNF1,-0.064832315,-0.14797403,-0.038907014,-0.19540188,-0.04688495,-0.07565824,0.12099265,0.10007445,0.1423863,-0.09243952
C1QTNF2,0.27392077,-0.36727747,-0.31758773,-0.21990804,-0.032132108,0.07336881,0.14055055,0.17896229,0.2768543,0.003086632
C1QTNF5,1.0850096,-0.87956923,-0.3642607,-0.3165675,0.34204894,0.4714689,0.5396669,0.6035636,-1.4444491,-0.7760794
C1QTNF7,-0.7471873,0.49350622,0.087863676,1.1024762,-1.1161581,0.54394,-1.2786082,-0.35578063,1.4201274,0.42515478
C1QTNF8,-0.09035245,-0.16647734,-0.039816495,-0.21019539,0.020270698,-0.1133058,0.10200009,0.07665098,0.19560164,-0.04684024
C1qa,-1.7030944,0.16321576,-2.0551817,1.9931885,1.3939908,0.3739447,1.8040489,-0.54338384,0.52079946,-1.0546647
C1qb,-1.0138369,-0.0436251,-0.9086232,1.069739,0.8942381,0.1192052,0.92275417,-0.81047475,-0.16541465,-0.51481277
C1qc,-0.7501816,0.006971099,-0.5053749,1.0049527,1.1165528,1.0421348,1.3182687,-0.1188771,-0.19891071,-0.33352113
