Protein,Lemma3_Role,All_Roles,Is_YAP_Target
ELANE,Other,Other,False
MMP12,Entropy_Exporter,Entropy_Exporter,False
FGF2,Other,Other,False
PRG2,Other,Other,False
MMP9,Entropy_Exporter,Entropy_Exporter,False
SDC1,Other,Other,False
COL8A2,Other,Other,False
COL5A3,Other,Other,False
SERPINB8,Other,Other,False
SERPINB9,Entropy_Exporter,Entropy_Exporter,False
HCFC1,Other,Other,False
CTSC,Other,Other,False
INHBC,Other,Other,False
S100A12,Other,Other,False
COL10A1,Structural,Structural,False
TGM3,Other,Other,False
FGL1,Other,Other,False
MMRN1,Other,Other,False
FGL2,Other,Other,False
GAS6,Other,Other,False
SPARCL1,Other,Other,False
C17orf58,Other,Other,False
ADAMTSL4,Other,Other,False
THSD4,Other,Other,False
PODN,Other,Other,False
CLEC14A,Other,Other,False
P3H3,Other,Other,False
SBSPON,Other,Other,False
COL22A1,Other,Other,False
S100A16,Other,Other,False
SFRP2,Other,Other,False
MMP19,Other,Other,False
C1QTNF7,Other,Other,False
EMILIN2,Other,Other,False
PRG3,Other,Other,False
Fn1,Other,Other,False
Hrg,Other,Other,False
Serpina1c,Other,Other,False
Tgfbi,Other,Other,False
Agrn,Other,Other,False
Col6a4,Other,Other,False
Srpx,Other,Other,False
Col6a5,Other,Other,False
Mmrn2,Other,Other,False
Aspn,Other,Other,False
Creld1,Other,Other,False
Fbln1,Other,Other,False
Mmrn1,Other,Other,False
Plxnb2,Other,Other,False
Col14a1,Other,Other,False
Hmcn1,Other,Other,False
Mfap5,Other,Other,False
Cilp2,Other,Other,False
Fga,Other,Other,False
Itih4,Other,Other,False
Itih3,Other,Other,False
Col6a3,Other,Other,False
Hspg2,Other,Other,False
Ltbp4,Other,Other,False
Col18a1,Other,Other,False
Matn4,Other,Other,False
Lamc1,Other,Other,False
Anxa6,Other,Other,False
Itih1,Other,Other,False
Serpina3n,Other,Other,False
Tinagl1,Other,Other,False
Cxcl12,Other,Other,False
Angpt1,Other,Other,False
Lgals9,Other,Other,False
Kng1,Other,Other,False
Serpinb9,Other,Other,False
Serpinb8,Other,Other,False
Serpinb6b,Other,Other,False
Ltbp2,Other,Other,False
Ntn1,Other,Other,False
Col15a1,Other,Other,False
Tnxb,Other,Other,False
Adam10,Other,Other,False
Anxa3,Other,Other,False
Sdc4,Other,Other,False
Il16,Other,Other,False
Col5a1,Other,Other,False
Nid2,Other,Other,False
Col4a1,Other,Other,False
Lamb1,Other,Other,False
Ctsl,Other,Other,False
S100a4,Other,Other,False
Anxa2,Other,Other,False
Serpina1a,Other,Other,False
Col3a1,Other,Other,False
Col4a2,Other,Other,False
S100a10,Other,Other,False
Anxa1,Other,Other,False
Nid1,Other,Other,False
Ctsb,Other,Other,False
Col1a1,Other,Other,False
S100a6,Other,Other,False
Fgf2,Other,Other,False
Lgals1,Other,Other,False
Lgals3,Other,Other,False
Ctsd,Other,Other,False
Sdc1,Other,Other,False
Lama1,Other,Other,False
Serpinh1,Other,Other,False
Cst3,Other,Other,False
Mfge8,Other,Other,False
Tgm2,Other,Other,False
Dcn,Other,Other,False
Vtn,Other,Other,False
S100a9,Other,Other,False
Serpinc1,Other,Other,False
Fbln2,Other,Other,False
Mbl1,Other,Other,False
Igfbp6,Other,Other,False
Anxa5,Other,Other,False
Serpind1,Other,Other,False
Ctsh,Other,Other,False
S100a11,Other,Other,False
Fmod,Other,Other,False
Gpc4,Other,Other,False
Lum,Other,Other,False
Loxl2,Other,Other,False
Fgf1,Other,Other,False
Plxna1,Other,Other,False
Sparcl1,Other,Other,False
Ccl21c,Other,Other,False
Serping1,Other,Other,False
Serpinf1,Other,Other,False
S100a13,Other,Other,False
Anxa11,Other,Other,False
Anxa4,Other,Other,False
S100g,Other,Other,False
Ctsc,Other,Other,False
Loxl1,Other,Other,False
Lama4,Other,Other,False
Serpina1d,Other,Other,False
Serpina1e,Other,Other,False
Col1a2,Other,Other,False
C1qc,Other,Other,False
Col6a2,Other,Other,False
Serpina3m,Other,Other,False
Col6a1,Other,Other,False
Thbs3,Other,Other,False
Anxa7,Other,Other,False
Igfbp5,Other,Other,False
Ambp,Other,Other,False
F13b,Other,Other,False
Vwf,Other,Other,False
Serpina1b,Other,Other,False
Bgn,Other,Other,False
Serpinb9b,Other,Other,False
Thbs1,Other,Other,False
S100a16,Other,Other,False
Chad,Other,Other,False
Igfbp7,Other,Other,False
Postn,Other,Other,False
Col5a2,Other,Other,False
Ctss,Other,Other,False
Plod1,Other,Other,False
Mmp2,Other,Other,False
Slit3,Other,Other,False
Pxdn,Other,Other,False
Lama3,Other,Other,False
S100b,Other,Other,False
Plg,Other,Other,False
F13a1,Other,Other,False
Wnt4,Other,Other,False
Serpine2,Other,Other,False
Prg2,Other,Other,False
Ctsz,Other,Other,False
Sparc,Other,Other,False
Lama2,Other,Other,False
P4ha1,Other,Other,False
Col12a1,Other,Other,False
Serpinb6a,Other,Other,False
Lama5,Other,Other,False
Hcfc1,Other,Other,False
Serpinf2,Other,Other,False
Lamb2,Other,Other,False
Pcolce,Other,Other,False
Ecm1,Other,Other,False
Fbn1,Other,Other,False
Itih2,Other,Other,False
A2m,Other,Other,False
Ogn,Other,Other,False
Vcan,Other,Other,False
Sema3c,Other,Other,False
Fstl1,Other,Other,False
Cstb,Other,Other,False
Col4a5,Other,Other,False
Aebp1,Other,Other,False
Cilp,Other,Other,False
Podn,Other,Other,False
Adamtsl4,Other,Other,False
Tnc,Other,Other,False
Itih5,Other,Other,False
Adamtsl1,Other,Other,False
Efemp1,Other,Other,False
Adipoq,Other,Other,False
Clec1a,Other,Other,False
Col6a6,Other,Other,False
Prelp,Other,Other,False
Ltbp1,Other,Other,False
Plxnb1,Other,Other,False
Fgb,Other,Other,False
Emilin2,Other,Other,False
Colec12,Other,Other,False
Srpx2,Other,Other,False
Vwa1,Other,Other,False
Vwa9,Other,Other,False
Pcolce2,Other,Other,False
Spon1,Other,Other,False
Fgg,Other,Other,False
Lgalsl,Other,Other,False
Mgp,Other,Other,False
Cspg4,Other,Other,False
Npnt,Other,Other,False
Masp2,Other,Other,False
Serpina6,Other,Other,False
Hpx,Other,Other,False
Chrdl1,Other,Other,False
Emilin1,Other,Other,False
Vwa5a,Other,Other,False
Creld2,Other,Other,False
Lman1,Other,Other,False
Serpinb1a,Other,Other,False
Mfap4,Other,Other,False
Ctsa,Other,Other,False
S100a1,Other,Other,False
Plxdc2,Other,Other,False
Papln,Other,Other,False
Eln,Other,Other,False
Ngly1,Other,Other,False
Lgals8,Other,Other,False
Tgm1,Other,Other,False
Hapln1,Other,Other,False
Sema7a,Other,Other,False
Egfl7,Other,Other,False
Col4a4,Other,Other,False
Col4a3,Other,Other,False
Dpt,Other,Other,False
Angptl2,Other,Other,False
Plod3,Other,Other,False
Htra1,Other,Other,False
Fbln5,Other,Other,False
Adam17,Other,Other,False
Crlf3,Other,Other,False
Matn2,Other,Other,False
Adam9,Other,Other,False
P3h1,Other,Other,False
Clec10a,Other,Other,False
Efemp2,Other,Other,False
Fcna,Other,Other,False
Serpina3k,Other,Other,False
C1qb,Other,Other,False
Col2a1,Other,Other,False
Mbl2,Other,Other,False
Col11a1,Other,Other,False
Fbn2,Other,Other,False
Gas6,Other,Other,False
Sfrp1,Other,Other,False
Gpc1,Other,Other,False
Ctsf,Other,Other,False
Thbs4,Other,Other,False
Cd109,Other,Other,False
Hmcn2,Other,Other,False
Cpn2,Other,Other,False
Serpina10,Other,Other,False
C1qtnf9,Other,Other,False
Pzp,Other,Other,False
Lgi1,Other,Other,False
Smoc2,Other,Other,False
C1qa,Other,Other,False
Fgf13,Other,Other,False
Dspp,Other,Other,False
Igf2,Other,Other,False
Plxnd1,Other,Other,False
Agt,Other,Other,False
Sema4b,Other,Other,False
Egln1,Other,Other,False
Sema3b,Other,Other,False
Fgl2,Other,Other,False
LOXL1,Entropy_Exporter,Entropy_Exporter,False
S100A7,Other,Other,False
SERPINB3,Entropy_Exporter,Entropy_Exporter,False
CSTA,Other,Other,False
GDF15,Other,Other,False
NGLY1,Other,Other,False
LGALS8,Other,Other,False
SERPINB12,Other,Other,False
COL21A1,Other,Other,False
LAMB4,Other,Other,False
GPC4,Other,Other,False
TGM1,Other,Other,False
COL4A5,Other,Other,False
MFAP5,Other,Other,False
COL4A6,Other,Other,False
LAMA3,Other,Other,False
FREM1,Other,Other,False
FREM2,Other,Other,False
FRAS1,Other,Other,False
LAMC3,Other,Other,False
