Protein,Phase_I,Phase_II,Delta_Phase_II_vs_I,Upregulated_Phase_II,Upregulated_Phase_I
COL3A1,-1.9449897164965837,-0.5621791716525344,1.3828105448440493,True,False
COL4A1,-0.698002959934389,0.4010661418994919,1.099069101833881,True,False
COL4A2,-1.450860608643871,0.3512010202059882,1.802061628849859,True,False
COL5A1,-1.22698013175869,-0.7176672955504484,0.5093128362082415,True,False
COL5A2,-1.7676713454124815,-1.0817605550377642,0.6859107903747172,True,False
COL6A1,-1.5156776087982655,-0.6008796719202476,0.9147979368780179,True,False
COL6A2,-0.6432921853270736,-0.7234418321757603,-0.08014964684868675,False,True
COL6A3,-0.6738568630607543,-0.6181239612381484,0.05573290182260593,True,False
COL6A6,0.5571121836463163,1.727567682681637,1.1704554990353206,True,False
COL7A1,,0.0296394439397231,,False,False
COL8A1,,-0.4692115116017507,,False,False
COL9A1,,-1.0481326044567043,,False,False
COL9A2,,-0.429839166207433,,False,False
COL9A3,,-0.1901617884170238,,False,False
COMP,,-0.1499541975465462,,False,False
CPAMD8,,-0.0333688413393524,,False,False
CPN2,,-0.0414516062036289,,False,False
CRISPLD1,,-0.1175834778104222,,False,False
CRLF1,,0.6851207394148859,,False,False
CSPG4,,-0.2301909080319106,,False,False
CST3,,-0.1490102829058693,,False,False
CSTB,2.1187871255412887,,,False,False
CTHRC1,,-0.1373898211530113,,False,False
CTSA,,0.1138520973968418,,False,False
CTSB,,0.5373025168766502,,False,False
CTSD,1.0051993070111698,0.1740464858794479,-0.8311528211317218,False,True
CTSF,,-0.1196101180683447,,False,False
CTSG,,2.3216443283538393,,False,False
CTSZ,1.6809431638757932,0.0222665980699045,-1.6586765658058886,False,True
CXCL10,,0.6110611173868872,,False,False
CXCL12,,-0.4866065099799222,,False,False
CXCL14,,-3.072193494578781,,False,False
Cbln1,-0.8813876558646396,,,False,False
Cbln4,1.1061984046555495,,,False,False
Ccl21c,,-0.0655280978860288,,False,False
Ccn1,2.7391312784776156,,,False,False
Cd109,0.1167379842030699,,,False,False
Chad,-2.390997676672455,0.2410976186565885,2.6320952953290435,True,False
Chadl,-0.437901161777879,,,False,False
Chrdl1,-1.7200688268509006,0.3529116202209064,2.072980447071807,True,False
Cilp,,-5.559483474927751,,False,False
Cilp2,,-6.998662750587459,,False,False
Clec1a,,0.1625455254775293,,False,False
Clec2l,-0.6219989047679677,,,False,False
Coch,0.4366084046484875,,,False,False
Col10a1,,0.3093685006248571,,False,False
Col12a1,0.47568062760425,0.230598767290314,-0.245081860313936,False,True
Col14a1,-3.945555998198077,-0.781150876041531,3.1644051221565457,True,False
Col15a1,-1.625395188791733,0.0585391358777828,1.6839343246695158,True,False
Col16a1,,0.0165355003227706,,False,False
Col18a1,-0.3462028532853989,0.6176749844186888,0.9638778377040877,True,False
Col1a1,0.6312010584197039,-0.0269701266414517,-0.6581711850611556,False,True
Col1a2,1.4320830841823007,-0.0215560991600455,-1.453639183342346,False,True
Col25a1,0.1226080053920042,,,False,False
Col2a1,0.7556489499913077,,,False,False
Col3a1,0.4519759893523639,-0.3754952309335128,-0.8274712202858767,False,True
Col4a1,1.488204561012326,0.4137018076850522,-1.0745027533272737,False,True
Col4a2,1.1694280166064381,0.3910855206028562,-0.778342496003582,False,True
Col4a3,,0.8674444964757916,,False,False
Col4a4,,0.5436700159168212,,False,False
Col4a5,0.12924196843214,0.4033401244840027,0.2740981560518627,True,False
Col4a6,,0.6143596298652116,,False,False
Col5a1,,-0.2533428647562274,,False,False
Col5a2,1.1632487729075545,-0.183743737721372,-1.3469925106289264,False,True
Col6a1,0.7830379591098658,0.02320735987929,-0.7598305992305758,False,True
Col6a2,0.9117601037056311,0.104949984581462,-0.8068101191241691,False,True
Col6a3,0.9805330915749918,0.0721462178680483,-0.9083868737069435,False,True
Col6a4,,-3.300227770654444,,False,False
Col6a5,,-0.1710419656215923,,False,False
Col6a6,0.0486104605684552,-0.9416033373127698,-0.990213797881225,False,True
Col7a1,,0.2414227072081722,,False,False
Col8a1,,0.0233445280445112,,False,False
Colec12,-0.3873522660683183,-0.0020576444733935,0.3852946215949248,True,False
Colq,,0.5128286684205496,,False,False
Comp,0.6307811287081548,,,False,False
Creld1,-0.5716347370902352,0.2155267292954549,0.7871614663856901,True,False
Creld2,-0.5196182578340564,0.6751720220663747,1.194790279900431,True,False
Crispld2,,-0.0704771252873248,,False,False
Crlf1,,0.6494422170302208,,False,False
Crlf3,0.0895732001240562,0.0942316641508251,0.004658464026768894,True,False
