lag,r2_train,r2_test,coef,intercept,p_value,pearson_r
1,0.09406931867920454,-5.256726968088946,-0.03401929857519534,-0.11895041151399761,0.8018586184456553,0.06819456602681535
2,0.3614913898537886,-4.702103211144005,-0.06878327157724301,-0.09140256518357216,0.6205171476990275,-0.13929713594205387
3,0.0005829166572350886,-3.42028890059414,0.002828959200371238,-0.091641292898166,0.35142933758291683,0.2695154557615545
