early_protein,late_protein,lag,f_stat,p_value,df_denom,df_num
Fgfbp1,DSP,1,0.0038877692800383125,0.9512310141606756,13.0,1.0
Fgfbp1,DSP,2,0.020490871107884837,0.9797586649579778,10.0,2.0
Fgfbp1,DSP,3,2.728588793822009,0.12376184033016852,7.0,3.0
Fgfbp1,ADAM15,1,0.04497061522918619,0.8353467662248213,13.0,1.0
Fgfbp1,ADAM15,2,0.19565951792048708,0.8253660595665779,10.0,2.0
Fgfbp1,ADAM15,3,0.5253261495430793,0.6786791021226684,7.0,3.0
Fgfbp1,SDC2,1,0.0016379662115190712,0.9683319564992903,13.0,1.0
Fgfbp1,SDC2,2,0.00576953465187912,0.9942503842150298,10.0,2.0
Fgfbp1,SDC2,3,0.26471848470644493,0.8488632979310845,7.0,3.0
Fgfbp1,COL28A1,1,0.0004135969633398116,0.984083306419325,13.0,1.0
Fgfbp1,COL28A1,2,0.678281765317309,0.5293773141321726,10.0,2.0
Fgfbp1,COL28A1,3,2.2089542745308095,0.17479877276057504,7.0,3.0
Fgfbp1,PLXNB2,1,0.0038609420802720833,0.9513993345756236,13.0,1.0
Fgfbp1,PLXNB2,2,0.0717030678041748,0.9312813942917693,10.0,2.0
Fgfbp1,PLXNB2,3,0.29443583863996947,0.8284667437976426,7.0,3.0
Fgfbp1,SERPIND1,1,0.10432976493073133,0.7518308509158492,13.0,1.0
Fgfbp1,SERPIND1,2,1.4594518640164464,0.2778892141569338,10.0,2.0
Fgfbp1,SERPIND1,3,0.775606598126002,0.5436576077702409,7.0,3.0
Fgfbp1,WISP2,1,0.2422427811297861,0.6307979050815625,13.0,1.0
Fgfbp1,WISP2,2,0.09485088923260249,0.9103169544019728,10.0,2.0
Fgfbp1,WISP2,3,0.42378352014580123,0.7420226085497363,7.0,3.0
Fgfbp1,CTSG,1,0.37153876251637696,0.5526716242097596,13.0,1.0
Fgfbp1,CTSG,2,0.0450178240657434,0.9561730459471467,10.0,2.0
Fgfbp1,CTSG,3,0.08659503736058781,0.9651627304059863,7.0,3.0
Col11a2,FBN3,1,0.026213656351677883,0.8738689727631248,13.0,1.0
Col11a2,FBN3,2,0.03332822554680618,0.9673280077673326,10.0,2.0
Col11a2,FBN3,3,0.13151997803038512,0.9382493863542897,7.0,3.0
Col11a2,NPNT,1,0.004607274400307509,0.9469165083567135,13.0,1.0
Col11a2,NPNT,2,0.021172045613262185,0.9790942726940374,10.0,2.0
Col11a2,NPNT,3,0.41426959542630515,0.7481879946268986,7.0,3.0
Col11a2,DSP,1,0.0020469093659776956,0.964601390401634,13.0,1.0
Col11a2,DSP,2,0.006944580715935793,0.9930842620877494,10.0,2.0
Col11a2,DSP,3,0.37063250358808714,0.7769104728747913,7.0,3.0
Col11a2,ADAM15,1,0.009929239369786024,0.9221459597560411,13.0,1.0
Col11a2,ADAM15,2,0.025547054201739694,0.9748399157232265,10.0,2.0
Col11a2,ADAM15,3,0.15051029963556564,0.9260951971480528,7.0,3.0
Col11a2,SDC2,1,7.483225381831236e-05,0.9932292776755669,13.0,1.0
Col11a2,SDC2,2,0.003824049486339032,0.9961847088925418,10.0,2.0
Col11a2,SDC2,3,0.07121155304737073,0.9735235474266637,7.0,3.0
Col11a2,COL28A1,1,0.03143945623360064,0.8619963693396708,13.0,1.0
Col11a2,COL28A1,2,0.0016159111522175695,0.9983856543684199,10.0,2.0
Col11a2,COL28A1,3,0.06731400870192096,0.9755494793966907,7.0,3.0
Col11a2,PLXNB2,1,0.002720531436661035,0.9591951969126322,13.0,1.0
Col11a2,PLXNB2,2,0.017303910786749702,0.982874303645417,10.0,2.0
Col11a2,PLXNB2,3,0.055481108898224316,0.981433180802174,7.0,3.0
Col11a2,SERPIND1,1,0.05452486800596396,0.8190054947775611,13.0,1.0
Col11a2,SERPIND1,2,0.11381655825150412,0.8935611871309822,10.0,2.0
Col11a2,SERPIND1,3,0.12846039378791635,0.9401725443202896,7.0,3.0
Col11a2,WISP2,1,0.1198621556205224,0.7347231492002639,13.0,1.0
Col11a2,WISP2,2,0.09811635012876677,0.9074052919279856,10.0,2.0
Col11a2,WISP2,3,0.06945364160521302,0.9744423229840437,7.0,3.0
Col11a2,CTSG,1,0.15782137432318635,0.6976159534631301,13.0,1.0
Col11a2,CTSG,2,0.09065920193702554,0.9140709407673068,10.0,2.0
Col11a2,CTSG,3,0.24076871319397597,0.8653210147505342,7.0,3.0
Col2a1,FBN3,1,0.0001231203596630795,0.9913153611279895,13.0,1.0
Col2a1,FBN3,2,0.0023890718190378597,0.9976143489650162,10.0,2.0
Col2a1,FBN3,3,0.02269208780700463,0.9949388031292443,7.0,3.0
Col2a1,NPNT,1,0.005920335386668097,0.9398399282063906,13.0,1.0
Col2a1,NPNT,2,0.01955504194685463,0.980672320320007,10.0,2.0
Col2a1,NPNT,3,0.354256703800215,0.7878600555876252,7.0,3.0
Col2a1,DSP,1,0.020826078112811584,0.8874669802424238,13.0,1.0
Col2a1,DSP,2,0.016370888999136423,0.983788694103287,10.0,2.0
Col2a1,DSP,3,1.1144436624584688,0.4055302603241189,7.0,3.0
Col2a1,ADAM15,1,0.0028478895784507987,0.9582519626943802,13.0,1.0
Col2a1,ADAM15,2,0.025484834005545673,0.9749002643609801,10.0,2.0
Col2a1,ADAM15,3,0.0588721968858429,0.9797907691568775,7.0,3.0
Col2a1,SDC2,1,0.01770595203479481,0.8961806761523315,13.0,1.0
Col2a1,SDC2,2,0.01547471333547375,0.9846679355129655,10.0,2.0
Col2a1,SDC2,3,0.0015218251913470392,0.9999096909215918,7.0,3.0
Col2a1,COL28A1,1,0.015013692158583938,0.9043529631389774,13.0,1.0
Col2a1,COL28A1,2,0.2371714513055853,0.793169603896207,10.0,2.0
Col2a1,COL28A1,3,0.09668747184461314,0.9594026659134227,7.0,3.0
Col2a1,PLXNB2,1,0.01988544989174643,0.8900191740601633,13.0,1.0
Col2a1,PLXNB2,2,0.09055372949131237,0.9141656390044146,10.0,2.0
Col2a1,PLXNB2,3,0.07530368532503172,0.9713540838478839,7.0,3.0
Col2a1,SERPIND1,1,0.034668878676419754,0.8551652631770658,13.0,1.0
Col2a1,SERPIND1,2,0.020040022823056558,0.980198703145614,10.0,2.0
Col2a1,SERPIND1,3,0.23007271076774338,0.872658090576589,7.0,3.0
Col2a1,WISP2,1,0.06900391436141447,0.7969095882007948,13.0,1.0
Col2a1,WISP2,2,0.010080916960752466,0.9899797722716466,10.0,2.0
Col2a1,WISP2,3,0.014629687246884156,0.997353023457712,7.0,3.0
Col2a1,CTSG,1,0.10606925325211641,0.7498471184403233,13.0,1.0
Col2a1,CTSG,2,0.025551876224495923,0.9748352389321473,10.0,2.0
Col2a1,CTSG,3,0.06856813829443743,0.9749020294002532,7.0,3.0
