Protein,Consensus,Consensus_Rank,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
COL9A3,1.117064356789708,99,0.1782178217821782,0.0003794652593012,0.0678050564037086,0.8387175628875267,0.0014662610515893,0.0542704700581533,8.31473597119016e+60
PPBP,1.114084346050875,100,0.1782178217821782,0.0004301090902041,0.0678853205570424,0.8411295818744399,0.0014356737323422,0.0541363896108117,8.388591532143778e+60
MMP14,1.105926482690797,101,0.2024202420242024,0.0008200118429203,0.0593544045534791,0.8279598276019945,0.0015823755072496,0.0491905282527717,7.633409670978124e+60
SNED1,1.1055033252907855,102,0.2024202420242024,0.0008078960939004,0.0593544045534791,0.8279598276019945,0.0015823755072496,0.0491905282527717,7.633409670978131e+60
LTBP2,1.1006609037769706,103,0.198019801980198,0.0075105528173962,0.0491661498798265,0.823437724564672,0.0014496467555602,0.0428381811077079,6.1461335338432355e+60
MASP2,1.0712709640079487,104,0.1694169416941694,0.0027575444769146,0.0633831983655696,0.8449962542756746,0.0013861616189297,0.0505860014735456,7.522313209916485e+60
SLPI,1.0546781333248119,105,0.1716171617161716,0.0006384999733453,0.0671659614512229,0.8295047475739165,0.0014409771407192,0.0533519215971648,7.904633796553366e+60
ITIH3,1.0487929052177416,106,0.1331133113311331,0.0178973844521015,0.0353109584854996,0.9261869301434424,0.001062784204746,0.0315368043811736,3.3801304018801265e+60
CILP,1.0472064018091582,107,0.1485148514851485,0.0121448268174835,0.0424967314079895,0.9246804431967144,0.0011694018062167,0.0367873085555202,4.31769457823886e+60
MATN2,1.0289813733530992,108,0.1771177117711771,0.0005682286290303,0.0641469702892585,0.826598955000993,0.0014419631585382,0.0515334893737118,7.866208386853868e+60
C7,1.020328782207179,109,0.143014301430143,0.0105988572425524,0.0465100605398692,0.9140615123221152,0.0011817011521612,0.0390812703824472,4.697564932423834e+60
EFEMP2,1.0074363355033447,110,0.1793179317931793,0.0014157252729678,0.0613138695113667,0.8347803396284428,0.0014657543395134,0.049785431695522,6.614259304945793e+60
ITIH2,0.9727098290808665,111,0.1716171617161716,0.0007863121113873,0.0614174174162195,0.8400069499810505,0.0014016216556882,0.0495130697810805,7.209517480382703e+60
Adam10,0.97262944826187,112,0.1529152915291529,0.0243126735581047,0.015325395277307,0.8467962315593921,0.0011468333108078,0.032690819421521,1.1273588072246153e+59
FBN1,0.9719377059664216,113,0.1771177117711771,0.0006300189490314,0.059496191249443,0.8398533480045414,0.0014391502562119,0.0485232477250792,7.081655334436984e+60
PLOD2,0.9320290193232632,114,0.165016501650165,0.0020584657584701,0.0600470186097821,0.8323758791338163,0.0013644503332219,0.0483747945476209,6.649947041247324e+60
COL6A2,0.9281141914655454,115,0.1727172717271727,0.0008917191278599,0.0590613217964235,0.8306960911403094,0.0014059174370287,0.0480384793614915,6.940902452500992e+60
CD109,0.9208274189969001,116,0.1738173817381738,0.0022656450667093,0.0519721980800716,0.8726848321543911,0.001373156017897,0.0441722926496958,5.691252798999929e+60
CST3,0.874877687086802,117,0.1705170517051705,0.0009837988204106,0.0589157307998719,0.8177706751506356,0.0013626098439552,0.0478662112159777,6.7302722641098e+60
LRG1,0.8549566379702229,118,0.1529152915291529,0.0042841288534139,0.0437505910183563,0.9386801745872804,0.0012292966645845,0.0376935041389079,4.5187450861732825e+60
SRPX,0.8237713177327676,119,0.1518151815181518,0.0013109240439462,0.0595143491180376,0.8401102511475521,0.0012658099547674,0.0479541114277409,6.231479623402549e+60
COL11A1,0.8083493240228424,120,0.1298129812981298,0.0104413525052945,0.0409553679248762,0.9044848746628132,0.001047474489395,0.0349604066157323,3.742347732415668e+60
CSPG4,0.797310691127544,121,0.1397139713971397,0.0053600073663754,0.0468301953047462,0.9032912643913786,0.001128905794094,0.0390128580191844,4.8685297742860756e+60
CXCL12,0.7898729060400901,122,0.1573157315731573,0.0008650644800162,0.0560803453073957,0.8419746037828475,0.0012760696027396,0.0457584491478621,6.145753766333638e+60
SERPINA4,0.7882721298180305,123,0.165016501650165,0.0007099828925623,0.0529327262813402,0.842202846884409,0.001339323367254,0.0438063205693119,5.9520153579594845e+60
COL5A1,0.7611684607899202,124,0.1342134213421342,0.0087675617782042,0.0389630722985099,0.9106486821102376,0.0010583483324629,0.0337099232669082,3.8748169332390914e+60
CTSA,0.7468927959683757,125,0.1639163916391639,0.0013797594476367,0.050684944792008,0.8343633004393047,0.0012976123331591,0.0423978747319817,5.7576381617944404e+60
TNC,0.736859456473631,126,0.1573157315731573,0.0009401821239392,0.0543715255417261,0.8273966610602178,0.0012847127136674,0.0445897489546373,5.8123777960727005e+60
CXCL14,0.7356988533005334,127,0.1749174917491749,0.0035680880863416,0.0452780561094096,0.8037403710502813,0.0013669802920863,0.0389450967254331,5.0222101015769275e+60
ANXA1,0.7284719125802354,128,0.1188118811881188,0.0113354947829584,0.0389848578254233,0.8936229486317405,0.0009756095458864,0.0331385499488139,3.515660977316086e+60
Serpina1e,0.7281578653859053,129,0.1496149614961496,0.0123938054598411,0.0169082643487366,0.9176314998850132,0.0012363234814323,0.0336606226487756,1.5731476275735331e+59
PCOLCE,0.7245161923830408,130,0.1507150715071507,0.0007596574635437,0.0572644198047558,0.818964964807685,0.0012578943776906,0.0462762639208252,5.9917558843677084e+60
MFAP2,0.7158910931581841,131,0.1309130913091309,0.0049965348957803,0.0461086340824781,0.9036254828982826,0.0010695625609672,0.0383097593884923,4.533512136666118e+60
IGFALS,0.7059554461584214,132,0.143014301430143,0.0044658650887115,0.0414325838742769,0.90738337398184,0.0011243867466504,0.0357150189456522,4.4286477496613146e+60
TGM2,0.703661058375263,133,0.165016501650165,0.0006179032000116,0.0511613866697592,0.8131103420123836,0.0013318991473389,0.0426958751984811,5.7793695696543175e+60
ACAN,0.6800811707865224,134,0.1452145214521452,0.0007208870666802,0.0586384211807839,0.805023203749052,0.0012160054330967,0.0469859674945474,5.975517621804541e+60
SERPINA6,0.674130249870224,135,0.1562156215621562,0.0007148291921703,0.0513278828190989,0.8287873059671275,0.0012746194180846,0.0426996662050099,5.36163154916216e+60
F12,0.6675894940623003,136,0.1276127612761276,0.0052170415279413,0.0439913323765908,0.903616698838835,0.0010038305733783,0.0367017164359152,4.593273115589131e+60
COL15A1,0.6548495571012378,137,0.1507150715071507,0.0026775805333837,0.047867593602335,0.8297563836412368,0.0012034414035032,0.0399563757787923,5.197855640474835e+60
SDC2,0.6506277302172082,138,0.1551155115511551,0.0022741260910231,0.0444912008918907,0.8523521693730832,0.0012050596863927,0.037804827306158,5.018471038032954e+60
THSD4,0.6498602314493781,139,0.1243124312431243,0.0188201100881573,0.0101493336350301,0.9188638204039076,0.0010385295102832,0.0161169248828522,4.32962570476109e+59
FBLN2,0.6195347196438361,140,0.1463146314631463,0.000585190677658,0.0529060579800319,0.8186552909957325,0.0012189865973018,0.0433800402643192,5.3985885439071146e+60
LAMA5,0.6139425420915577,141,0.1452145214521452,0.0041229893914501,0.0445831311611165,0.8302072412630176,0.0011527462302015,0.037813598143206,4.641410490616845e+60
COL14A1,0.6051906301735877,142,0.1562156215621562,0.0007414838400139,0.0460697571418411,0.8357031680523225,0.00121831503262,0.038816027744302,5.345707653669321e+60
EMILIN1,0.5813326057941374,143,0.1485148514851485,0.0014417741333604,0.047973144174816,0.8229400169333897,0.0011990431584101,0.0400620093806033,4.9065422017226926e+60
TNXB,0.5796922428123945,144,0.143014301430143,0.0002617001788284,0.052223821320868,0.8159518119455432,0.0011804222552897,0.0425447089403704,5.648896357590227e+60
BGN,0.5688893533354821,145,0.1463146314631463,0.0006566735968751,0.0484712967258486,0.8332672428306058,0.0011658429300931,0.0402798438201215,5.1562595629709146e+60
FNDC1,0.5485359034616019,146,0.1485148514851485,0.0010056071686463,0.0484342180217887,0.8091516289830053,0.0012122922635878,0.0404068857756513,4.834536554687757e+60
LGALS3,0.5295712865412459,147,0.143014301430143,0.0027211972298551,0.0417234384815956,0.8403164406099367,0.0011180348001852,0.0355653109859555,4.6225782187991185e+60
Fbln5,0.5283353107070317,148,0.0803080308030803,0.0228163785541549,0.0056484567433048,0.9124422724707122,0.0008834622404183,0.0119272555032641,8.440103729855186e+58
LTBP1,0.5080965017061237,149,0.1342134213421342,0.0032106734902565,0.0449976062947362,0.8213839153183556,0.0010815216386554,0.0373253592057058,4.63669040687676e+60
SERPING1,0.4937505112344036,150,0.1386138613861386,0.0010201460674701,0.0469362194813935,0.8268587812973338,0.001082723734404,0.0389926864797925,5.026961451116651e+60
ITIH4,0.48608264946158136,151,0.1408140814081408,0.0006324420988354,0.0453767584497718,0.8306109997442421,0.0011566001189214,0.037985963806995,4.585354511976762e+60
IGFBP7,0.48541579668052093,152,0.143014301430143,0.0021263139529812,0.0413167139135313,0.8384540507345495,0.0011115226485179,0.0355584028005479,4.2514125205133584e+60
SERPINF2,0.4815437400091073,153,0.132013201320132,0.001546575362382,0.0473340573211205,0.8268589291568079,0.0010765721504876,0.0389138851412089,4.725670248876001e+60
SERPIND1,0.48104048670931726,154,0.1386138613861386,0.0007875236862893,0.0478177050174548,0.8134765943218665,0.0011347846724167,0.0394846979316625,4.806723332580621e+60
ITIH1,0.47770017124296105,155,0.1452145214521452,0.0007905526235442,0.0460321756091479,0.8087625278636866,0.0011538738318657,0.0385322380101497,4.75426719084441e+60
HRG,0.45993013555135415,156,0.1144114411441144,0.0068944669797376,0.0357159011249419,0.8772498904455185,0.0009143891960113,0.0307716544432416,3.231486096531726e+60
ECM1,0.45721471357924254,157,0.1331133113311331,0.0017495141584643,0.046789208607997,0.8132387590774923,0.0010881797255049,0.0386765066155588,4.5023896106044315e+60
TGFBI,0.4429887769372335,158,0.1353135313531353,0.0003077400251038,0.0477224530413571,0.8130771392730134,0.0010519920483562,0.0393587561777816,5.3263894355873124e+60
THBS4,0.43850403036157953,159,0.1309130913091309,0.0005670170541283,0.0466876370440861,0.8349022382798968,0.0010721350812418,0.0387529074015954,4.3878743492848726e+60
SERPINE2,0.43073126823144536,160,0.1364136413641364,0.0013048661694363,0.044330570221652,0.8226511975693118,0.001093098042789,0.0376035944964443,4.1058388042245506e+60
PRELP,0.4285053094301167,161,0.1386138613861386,0.0003331830980454,0.0458270772162658,0.8075253101388378,0.0011226349217718,0.0382756353693695,4.7970450457355385e+60
COL6A3,0.423853591179958,162,0.1397139713971397,0.0007330028157,0.0436816350037689,0.8177789005946736,0.0011088515457097,0.0368240682682981,4.519723265429474e+60
S100A10,0.41905153527298467,163,0.1243124312431243,0.0002810853772601,0.0502303662542714,0.8194905374618485,0.0010428328971867,0.0408281745805169,4.650370948807916e+60
VWF,0.4123293770177923,164,0.1265126512651265,0.0007390606902099,0.0473343290286604,0.8271267825063836,0.0010471651001886,0.0389251789886708,4.34045035270225e+60
COL6A1,0.3995141204904757,165,0.1364136413641364,0.0005791328031481,0.0451489350495845,0.8063709110960875,0.0010764952907072,0.0376669413893161,4.7109870196963785e+60
COL12A1,0.3915823435394054,166,0.1375137513751375,0.0002810853772601,0.045082789679321,0.8016270908244306,0.0011033256325166,0.0377511999827657,4.654701244038412e+60
S100A4,0.3860651700876216,167,0.1309130913091309,0.0010140881929602,0.0438549691418978,0.8251529600126161,0.0010614112396927,0.0370824273562415,3.970483128703534e+60
PLG,0.38538911063570813,168,0.1287128712871287,0.0006736356455028,0.0470509935423073,0.8079742155254148,0.0010736277633504,0.0387919096515248,4.261672772424477e+60
