Metric,Spearman_rho,Spearman_p,Pearson_r,Pearson_p
Degree,0.9972489631508746,8.749963073859836e-14,0.9999997795062108,2.6045436052307474e-36
Betweenness,0.03296703296703297,0.9148564744875125,-0.3665156381986427,0.2180349943523747
Eigenvector,0.9285714285714285,4.607427269933694e-06,0.9367957590380582,2.389176987044473e-06
Closeness,0.4010989010989011,0.17435746494503276,0.3245718404430308,0.27926068627007905
PageRank,0.967032967032967,7.064113887175167e-08,0.9869547288545797,4.479508831849979e-10
Katz,0.9725274725274725,2.6191330438274006e-08,0.9546877266208726,3.966810652802054e-07
Subgraph,0.9505494505494506,6.363704773478595e-07,0.9141258735751431,1.2333546388816436e-05
