Tissue,Study_ID,Crosslink_Old,Crosslink_Young,Degrad_Old,Degrad_Young,Index_Old,Index_Young,Delta_Index,N_Crosslink_Proteins,N_Degrad_Proteins
Heart_Native_Tissue,Santinha_2024_Human,-0.35696653318931154,-0.3352983826161859,0.29672803987941776,0.06683055654615404,-0.6536945730687294,-0.40212893916233994,-0.2515656339063894,6,5
Intervertebral_disc_IAF,Tam_2020,-0.2675139347847849,-0.15268192726349974,-0.06319105530676715,-0.6516900854768659,-0.20432287947801775,0.4990081582133662,-0.7033310376913839,10,4
Intervertebral_disc_NP,Tam_2020,-0.41552299196957837,-0.2225065291841434,-0.6569595395235981,-0.687953148605538,0.24143654755401972,0.46544661942139465,-0.22401007186737493,10,4
Intervertebral_disc_OAF,Tam_2020,-0.19518311436741625,-0.05695814275262502,-0.5593509614443811,-0.7218777069657708,0.36416784707696487,0.6649195642131458,-0.30075171713618093,10,8
Kidney_Glomerular,Randles_2021,-0.0489469246642351,-0.1897230533087475,-0.050873436809926426,0.06516629620493633,0.0019265121456913253,-0.2548893495136838,0.25681586165937514,1,5
Kidney_Tubulointerstitial,Randles_2021,-0.7316636099872357,-0.6556552062851257,-0.06702012974629368,-0.25825647038324845,-0.664643480240942,-0.3973987359018773,-0.2672447443390647,1,5
Skin dermis,LiDermis_2021,-0.4614601852632877,-0.3347838438960392,0.2910145883450128,-0.43890509087845686,-0.7524747736083005,0.10412124698241765,-0.8565960205907182,7,5
