Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
COL8A1,2,"Lung, Skin dermis",-0.8820904629137093,Downregulated,Structural,Other
Sparcl1,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.8970502842541552,Downregulated,Structural,Other
Efemp1,2,"Skeletal_muscle_EDL, Skeletal_muscle_TA",-0.9300233601990704,Downregulated,Structural,Other
THBS1,2,"Lung, Ovary_Cortex",-0.9639417786581821,Downregulated,Structural,Other
NID2,2,"Ovary_Cortex, Skin dermis",-1.5888416547293116,Downregulated,Structural,Other
AGT,2,"Ovary_Cortex, Skin dermis",-1.656501221596925,Downregulated,Regulatory,Other
Chad,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-1.794976381862707,Downregulated,Structural,Other
Eln,2,"Skeletal_muscle_EDL, Skeletal_muscle_TA",-2.0621292241078275,Downregulated,Structural,Other
ADAMTSL4,2,"Lung, Skin dermis",-2.5232077165934332,Downregulated,Regulatory,Matrix_Remodeling
CILP,2,"Lung, Skin dermis",-4.7713727877044665,Downregulated,Structural,Other
