Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
Ctsl,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.7833435879295857,Downregulated,Regulatory,Other
S100A8,3,"Lung, Ovary_Cortex, Skin dermis",-0.7961903854612933,Downregulated,Signaling,Inflammation
COL1A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.8074364972498514,Downregulated,Structural,Other
Anxa2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.841837591475552,Downregulated,Signaling,Other
COL3A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.889272010437355,Downregulated,Structural,Other
Fmod,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.9006646593720798,Downregulated,Structural,Other
Col3a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.9225545973426232,Downregulated,Structural,Other
Lamb1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.922913642761677,Downregulated,Structural,Other
Col15a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.9633629011508135,Downregulated,Structural,Other
DCN,3,"Lung, Ovary_Cortex, Skin dermis",-0.9738182718030437,Downregulated,Structural,Other
Fn1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-1.0085402316722352,Downregulated,Structural,Other
Tnc,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-1.1192269354975874,Downregulated,Structural,Other
Sparc,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-1.1567394918707519,Downregulated,Structural,Other
LAMB1,3,"Lung, Ovary_Cortex, Skin dermis",-1.3909596395026498,Downregulated,Structural,Other
Fbln5,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-1.6710277120937365,Downregulated,Structural,Other
Fbn2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-1.8709249264607315,Downregulated,Structural,Other
Postn,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-2.2777739157632713,Downregulated,Structural,Other
AGRN,3,"Lung, Ovary_Cortex, Skin dermis",-2.3134954762253743,Downregulated,Structural,Other
Kera,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-2.3168048132172068,Downregulated,Structural,Other
Serpinh1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-2.5204661080988253,Downregulated,Regulatory,Coagulation
FMOD,3,"Lung, Ovary_Cortex, Skin dermis",-2.79242425931983,Downregulated,Structural,Other
Serpinf1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-2.81960378349681,Downregulated,Regulatory,Coagulation
Col14a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-3.4700124224905884,Downregulated,Structural,Other
Pcolce,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-4.181686416413054,Downregulated,Structural,Other
Angptl7,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",2.750599972545704,Upregulated,Signaling,Other
ANGPTL2,2,"Lung, Skin dermis",1.6762304934411019,Upregulated,Signaling,Other
SERPINE2,2,"Lung, Skin dermis",1.6201505232414384,Upregulated,Regulatory,Coagulation
PLXDC2,2,"Lung, Skin dermis",1.326282872637357,Upregulated,Signaling,Other
S100A4,2,"Lung, Skin dermis",1.28595132367398,Upregulated,Signaling,Inflammation
PLOD1,2,"Lung, Skin dermis",1.1719924276026905,Upregulated,Regulatory,Matrix_Remodeling
F12,2,"Skeletal_muscle_TA, Skin dermis",1.1597212508328019,Upregulated,Regulatory,Other
CTSC,2,"Lung, Skin dermis",1.071379933708734,Upregulated,Regulatory,Other
S100B,2,"Lung, Skin dermis",1.0441612879604378,Upregulated,Signaling,Inflammation
SLIT3,2,"Lung, Skin dermis",0.9978614361680613,Upregulated,Structural,Other
MATN4,2,"Lung, Skin dermis",0.952866532923434,Upregulated,Structural,Other
COL4A5,2,"Lung, Skin dermis",0.9365794335830584,Upregulated,Structural,Other
Ambp,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.849420103609756,Upregulated,Regulatory,Other
Serpina6,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.8137863800710718,Upregulated,Regulatory,Coagulation
PLOD3,2,"Lung, Skin dermis",0.758403539726324,Upregulated,Regulatory,Matrix_Remodeling
Ctsc,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.723016703156625,Upregulated,Regulatory,Other
FBLN1,2,"Lung, Ovary_Cortex",0.7054528596331368,Upregulated,Structural,Other
FREM2,2,"Lung, Skin dermis",0.6199978072738973,Upregulated,Signaling,Other
C1QTNF7,2,"Lung, Skin dermis",0.5525477588266655,Upregulated,Signaling,Other
ITIH5,2,"Lung, Skin dermis",0.5504436166788814,Upregulated,Regulatory,Other
LTBP1,2,"Lung, Skin dermis",0.5218014239529206,Upregulated,Structural,Other
LRG1,2,"Lung, Skin dermis",0.5176651400242718,Upregulated,Structural,Other
PLXNB2,2,"Ovary_Cortex, Skin dermis",0.48714709190427297,Upregulated,Signaling,Other
SERPINB9,2,"Lung, Skin dermis",0.4770880482226417,Upregulated,Regulatory,Coagulation
SERPINB6,2,"Ovary_Cortex, Skin dermis",0.47253291893566396,Upregulated,Regulatory,Coagulation
ITIH3,2,"Lung, Skin dermis",0.47113052951250234,Upregulated,Regulatory,Other
VWA5A,2,"Lung, Skin dermis",0.47055633382208223,Upregulated,Structural,Other
NGLY1,2,"Lung, Skin dermis",0.43284624945275996,Upregulated,Regulatory,Other
SERPINA3,2,"Ovary_Cortex, Skin dermis",0.4167827081945673,Upregulated,Regulatory,Coagulation
SERPINB1,2,"Ovary_Cortex, Skin dermis",0.3576135144924699,Upregulated,Regulatory,Coagulation
TGM1,2,"Lung, Skin dermis",0.35139911395055784,Upregulated,Regulatory,Other
MFGE8,2,"Lung, Skin dermis",0.32023741274802303,Upregulated,Structural,Other
CXCL12,2,"Lung, Skin dermis",0.27286266710563667,Upregulated,Signaling,Inflammation
COL2A1,2,"Ovary_Cortex, Skin dermis",0.2481673677146865,Upregulated,Structural,Other
CTSG,2,"Lung, Skin dermis",0.23936443732540288,Upregulated,Regulatory,Other
FRAS1,2,"Lung, Skin dermis",0.226626391013399,Upregulated,Structural,Other
LTBP4,2,"Lung, Skin dermis",0.1824378927172507,Upregulated,Structural,Other
TIMP3,2,"Lung, Skin dermis",0.1737706241136536,Upregulated,Regulatory,Matrix_Remodeling
GPC4,2,"Lung, Skin dermis",0.15708942576847074,Upregulated,Signaling,Other
COL4A6,2,"Lung, Skin dermis",0.15375107620261708,Upregulated,Structural,Other
NPNT,2,"Lung, Skin dermis",0.1525634649081784,Upregulated,Structural,Other
HTRA1,2,"Lung, Skin dermis",0.12944978759535467,Upregulated,Regulatory,Other
Gpc4,2,"Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",0.07738433182109461,Upregulated,Signaling,Other
Col5a1,2,"Skeletal_muscle_EDL, Skeletal_muscle_TA",0.07008321675068119,Upregulated,Structural,Other
