Protein,Mean_Abs_SHAP
F13B,0.02472376172663644
PLG,0.02329112256411463
PLAU,0.02123961823914821
FGB,0.01977726658806205
F7,0.015979214462762077
SERPINC1,0.015727116571118433
F10,0.015547921361091236
F13A1,0.015068546602075608
F2,0.014893894681396585
SERPINE1,0.01488335564887772
AGT,0.014360210206359626
GAS6,0.013645478035323321
SERPINF2,0.010898864781484007
FGA,0.007873171135239923
F12,0.006575833133683773
A2M,0.005549262156910118
FGG,0.0055329421418718995
VWF,0.004627229645848274
