Protein,Temporal_Gradient,Abs_Gradient
F13B,-2.241884411360592,2.241884411360592
SERPINC1,-1.3948856919351038,1.3948856919351038
PLG,-1.3523368500026016,1.3523368500026016
FGA,-1.143600638757399,1.143600638757399
FGB,-1.0663492364798683,1.0663492364798683
