Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
Q6B966,NAL14_MOUSE,Nlrp14,Ovary,Mus musculus,Young,categorical,612095.9375,LFQ,DIA,Dipali_2023,Young_pooled
P31001,DESM_MOUSE,Des,Ovary,Mus musculus,Old,categorical,4587999.5,LFQ,DIA,Dipali_2023,Old_pooled
P31001,DESM_MOUSE,Des,Ovary,Mus musculus,Young,categorical,2421852.75,LFQ,DIA,Dipali_2023,Young_pooled
B2RQC6,PYR1_MOUSE;E9QAI5_MOUSE,Cad,Ovary,Mus musculus,Old,categorical,457730.15625,LFQ,DIA,Dipali_2023,Old_pooled
B2RQC6,PYR1_MOUSE;E9QAI5_MOUSE,Cad,Ovary,Mus musculus,Young,categorical,690335.125,LFQ,DIA,Dipali_2023,Young_pooled
P16406,AMPE_MOUSE,Enpep,Ovary,Mus musculus,Old,categorical,650763.1875,LFQ,DIA,Dipali_2023,Old_pooled
P16406,AMPE_MOUSE,Enpep,Ovary,Mus musculus,Young,categorical,1265284.25,LFQ,DIA,Dipali_2023,Young_pooled
P43276,H15_MOUSE,Hist1h1b,Ovary,Mus musculus,Old,categorical,9287962.0,LFQ,DIA,Dipali_2023,Old_pooled
P43276,H15_MOUSE,Hist1h1b,Ovary,Mus musculus,Young,categorical,22147078.0,LFQ,DIA,Dipali_2023,Young_pooled
Q61699,HS105_MOUSE,Hsph1,Ovary,Mus musculus,Old,categorical,966371.6875,LFQ,DIA,Dipali_2023,Old_pooled
Q61699,HS105_MOUSE,Hsph1,Ovary,Mus musculus,Young,categorical,1390763.625,LFQ,DIA,Dipali_2023,Young_pooled
A0A140T8T7,A0A140T8T7_MOUSE;A0A140T8W1_MOUSE;CO6A5_MOUSE,Col6a5,Ovary,Mus musculus,Old,categorical,2011923.375,LFQ,DIA,Dipali_2023,Old_pooled
A0A140T8T7,A0A140T8T7_MOUSE;A0A140T8W1_MOUSE;CO6A5_MOUSE,Col6a5,Ovary,Mus musculus,Young,categorical,1460873.625,LFQ,DIA,Dipali_2023,Young_pooled
P11499,HS90B_MOUSE,Hsp90ab1,Ovary,Mus musculus,Old,categorical,44825620.0,LFQ,DIA,Dipali_2023,Old_pooled
P11499,HS90B_MOUSE,Hsp90ab1,Ovary,Mus musculus,Young,categorical,53388156.0,LFQ,DIA,Dipali_2023,Young_pooled
Q01339,APOH_MOUSE,Apoh,Ovary,Mus musculus,Old,categorical,2992234.75,LFQ,DIA,Dipali_2023,Old_pooled
Q01339,APOH_MOUSE,Apoh,Ovary,Mus musculus,Young,categorical,2204918.5,LFQ,DIA,Dipali_2023,Young_pooled
Q19LI2,A1BG_MOUSE,A1bg,Ovary,Mus musculus,Old,categorical,4714347.0,LFQ,DIA,Dipali_2023,Old_pooled
Q19LI2,A1BG_MOUSE,A1bg,Ovary,Mus musculus,Young,categorical,1767160.5,LFQ,DIA,Dipali_2023,Young_pooled
Q61292,LAMB2_MOUSE,Lamb2,Ovary,Mus musculus,Old,categorical,1397911.25,LFQ,DIA,Dipali_2023,Old_pooled
Q61292,LAMB2_MOUSE,Lamb2,Ovary,Mus musculus,Young,categorical,1104889.375,LFQ,DIA,Dipali_2023,Young_pooled
Q8CGN5,PLIN1_MOUSE,Plin1,Ovary,Mus musculus,Old,categorical,465067.78125,LFQ,DIA,Dipali_2023,Old_pooled
Q8CGN5,PLIN1_MOUSE,Plin1,Ovary,Mus musculus,Young,categorical,727191.5625,LFQ,DIA,Dipali_2023,Young_pooled
B1AZ14,B1AZ14_MOUSE;B1AZ15_MOUSE;COBL1_MOUSE;COBL1_MOUSE,Cobll1,Ovary,Mus musculus,Old,categorical,812936.9375,LFQ,DIA,Dipali_2023,Old_pooled
B1AZ14,B1AZ14_MOUSE;B1AZ15_MOUSE;COBL1_MOUSE;COBL1_MOUSE,Cobll1,Ovary,Mus musculus,Young,categorical,569043.125,LFQ,DIA,Dipali_2023,Young_pooled
M0QWP1,M0QWP1_MOUSE,Agrn,Ovary,Mus musculus,Old,categorical,592398.0625,LFQ,DIA,Dipali_2023,Old_pooled
M0QWP1,M0QWP1_MOUSE,Agrn,Ovary,Mus musculus,Young,categorical,439305.15625,LFQ,DIA,Dipali_2023,Young_pooled
Q8BW75,AOFB_MOUSE,Maob,Ovary,Mus musculus,Old,categorical,4419427.0,LFQ,DIA,Dipali_2023,Old_pooled
