module,mean,median,max
coag,0.41014691829909217,0.4360965121834687,0.7930004777830865
collagen,0.3416895604395604,0.2521500238891543,0.7986144290492116
serpin,0.3115339419687246,0.128404204491161,0.8017200191113234
