feature,mean_abs_shap
FGB,0.024653807872285445
FGA,0.017901356782143316
FGG,0.01577028480047981
F13A1,0.015110990032553673
F13B,0.014956684343633241
F12,0.01419702532196728
SERPINC1,0.013866751835060616
SERPINF2,0.01340283570655932
PLAU,0.012518297727607812
F2,0.010823887023919572
F10,0.01055366025927166
F9,0.00952648938400671
SERPINE1,0.009177714632824064
F7,0.006781868681233997
VWF,0.005979369309109946
GAS6,0.00368571193733563
