Human_Tissue,Mouse_Tissue,N_Proteins,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value,Conservation_Score
Heart_Native_Tissue,Heart_Native_Tissue,141,0.24598321809971557,0.0032799732614198942,0.26449076046184444,0.0015278870336917036,0.24598321809971557
Ovary_Cortex,Ovary,78,0.0037878376220248783,0.973743743504361,-0.03648319687039967,0.7511568463173315,0.0037878376220248783
