source_gene,target_gene,spearman_rho,p_value
S100A8,CXCL12,0.4525247759206769,0.06816745292170402
S100A8,MMP3,0.4209439136714437,0.09244592116953385
S100A8,MMP9,-0.28319520278435045,0.27070174817304093
S100A8,SERPINA1,0.09770114942528735,0.7091164373917184
S100A8,SERPINE1,-0.2781318734514263,0.27972940092830595
S100A8,TNFAIP6,0.053864860991132614,0.8373205615654571
S100A9,CRP,-0.20462629640949379,0.43080058807194255
S100A9,CXCL10,-0.10231314820474689,0.6959865149103044
S100A9,CXCL12,0.3995003474404621,0.11212719051819357
S100A9,MMP3,-0.027705094987247224,0.9159397887137152
S100A9,MMP9,-0.5777277926158774,0.015148957789112358
S100A9,SERPINA1,0.14632214220543197,0.575220974275146
S100A9,SERPINE1,-0.2707052110763532,0.2932979582987163
S100A9,TNFAIP6,0.1533015255961013,0.5569196308583702
S100B,CRP,0.3999327900524534,0.11170329550175048
S100B,CXCL10,0.34279953433067434,0.17798577872062898
S100B,CXCL12,0.2752374757094051,0.28497124784905614
S100B,MMP3,-0.2495981000053265,0.3339736370098094
S100B,MMP9,0.3089926864928365,0.22751777647589416
S100B,SERPINA1,-0.5793879958249244,0.014792171384784687
S100B,SERPINE1,0.2746796951478677,0.2859881963228239
S100B,TNFAIP6,-0.7322919462966191,0.000829984304639077
S100G,CRP,0.0625,0.811650149100106
S100G,CXCL10,-0.0625,0.811650149100106
S100G,CXCL12,-0.21551818352912588,0.4061155995985025
S100G,MMP3,0.038361525623982234,0.8837842285593059
S100G,MMP9,-0.5065607304015044,0.0379820225393794
S100G,SERPINA1,0.11051083059212305,0.6728508365734323
S100G,SERPINE1,-0.06856622662527316,0.793722895187913
S100G,TNFAIP6,0.11508457687194673,0.660060755968438
S100P,CRP,-0.0625,0.811650149100106
S100P,CXCL10,0.0625,0.811650149100106
S100P,CXCL12,0.43103636705825177,0.08409902842734794
S100P,MMP3,-0.038361525623982234,0.8837842285593059
S100P,MMP9,-0.3799205478011283,0.13252839360264865
S100P,SERPINA1,0.4420433223684922,0.075633545866744
S100P,SERPINE1,-0.5485298130021853,0.02260611178042992
S100P,TNFAIP6,-0.11508457687194673,0.660060755968438
