source_gene,target_gene,spearman_rho,p_value
S100B,LOXL2,0.43394777265745005,0.08179612196973918
S100B,LOXL3,0.5714812449385168,0.016552488152509495
S100B,LOXL4,0.7405431231562993,0.00067388570797677
S100B,TGM1,0.1098073183404295,0.6748257982634288
S100B,TGM2,0.3045912342885486,0.23455343549943658
S100B,TGM3,0.08767561076793984,0.7379223811024622
S100G,LOX,0.5065607304015044,0.0379820225393794
S100G,LOXL1,0.47996358637691217,0.05119866728439163
S100G,LOXL2,0.2856662786088953,0.26636170364004985
S100G,LOXL3,0.3428311331263659,0.17794317010221944
S100G,LOXL4,-0.11508457687194673,0.660060755968438
S100G,TGM1,0.3799205478011283,0.13252839360264865
S100G,TGM2,0.05103103630798288,0.8457801257277214
S100G,TGM3,-0.15830022825047013,0.5439706029392657
S100P,LOX,0.15830022825047013,0.5439706029392657
S100P,LOXL1,0.5485298130021853,0.02260611178042992
S100P,LOXL2,-0.17139976716533717,0.5106890001887398
S100P,LOXL3,0.13713245325054632,0.5996979548392547
S100P,LOXL4,0.11508457687194673,0.660060755968438
S100P,TGM1,0.031660045650094025,0.9039888514308674
S100P,TGM2,0.0,1.0
S100P,TGM3,-0.3799205478011283,0.13252839360264865
