Metric,Giants,Non-Giants,Giants/Non-Giants Ratio
Count,5.0,3312.0,0.0015096618357487923
Mean Effect Size,2.452982546472827,0.2755417642539857,8.90239834645083
Median Effect Size,2.4999630974081564,0.2226487473323975,11.228282787847457
Mean Consistency,1.0,0.7772917534692897,1.2865182160195263
Mean N_Tissues,1.0,2.5766908212560384,0.388094680103117
Mean Strong_Effect_Rate,1.0,0.14866356385831023,6.726597789308281
Upregulated (%),20.0,28.442028985507246,0.7031847133757961
Downregulated (%),80.0,71.55797101449275,1.1179746835443038
