Version,Mean_Zscore_Old,Mean_Zscore_Young,Mean_Zscore_Delta,N_observations
V1,-0.497958842821818,0.10706666279578268,-1.4123073888251465,12
V2,-0.4890108105490385,0.11570494804136892,-1.4129804575472822,12
