epoch,split,loss,accuracy,f1_macro
1,train,1.0990842580795288,0.49293563579277866,0.39224778677527455
1,val,1.0911891460418701,0.4632352941176471,0.3514633187282328
2,train,1.0893750190734863,0.46467817896389324,0.39574704449815484
2,val,1.083328127861023,0.4264705882352941,0.35910533910533915
3,train,1.0771794319152832,0.4631083202511774,0.3975468236676867
3,val,1.0757577419281006,0.4411764705882353,0.3819291819291819
4,train,1.0616039037704468,0.4489795918367347,0.38672327964203485
4,val,1.0693566799163818,0.4338235294117647,0.3829545454545455
5,train,1.047210931777954,0.48665620094191525,0.4217790651614181
5,val,1.065219521522522,0.5,0.4378600151193041
6,train,1.031579852104187,0.5149136577708007,0.43607022976679993
6,val,1.06047785282135,0.5294117647058824,0.4377246444756993
7,train,1.0216729640960693,0.5824175824175825,0.471401719260663
7,val,1.054573893547058,0.5367647058823529,0.42859376395961757
8,train,1.0143778324127197,0.5306122448979592,0.4495716137556556
8,val,1.0555377006530762,0.5294117647058824,0.43799886293061907
9,train,1.0187519788742065,0.5635792778649922,0.4600322433626219
9,val,1.0575919151306152,0.5220588235294118,0.41232726450922996
10,train,1.0122251510620117,0.5871271585557299,0.4774725167437955
10,val,1.0492326021194458,0.5367647058823529,0.41982753786359184
11,train,1.0065290927886963,0.5792778649921507,0.47453487983289305
11,val,1.0488049983978271,0.5367647058823529,0.43743837058029017
12,train,0.9990038275718689,0.5620094191522763,0.4806693115840499
12,val,1.0456351041793823,0.5294117647058824,0.44254346900050345
13,train,0.9918651580810547,0.49607535321821034,0.45215941098506396
13,val,1.0495750904083252,0.4852941176470588,0.4193903048475762
14,train,0.9899892807006836,0.5353218210361067,0.4682893378958231
14,val,1.042333960533142,0.5147058823529411,0.4468085609806016
15,train,0.9837613105773926,0.554160125588697,0.4804635591249828
15,val,1.036016583442688,0.5367647058823529,0.4676424560434502
16,train,0.9809015393257141,0.5525902668759811,0.4807872228341863
16,val,1.028896689414978,0.5294117647058824,0.4633333333333334
17,train,0.9774154424667358,0.5243328100470958,0.46250536140865156
17,val,1.0195492506027222,0.5220588235294118,0.46270871985157697
18,train,0.9673848748207092,0.48822605965463106,0.4492323181898022
18,val,1.0107040405273438,0.5147058823529411,0.4734266360299603
19,train,0.9628284573554993,0.5321821036106751,0.4724823776466969
19,val,0.9968297481536865,0.5367647058823529,0.4762256749716527
20,train,0.9514071941375732,0.554160125588697,0.49081530497748677
20,val,0.9827584624290466,0.5514705882352942,0.4907899232752461
21,train,0.942281186580658,0.5306122448979592,0.490310028741169
21,val,0.9771550297737122,0.47794117647058826,0.4521582797527322
22,train,0.9312477111816406,0.5934065934065934,0.5217043176770139
22,val,0.9483939409255981,0.5367647058823529,0.47664769245535155
23,train,0.9244158267974854,0.5729984301412873,0.5286667578078641
23,val,0.9388035535812378,0.5,0.46026128868594623
24,train,0.8972724676132202,0.5384615384615384,0.4967183654399254
24,val,0.9439387321472168,0.4632352941176471,0.4268381682174786
25,train,0.8808802962303162,0.5949764521193093,0.5437058044891884
25,val,0.8936551213264465,0.5441176470588235,0.5171608558705333
26,train,0.8774327039718628,0.5682888540031397,0.5345933708002674
26,val,0.8699733018875122,0.5220588235294118,0.501203007518797
27,train,0.8505439758300781,0.5227629513343799,0.499103998881425
