Protein,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ADAM19,1.0259374,0.07313177,1.5187693,0.2605002,0.5151312,1.1951479,0.8065065,0.856133,-0.34875363,1.0746928,0.6866495,1.0823076,0.022466762,0.98152685,-0.24364036,0.25199497,-0.2603088,-0.4151345,0.49033752,-0.20357627,-0.47506475,1.0703448,0.574111,-0.3482613,0.044290096,-0.3353579,-0.5389024,-0.302886,1.0437772,0.29280898,-0.3166843,-0.33924192,0.06676441,0.64994425,1.0608593,0.88261855,-0.12203103,-0.5122571,-0.47915787,0.77735364,0.22463071,0.8571525,0.18324156,-0.49501294,-0.37637562,0.08473721,1.3746351,0.47689664,-0.454732,0.5463784,0.26549062,-0.2122649,-0.41862065,-0.22512996,0.23828667,-0.48513544,0.3296277,-0.50548625,-0.41913897,0.8798599,-0.43739843,-0.6345862,0.25204754,-0.46833557
ADAM9,0.77994967,-0.30230033,0.6633688,0.61292577,0.6426855,1.4221799,0.6845218,-0.011465967,-0.13891649,0.24108939,0.097329825,0.3862335,-0.08292961,0.030673262,0.5974749,0.4915448,-0.054983377,-0.18096077,0.33229613,0.5258813,-0.19236779,0.34800303,-0.26874405,0.4232952,-0.27775973,-0.1840232,-0.11563724,0.40913665,0.20818171,0.6817401,0.1035738,0.34701413,0.16034046,0.18305252,1.0317216,0.12918957,-0.2186343,0.07494733,-0.15487999,-0.02948314,1.0958407,0.20547543,0.18546394,-0.074428916,0.5302342,-0.33936405,0.6030377,-0.089404225,-0.637361,-0.25181842,0.8295,0.43012112,0.33487952,-0.06530583,0.6714617,-0.22181118,0.6043025,0.24375418,0.56689423,0.71815765,-0.12252724,-0.44716156,0.6868897,-0.33469164
ADAMTS1,1.1205074,-0.33160037,0.97496367,0.65257674,0.7322275,1.7533091,0.89030933,0.07717002,-0.29555285,0.49001384,0.14619213,0.65684354,-0.09905374,0.29405642,0.6826959,0.5970287,-0.036595583,-0.35726058,0.5798414,0.6186808,-0.3318808,0.53760636,-0.34713572,0.39835483,-0.4213165,-0.24376684,-0.33653247,0.3765222,0.27659327,0.7582469,0.08841273,0.3097363,0.2722003,0.33191836,1.3086181,0.2103005,-0.30372214,-0.050215542,-0.22412437,-0.02030778,1.1574817,0.29195228,0.23782808,-0.20125353,0.5501592,-0.45938283,0.8999941,-0.0402413,-0.65276015,-0.28264415,0.9497832,0.45166442,0.30849373,-0.13259536,0.8672689,-0.37886417,0.67650425,0.15235424,0.547171,0.95979637,-0.30878997,-0.6121764,0.7983913,-0.48717678
ADAMTS16,1.2420567,-0.053413153,1.234033,0.8157133,0.77356243,1.8980496,1.0138243,0.22201498,-0.24529684,0.75306696,0.32561958,0.7411492,-0.1680584,0.6456474,0.6472266,0.6862092,0.14583272,-0.38434488,0.7528056,0.42881143,-0.26450032,0.4970111,-0.19943154,0.27865556,-0.34044558,-0.2351827,-0.36508304,0.3525121,0.33554837,0.81876886,-0.30020624,0.03956753,0.25232401,0.5548376,1.5145011,0.2773552,-0.3647132,-0.18936056,-0.3473804,-0.01891023,1.0216374,0.39678895,0.20328623,-0.29748452,0.42739806,-0.4347598,1.32517,0.0960691,-0.66033477,-0.23004842,1.025658,0.35161793,0.1780372,-0.0938406,0.89066505,-0.36362982,0.83939636,0.02107133,0.44511616,1.1843901,-0.36394703,-0.62229913,0.55292845,-0.42605764
ADAMTS2,1.3949957,-0.21695948,1.2346493,0.73310506,0.6835441,1.9456629,1.0658947,0.25570858,-0.34017575,0.7555868,0.34565738,0.8738953,-0.22043842,0.6215214,0.62927103,0.66600215,0.036503673,-0.40653372,0.73809135,0.61268586,-0.3492694,0.6034254,-0.25980425,0.25971156,-0.40731007,-0.2448048,-0.42615992,0.28448907,0.38504693,0.7796775,-0.17345446,0.09557237,0.31870967,0.49952793,1.5835099,0.35111198,-0.3816207,-0.08141303,-0.35546213,-0.0013189316,1.0766525,0.4882792,0.21226576,-0.3155027,0.43158653,-0.47935534,1.2696002,0.038029924,-0.6563282,-0.24402672,0.9941461,0.45700306,0.15539241,-0.12106532,0.99808365,-0.43832076,0.80427825,0.012653038,0.45417467,1.1521053,-0.42300522,-0.6688335,0.69585687,-0.49817103
ADAMTS4,1.0273614,0.1517944,1.405118,0.40933356,0.58107096,1.2788615,0.8076831,0.6770402,-0.28827715,1.0270985,0.59720945,0.90260804,0.007378239,0.94537145,-0.052529216,0.3164231,-0.13091743,-0.3569705,0.48418942,-0.20774108,-0.34846127,0.84768367,0.47704488,-0.20860493,0.026575714,-0.3097605,-0.43097508,-0.18717486,0.8880633,0.37110254,-0.39953017,-0.28278935,0.07831079,0.6370847,1.123254,0.66504574,-0.1634664,-0.46647817,-0.42200136,0.57258445,0.3268541,0.6652756,0.22888923,-0.41520667,-0.2595902,-0.018710196,1.4144332,0.5188239,-0.49161708,0.3609259,0.42366633,-0.19275093,-0.35649043,-0.22066772,0.30105275,-0.42603397,0.4945191,-0.3923877,-0.29530472,0.91274905,-0.36786115,-0.6199064,0.26899242,-0.44033343
ADAMTS5,1.014497,0.06581655,1.5030539,0.27545512,0.51952255,1.2047026,0.806791,0.83806753,-0.34087467,1.058509,0.67353684,1.0629661,0.021697326,0.95892626,-0.23056418,0.2648855,-0.2546606,-0.4127813,0.4941106,-0.19466823,-0.4705596,1.0520959,0.5587923,-0.337247,0.037011355,-0.33305192,-0.5327382,-0.2875088,1.0231714,0.3041933,-0.31295234,-0.33032835,0.06340186,0.64092577,1.0587415,0.86677486,-0.12048292,-0.5071013,-0.47565967,0.7637448,0.2409234,0.8413208,0.18078694,-0.48952067,-0.3628775,0.07869056,1.360128,0.4636409,-0.46328646,0.53109145,0.28471595,-0.20306957,-0.40351224,-0.21921754,0.24423598,-0.47906017,0.32996553,-0.49638528,-0.4048249,0.87772226,-0.42982596,-0.6295666,0.25965717,-0.4624145
ADAMTSL1,1.2157516,-0.38423473,1.1683432,0.4807629,0.5859015,1.6697404,1.0385538,0.29006195,-0.404284,0.7295298,0.34617075,0.8709749,-0.12651455,0.48315597,0.5121311,0.6376085,-0.08199042,-0.4648913,0.73014224,0.53626555,-0.42511773,0.78247905,-0.1824941,0.19136094,-0.46139926,-0.13342434,-0.43666512,0.20232849,0.4239354,0.74189395,0.06773235,0.10702714,0.39808762,0.45409274,1.3432436,0.43843177,-0.26846772,-0.139489,-0.35293615,0.1434787,0.9251952,0.5557478,0.10889881,-0.32956964,0.31789866,-0.4348274,1.0203723,-0.079120874,-0.65209746,-0.14563125,0.7958101,0.45284966,0.18771559,-0.04395646,0.8835484,-0.48051614,0.58816075,-0.05681193,0.3066657,0.9932546,-0.37346697,-0.67836213,0.68073785,-0.56591547
ADAMTSL2,1.225096,-0.30557895,1.1016636,0.737892,0.8357515,1.9335732,0.92259693,0.097422734,-0.30721414,0.5222808,0.13989456,0.6959497,-0.11574507,0.4004467,0.7331132,0.5912238,0.017304137,-0.36485893,0.57141066,0.62815213,-0.33633286,0.49256426,-0.380669,0.43000376,-0.40067,-0.3206482,-0.3767054,0.37383348,0.27049434,0.7807716,0.0005146861,0.29780096,0.2689007,0.40002686,1.4272053,0.18484576,-0.38921493,-0.09722376,-0.23428953,-0.06607443,1.2587088,0.23841707,0.2851878,-0.22638422,0.576993,-0.47759324,1.0789565,0.027014494,-0.66645473,-0.3268348,1.0333352,0.43766785,0.27483955,-0.18437952,0.87571335,-0.3919909,0.81825346,0.13964757,0.57149446,1.0825691,-0.36318135,-0.6317564,0.8392488,-0.4815638
ADAMTSL3,1.1852676,-0.37879992,1.1254808,0.5125077,0.652195,1.6820098,0.9876704,0.23471025,-0.38522363,0.6751536,0.27239516,0.817097,-0.0854125,0.43374783,0.55392694,0.61315703,-0.09194851,-0.4456973,0.68420285,0.533585,-0.4154758,0.7459436,-0.23539966,0.25233382,-0.4555652,-0.1896891,-0.42056084,0.23651442,0.4057928,0.728767,0.103351876,0.178459,0.3589999,0.4197059,1.3107145,0.37746418,-0.26169705,-0.156026,-0.30759567,0.12820679,0.97918403,0.46755394,0.17030707,-0.2976879,0.37231985,-0.43667006,0.9762166,-0.04096496,-0.64487505,-0.17293781,0.8230467,0.41944724,0.21421945,-0.10179651,0.8572373,-0.46484834,0.5839523,-0.01082468,0.34766683,0.9757811,-0.35748196,-0.6687254,0.73274916,-0.5631702
