Protein,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
CLEC3B,0.9620043,-0.21054566,0.7830444,0.7012493,0.7035501,1.5834863,0.73336387,0.025029443,-0.1637811,0.30853903,0.12999888,0.48373348,-0.16202271,0.23460066,0.6666466,0.47638404,0.035270788,-0.18214971,0.36652452,0.6090952,-0.1654126,0.31130394,-0.3126374,0.4521843,-0.2644636,-0.22622472,-0.16509318,0.38709956,0.20096508,0.72054636,-0.04468268,0.3017754,0.23006067,0.28138438,1.226727,0.11127961,-0.3377608,0.076323,-0.17352444,-0.11640525,1.1662676,0.23721144,0.23515876,-0.111338615,0.558708,-0.3943665,0.8006886,-0.065853715,-0.6163347,-0.29956973,0.89498156,0.46585673,0.27835438,-0.12289369,0.8128944,-0.2284199,0.7769369,0.24240229,0.59184885,0.8868704,-0.23005956,-0.48933113,0.6509802,-0.34901243
CLEC5A,0.86408067,-0.024013758,0.77133334,0.73169327,0.67512584,1.4745663,0.6296632,0.07790146,-0.12835288,0.31008697,0.20009819,0.45414677,-0.11998689,0.30690607,0.58434117,0.40238276,0.0646634,-0.09756625,0.20856282,0.4765883,-0.10539961,0.28729653,-0.25922108,0.3549867,-0.11279619,-0.2350139,-0.09986305,0.2860968,0.30099413,0.67731297,-0.19451427,0.24045703,0.20734593,0.3329763,1.1034491,0.09960725,-0.2687335,-0.039976776,-0.15970713,-0.06386572,1.0667814,0.23631874,0.30011863,-0.113803804,0.4291578,-0.3501876,0.8720054,0.07124592,-0.5882926,-0.21487123,0.83590883,0.33690763,0.1334992,-0.15095586,0.69286865,-0.16323602,0.7666856,0.1922084,0.43749738,0.8677697,-0.2065149,-0.45984453,0.49234957,-0.31026876
CLGN,0.87419987,-0.27257842,0.69957113,0.64302516,0.6495248,1.4920495,0.6960466,-0.009250402,-0.19375837,0.29094929,0.11532897,0.43785858,-0.087940454,0.1297723,0.6398316,0.4717809,-0.030480623,-0.18989474,0.2970464,0.5291755,-0.18958086,0.3680918,-0.30132544,0.42643988,-0.27981555,-0.2038542,-0.13564855,0.37740916,0.259678,0.7021551,0.036117077,0.35229936,0.1919948,0.23361155,1.1143236,0.10515739,-0.24661988,0.038099274,-0.15172672,-0.048676074,1.1045895,0.19587897,0.2622528,-0.07644439,0.5204624,-0.38403285,0.7172111,-0.020699322,-0.6263046,-0.27531207,0.86748487,0.40398544,0.27945796,-0.12319428,0.7365364,-0.25415117,0.68320966,0.23236033,0.5544313,0.77844507,-0.1670382,-0.5143734,0.70485634,-0.38814592
COCH,1.2123383,-0.35734105,1.1199899,0.61488676,0.6911206,1.7819645,0.9947702,0.1948946,-0.32206035,0.63116956,0.22618824,0.7655577,-0.1595602,0.43245146,0.61765337,0.67154163,-0.008936703,-0.42667997,0.7652043,0.5624919,-0.36457145,0.57380474,-0.26478857,0.31714678,-0.4504823,-0.21406764,-0.40946764,0.34617257,0.2518428,0.744406,0.01632823,0.15414464,0.28435475,0.37345558,1.3962171,0.337516,-0.33629173,-0.058062017,-0.3224041,0.0046967417,1.0510083,0.41355687,0.12405301,-0.28284228,0.48558784,-0.43756062,0.99964005,-0.09331912,-0.6591127,-0.26649326,0.9328091,0.45511967,0.32045442,-0.06311226,0.8881144,-0.42379284,0.68402034,0.054047227,0.49464628,0.9860691,-0.3590914,-0.6302774,0.7654515,-0.47292918
COL10A1,0.4010236,0.057389483,0.41512033,0.9140489,0.9688161,1.6237899,0.33386523,-0.32191473,0.21250531,-0.14934814,-0.3392715,-0.07177693,0.2707722,-0.30355638,0.71953416,0.34141982,-0.08639479,0.12008235,0.0066257715,0.41462165,-0.040263474,0.16801411,-0.454957,0.67647153,-0.12310082,-0.47682458,0.12213594,0.7171307,0.1941045,0.6824968,0.07622196,0.7324687,-0.2185198,-0.09056574,0.7728047,-0.23802656,-0.074642,-0.13589394,0.16331372,0.050770313,1.4356432,-0.3371684,0.64020264,0.26233354,0.8108625,-0.31387907,0.5130361,0.28406262,-0.64049685,-0.29133695,1.1266865,0.017294148,0.4131276,-0.38432014,0.38056135,0.0972442,0.6053219,0.41819596,0.7603791,0.62342644,0.19742715,-0.30333292,0.9845929,-0.21600431
COL11A1,0.27708426,0.26100767,0.21575192,0.6699637,0.9555802,1.3204235,0.05767104,-0.3046518,0.23556405,-0.23581743,-0.43465883,-0.108590424,0.5350618,-0.36295724,0.4056248,-0.102686286,-0.3348419,0.3346923,-0.32215178,0.1833048,-0.06591505,0.38170522,-0.40365505,0.6496106,0.08536701,-0.61729014,0.13449624,0.5462768,0.5440355,0.3347649,0.23339115,0.89660704,-0.36074144,-0.25401926,0.46301585,-0.19797367,0.099915236,-0.256787,0.3491392,0.40569773,1.2503142,-0.40560788,0.95382345,0.4086862,0.64889824,-0.119538546,0.34445345,0.69053054,-0.44914317,-0.15907103,0.85552156,-0.3150341,0.11091736,-0.5946673,0.058372594,0.09397905,0.38379872,0.24735987,0.507554,0.28374115,0.28163025,-0.3239833,1.226156,-0.2751385
COL11A2,0.17501341,0.09538223,0.19111538,0.72398233,1.0092161,1.3543458,0.06538135,-0.3322839,0.26220056,-0.32567304,-0.41523874,-0.15074998,0.5117047,-0.4688921,0.48391253,-0.029241204,-0.338507,0.33088824,-0.3357514,0.3089253,-0.091308415,0.32901707,-0.43450862,0.6944925,0.0858455,-0.58258045,0.1988302,0.62465614,0.45629692,0.47259998,0.3702042,0.9747734,-0.3462931,-0.24706972,0.4393208,-0.21683937,0.10693312,-0.194121,0.34577006,0.3403126,1.4372481,-0.39593798,0.84712476,0.4036088,0.7410949,-0.11847603,0.21246219,0.48539883,-0.55716187,-0.17854214,0.9154824,-0.18072945,0.25452763,-0.5232053,0.07350497,0.1490491,0.40743494,0.34467548,0.6166057,0.33242232,0.33585614,-0.2184555,1.2066797,-0.22499645
COL12A1,0.9987489,-0.23799473,0.92320424,0.7660223,0.6486762,1.644302,0.8554794,0.14429857,-0.1862799,0.41153222,0.33829808,0.58493984,-0.24480158,0.29531002,0.6478675,0.6058727,0.05117794,-0.2568826,0.46187374,0.6410687,-0.2400949,0.3398476,-0.25561965,0.30301398,-0.23795384,-0.13466817,-0.2355622,0.34908766,0.23024848,0.8373212,-0.13064378,0.16109504,0.25741422,0.411643,1.3259052,0.23078868,-0.3168056,0.032113217,-0.31718028,-0.10431391,1.1633387,0.41032887,0.10422056,-0.24045885,0.4871142,-0.38272774,0.8990891,-0.17474473,-0.6735263,-0.25174302,0.93414056,0.6058804,0.2966246,0.05061195,0.87448305,-0.27407235,0.81477433,0.14388178,0.5478392,1.0039263,-0.28719217,-0.47921818,0.49531168,-0.31905013
COL14A1,0.93285006,-0.25619835,0.8382491,0.7049989,0.6425112,1.5627754,0.75336534,0.117672846,-0.19030797,0.31494886,0.26037386,0.5554644,-0.19613767,0.2164315,0.59399134,0.50595474,-0.022865236,-0.21563792,0.34628275,0.6480569,-0.24850363,0.36339104,-0.27854508,0.32185063,-0.22057807,-0.18650073,-0.21633053,0.32172024,0.26275858,0.76401544,-0.030154347,0.24655339,0.22579198,0.33448684,1.2164897,0.20471318,-0.29477102,0.04826329,-0.25684112,-0.057412326,1.16775,0.35756204,0.16740677,-0.19514847,0.4800992,-0.3640933,0.7875428,-0.14516002,-0.6476921,-0.22755659,0.8702164,0.5379257,0.2624815,-0.031662524,0.80728436,-0.2540546,0.74323237,0.16129875,0.5182132,0.91553885,-0.26188582,-0.46665508,0.563379,-0.33383512
COL15A1,0.9392721,-0.24013019,0.8159286,0.6871756,0.6610245,1.5587894,0.75719225,0.09611831,-0.18488026,0.32763067,0.23808372,0.5435192,-0.16644263,0.20261829,0.61805606,0.49277395,-0.028572261,-0.20193958,0.3452934,0.64769024,-0.2356615,0.38964465,-0.2899534,0.36708856,-0.24362475,-0.19821411,-0.1971789,0.34733704,0.27378124,0.7482627,-0.0035513043,0.28249946,0.24102801,0.3146389,1.1973243,0.19054192,-0.27518576,0.05106628,-0.22720224,-0.048826873,1.1708744,0.34493077,0.1959558,-0.17338562,0.5082292,-0.37453818,0.76906085,-0.109182894,-0.64085495,-0.23834223,0.8716796,0.5329632,0.2675436,-0.06283021,0.8025124,-0.2576086,0.72567254,0.18746646,0.5359271,0.89272237,-0.2482652,-0.48102885,0.6008415,-0.36120343
COL16A1,0.8656668,-0.256267,0.72724664,0.6335455,0.6516152,1.5054666,0.6410017,0.07773216,-0.18671823,0.2155093,0.14069104,0.5098605,-0.078392565,0.08600378,0.48650494,0.35880643,-0.17514336,-0.14648288,0.16439912,0.5741252,-0.27553838,0.47099003,-0.27926314,0.3320785,-0.18072468,-0.2897929,-0.19635254,0.28793508,0.4129775,0.658586,0.10518655,0.38693976,0.10590739,0.20022488,1.0982718,0.21255189,-0.21972156,0.006519586,-0.17460626,0.11112441,1.1682595,0.2654584,0.32239118,-0.10149747,0.44981432,-0.31436646,0.6722349,-0.003415227,-0.6154497,-0.17955917,0.8108432,0.36775884,0.18126535,-0.18833965,0.68310547,-0.25076836,0.64242905,0.12375206,0.4548188,0.75919724,-0.19091624,-0.48356247,0.75513136,-0.3628862
COL17A1,1.2125876,-0.3574419,1.1200228,0.6149834,0.69066983,1.7819189,0.99508965,0.19506964,-0.32215428,0.6314201,0.22671063,0.7657626,-0.16009426,0.43277857,0.61782014,0.6719635,-0.008500516,-0.4267493,0.7655058,0.56276655,-0.36445874,0.57346636,-0.26470292,0.31694168,-0.4505111,-0.21352583,-0.4094174,0.3460488,0.25147745,0.7446305,0.015862554,0.1536555,0.2847937,0.37371948,1.3965633,0.33767214,-0.3364368,-0.057597756,-0.32266092,0.004221961,1.0508337,0.4140399,0.12353392,-0.28300327,0.48549598,-0.4376886,0.9998119,-0.093831,-0.6591735,-0.2666092,0.9327959,0.45574117,0.32057646,-0.06247717,0.8885981,-0.42379814,0.68435895,0.0541341,0.49470997,0.98625445,-0.3592084,-0.63023806,0.76483643,-0.4727884
COL18A1,0.8834535,-0.14182347,0.9369705,0.5717846,0.6184274,1.4876719,0.7131862,0.22399813,-0.21043295,0.46706456,0.2590853,0.6144491,-0.048380136,0.28711438,0.3551307,0.39272097,-0.14043248,-0.22305495,0.298601,0.38991117,-0.30494756,0.599991,-0.122131705,0.15919,-0.16517794,-0.2886426,-0.29079026,0.19164181,0.52449954,0.60043037,-0.075140655,0.1689178,0.10488351,0.31201681,1.0908037,0.33771282,-0.20523357,-0.1579895,-0.27840757,0.22828072,0.94538915,0.3745913,0.2927744,-0.23242354,0.25425428,-0.27116013,0.9299402,0.13850568,-0.6007725,-0.049871206,0.73879296,0.222135,0.026425183,-0.18722808,0.5858577,-0.31126404,0.5815244,-0.061506152,0.26801735,0.81981826,-0.25152057,-0.5379685,0.6230933,-0.39809722
COL1A1,0.75400525,-0.087251365,0.57620597,0.8636961,0.6561627,1.5033433,0.6047441,-0.08278358,-0.009442031,0.0848894,0.13153277,0.26820484,-0.20802683,0.07981387,0.76473266,0.4869155,0.14546894,0.0029548258,0.16748244,0.68239796,-0.0017590523,0.04482431,-0.36294752,0.49050668,-0.109687984,-0.15767878,0.06352568,0.46440932,0.07650478,0.81185424,-0.1690287,0.34097105,0.20193419,0.25652692,1.1190757,-0.059815526,-0.28551513,0.16814025,-0.13949317,-0.23721766,1.2771282,0.13447666,0.22921136,-0.026874483,0.63818157,-0.39059854,0.6900247,-0.1413669,-0.64324594,-0.3283875,0.97367245,0.5674356,0.34732682,-0.023823738,0.8057596,-0.033344567,0.8753339,0.38282022,0.69687676,0.87064934,-0.12129605,-0.32591826,0.46507066,-0.18595892
COL1A2,0.66942596,-0.080145895,0.47012106,0.8880389,0.74156994,1.5500921,0.4891706,-0.18409687,0.044667244,-0.08044523,-0.013601184,0.16054687,-0.11501628,-0.08861947,0.76927066,0.36694476,0.057673927,0.097848095,-0.00077855587,0.74288535,-0.017525017,0.046978846,-0.43796158,0.5841415,-0.080700934,-0.28733474,0.10912892,0.54218346,0.12102187,0.7871541,-0.04854524,0.53694314,0.088653594,0.17265096,1.0475705,-0.1673451,-0.2868634,0.14944443,-0.043424726,-0.19748694,1.4316134,-0.03787613,0.376863,0.06710469,0.72111076,-0.38987988,0.6282468,-0.060131013,-0.64362955,-0.34668553,1.0070674,0.4836504,0.32549348,-0.1609053,0.7354255,0.017547652,0.8670813,0.43539107,0.77178556,0.84656906,-0.06506747,-0.2990529,0.621918,-0.20293844
COL21A1,0.17517874,0.15542765,0.14394781,0.845776,1.0542153,1.4084644,0.055011973,-0.40327138,0.3433652,-0.35762632,-0.46119678,-0.25467664,0.4346913,-0.4369225,0.65533906,0.047222152,-0.182145,0.4047218,-0.31925118,0.34004018,0.095250174,0.07645805,-0.48016304,0.8197298,0.08182417,-0.5615516,0.33810696,0.6927007,0.25270176,0.5125327,0.22215211,0.95592105,-0.3005215,-0.23232281,0.49294728,-0.34709424,-0.005056083,-0.12051171,0.44081405,0.101342075,1.4848974,-0.47521478,0.8140595,0.48891282,0.83839357,-0.20900589,0.25115368,0.45885715,-0.5667607,-0.28709006,1.0000212,-0.12945896,0.30963358,-0.4991228,0.13110635,0.26660347,0.5375466,0.5151773,0.74151057,0.40611285,0.3705147,-0.15348399,1.1009383,-0.15097266
COL22A1,1.0609268,-0.31600213,0.9554869,0.6247935,0.73252803,1.6825156,0.80165637,0.1356866,-0.28782552,0.40495485,0.18669876,0.6684202,-0.09039867,0.2721042,0.5860953,0.4847257,-0.09381813,-0.28719878,0.39372092,0.6135344,-0.32620543,0.55575556,-0.31055743,0.35871735,-0.3230434,-0.27478218,-0.3038367,0.29184014,0.36353725,0.71317464,0.096651256,0.3239839,0.255809,0.31792128,1.2372196,0.25047493,-0.30071455,-0.040406346,-0.21429372,0.04128261,1.1874915,0.33568752,0.26336274,-0.19776636,0.47186273,-0.4043578,0.8703283,-0.020305276,-0.6444539,-0.22451884,0.86397636,0.4186681,0.2104176,-0.16179568,0.78703904,-0.34506297,0.69663996,0.12507795,0.46246234,0.9210186,-0.30001897,-0.5814639,0.7719975,-0.4597957
COL27A1,1.2474835,-0.05803436,1.2354498,0.812327,0.7681288,1.8970637,1.017546,0.22641516,-0.24961764,0.75561756,0.33187318,0.7477743,-0.17086083,0.64842814,0.6449269,0.6866205,0.14365053,-0.38606364,0.75332546,0.4335943,-0.26737148,0.5027145,-0.1987232,0.27525902,-0.3424257,-0.23184139,-0.3668539,0.34813088,0.33919528,0.8194951,-0.29851663,0.038683772,0.25795954,0.5571017,1.5170459,0.28216586,-0.3645267,-0.1871618,-0.34936756,-0.01702571,1.020201,0.40502554,0.20100427,-0.29965967,0.42395005,-0.43613565,1.3255484,0.0923073,-0.6604723,-0.22829586,1.0230142,0.35643893,0.17559654,-0.091439724,0.8959925,-0.36657912,0.8385782,0.01900731,0.44160047,1.185437,-0.36637717,-0.6244418,0.5519563,-0.4291898
COL28A1,0.9640256,-0.16407138,0.8661035,0.7932327,0.8598602,1.75756,0.7402804,-0.050938725,-0.1714198,0.3357644,0.005678054,0.4413451,-0.01986283,0.26187354,0.75273556,0.5235355,0.09678462,-0.23487204,0.4116192,0.50320244,-0.16998023,0.3030879,-0.38041085,0.5246324,-0.31635314,-0.3117273,-0.19594264,0.46321967,0.18990606,0.75132877,-0.067736864,0.38730434,0.1891007,0.31375337,1.2108874,-0.0015393496,-0.32658875,-0.082288146,-0.09870589,-0.11017841,1.2279385,0.041339487,0.34540877,-0.07920134,0.6220261,-0.44218677,0.9370239,0.10060787,-0.6456214,-0.33181566,1.0311986,0.31586674,0.29821247,-0.19767821,0.73765475,-0.23230547,0.78867567,0.27118123,0.61464155,0.9664254,-0.21721607,-0.5477067,0.7550996,-0.38668376
COL2A1,0.27363917,0.017526805,0.32425892,0.72208166,1.024421,1.3780663,0.15443628,-0.26588923,0.19387507,-0.25294656,-0.33026868,-0.05254835,0.42707592,-0.38044733,0.5146425,0.027253896,-0.28264743,0.26742738,-0.28316945,0.3668391,-0.10535121,0.3052991,-0.41779518,0.67027,0.06611274,-0.5461675,0.15828541,0.54914486,0.41979435,0.50103337,0.3396647,0.8846245,-0.23985773,-0.13459682,0.5153846,-0.18868029,0.025628492,-0.17567807,0.3110696,0.2565574,1.4325556,-0.31627423,0.7388495,0.29827657,0.6903739,-0.15721959,0.29687202,0.39828166,-0.578624,-0.17250663,0.8795086,-0.069114745,0.22305873,-0.46508217,0.13421461,0.10349836,0.4524085,0.35880432,0.5768639,0.4659595,0.22081055,-0.2361654,1.070954,-0.25029558
COL3A1,0.98246247,-0.0145792365,0.95768803,0.8207823,0.63292414,1.5609009,0.7495382,0.23931831,-0.13744855,0.43605536,0.39951122,0.58479875,-0.24528998,0.49141124,0.50392926,0.4783794,0.10196774,-0.1561482,0.31193814,0.47317204,-0.14110845,0.25119478,-0.13593674,0.20253469,-0.02024293,-0.19813246,-0.18047494,0.2029997,0.34068632,0.73010254,-0.3296321,0.05515793,0.20922002,0.4856664,1.2885848,0.22217128,-0.32724673,-0.049007654,-0.3080259,-0.05511278,1.0367829,0.40834895,0.18821824,-0.24138564,0.3077956,-0.30787116,1.0706685,-0.0023970604,-0.6243789,-0.14469332,0.8505292,0.41343397,0.060992062,-0.0354262,0.7597172,-0.19132662,0.8638951,0.07576911,0.36333045,1.0328318,-0.29607022,-0.444301,0.3241152,-0.23481268
COL4A1,1.1375309,-0.303065,1.0734862,0.54362,0.6135105,1.6052775,0.87957716,0.27605438,-0.3265487,0.5951343,0.30202806,0.79082984,-0.15165639,0.44326422,0.4563701,0.5175827,-0.10288727,-0.36837816,0.55276936,0.51891786,-0.377662,0.6344806,-0.19134498,0.1869264,-0.33774823,-0.24106574,-0.40222615,0.18611854,0.41418564,0.6438217,-0.0032128096,0.12150495,0.25342864,0.3781537,1.2888069,0.39937454,-0.29331005,-0.10451996,-0.3258993,0.12278385,0.9621531,0.4784602,0.18289708,-0.29531205,0.3209072,-0.36761189,0.9613718,-0.0146873,-0.6082914,-0.1438508,0.7697742,0.38412553,0.1403406,-0.12636262,0.79081863,-0.4135549,0.6271031,-0.043806255,0.32126635,0.9162641,-0.36474138,-0.60744214,0.65853834,-0.46916932
COL4A2,1.0303807,-0.24538255,1.0818623,0.47435257,0.62868756,1.4905368,0.78626543,0.32174677,-0.31401092,0.61660737,0.2815435,0.78204787,-0.05171746,0.44522357,0.32122615,0.4271754,-0.16416514,-0.35289586,0.47812468,0.3539148,-0.38819313,0.70605206,-0.10532296,0.110263154,-0.27402055,-0.29876298,-0.41254216,0.116488785,0.52621853,0.5395258,-0.0046669245,0.09653953,0.16339184,0.35372734,1.151723,0.4435713,-0.23449361,-0.20618963,-0.31075573,0.26243743,0.8416096,0.45690042,0.24747726,-0.3001454,0.2068505,-0.28729063,0.95972097,0.12444021,-0.5697636,-0.032390237,0.673805,0.20022355,0.03506893,-0.1971317,0.6199483,-0.40667355,0.5160588,-0.1256237,0.19000944,0.8340255,-0.3432635,-0.60214627,0.6559993,-0.46564847
COL4A3,0.42769548,0.06274077,0.440535,0.8037274,0.8997418,1.5306065,0.3543492,-0.2702796,0.12081236,-0.09348965,-0.30028534,-0.0046476126,0.29237288,-0.22889984,0.65171295,0.28449547,-0.08512533,0.11261974,-0.029741228,0.386272,-0.041258514,0.25494647,-0.4089713,0.63934463,-0.12062466,-0.44261664,0.12753922,0.59921926,0.27616996,0.63604176,0.07064456,0.6938055,-0.111257195,-0.03836721,0.72903955,-0.20826286,-0.046227813,-0.15407884,0.16385247,0.10848585,1.3257234,-0.28323662,0.6287774,0.23666933,0.6901654,-0.31083828,0.5529208,0.3214568,-0.6157547,-0.2392301,1.0069735,0.0024483167,0.2922524,-0.3822778,0.3738197,0.055482194,0.5823377,0.36413485,0.6221502,0.6225136,0.17553031,-0.37293363,0.92173076,-0.30359495
COL4A4,0.99551415,-0.2655629,0.96036345,0.60214174,0.61294043,1.5886301,0.85775465,0.15759543,-0.28102988,0.5217973,0.22504647,0.6358689,-0.095680356,0.32357034,0.5544009,0.588599,-0.025704503,-0.32788295,0.52543557,0.4933381,-0.29838347,0.56019396,-0.21344846,0.26775828,-0.34680027,-0.16205114,-0.28801453,0.27659336,0.34447768,0.72420794,-0.036521733,0.18117577,0.28734723,0.34445265,1.1930133,0.27619284,-0.21980625,-0.089521706,-0.2711658,0.071917206,0.99216676,0.37151283,0.18939298,-0.22128665,0.38165513,-0.3950507,0.9093734,-0.02150309,-0.64417285,-0.16601795,0.8402932,0.38246006,0.21565971,-0.07483411,0.77760273,-0.34498483,0.62211275,0.06615889,0.38380402,0.89461184,-0.25657576,-0.5901685,0.6283125,-0.46258736
COL4A5,1.2611351,-0.2870971,1.1268549,0.43211082,0.4727756,1.5577964,0.9226751,0.3839427,-0.38744164,0.72486496,0.38262016,0.912793,-0.20088041,0.5949186,0.33975813,0.46509856,-0.13079512,-0.38746834,0.55370224,0.4998926,-0.41042912,0.7330274,-0.12740433,0.06404176,-0.34632337,-0.24239749,-0.46517986,0.03887786,0.5170038,0.5320945,-0.060854793,0.0025296658,0.2971209,0.4035928,1.3339516,0.5068794,-0.3156823,-0.10851604,-0.36910403,0.1829318,0.792538,0.5897765,0.19212279,-0.34302294,0.17558312,-0.37683332,1.0677613,0.06711577,-0.5492492,-0.099231005,0.6615722,0.34902504,-0.021148086,-0.16829401,0.8044805,-0.47618538,0.59378326,-0.16289854,0.18738854,0.886801,-0.43126798,-0.65971404,0.6417885,-0.5102888
COL4A6,0.3274403,0.1223388,0.34374464,0.83943075,0.95610714,1.4996347,0.25087595,-0.32845104,0.19789787,-0.1827609,-0.37258232,-0.1079303,0.36330134,-0.31030095,0.67417043,0.23486014,-0.106737375,0.20379512,-0.11721158,0.34386525,0.018662289,0.18782157,-0.43678927,0.69783145,-0.064294934,-0.4812525,0.21017657,0.6417973,0.2528636,0.60767376,0.09625864,0.7785438,-0.18252861,-0.12074214,0.63106644,-0.264641,0.010093883,-0.15839344,0.26508227,0.103436545,1.3757613,-0.36886728,0.7051649,0.3320021,0.7493383,-0.28440613,0.45444176,0.38346335,-0.60440403,-0.2514934,1.0326029,-0.0670439,0.32317236,-0.42496103,0.2860677,0.14262229,0.55777615,0.4238048,0.65980625,0.5395969,0.2663534,-0.30964243,0.98322767,-0.25558406
COL5A1,0.95312047,-0.20343882,0.8244135,0.6689601,0.6299391,1.5320435,0.6926511,0.14822683,-0.20235044,0.3182719,0.24178094,0.5842664,-0.15446383,0.2494916,0.48791727,0.38975757,-0.10638726,-0.17932671,0.23730335,0.5781365,-0.26269156,0.4333517,-0.24806398,0.27882445,-0.16317576,-0.2667718,-0.23611903,0.2468418,0.39636472,0.6723006,-0.036589444,0.268833,0.15536627,0.30423743,1.1975427,0.24034756,-0.27907115,-0.005116105,-0.23586363,0.05399452,1.1137352,0.34607944,0.28105342,-0.17402107,0.40521201,-0.32622832,0.81215054,-0.018279374,-0.6045982,-0.17691892,0.8149267,0.40380347,0.14071822,-0.15476996,0.7464747,-0.2654158,0.7109982,0.08759603,0.4270195,0.8599594,-0.2649507,-0.4937895,0.62875044,-0.35072738
COL5A2,0.95212644,-0.29784393,0.82749283,0.7609211,0.69347095,1.6444664,0.82449675,0.05694214,-0.17001015,0.30264384,0.24613301,0.52182585,-0.21481556,0.1592026,0.7199621,0.60379404,0.035852775,-0.23163128,0.44083244,0.7267001,-0.22206438,0.31102452,-0.3227129,0.4217428,-0.2849385,-0.13941199,-0.18099952,0.43386477,0.15545484,0.8517723,0.0023775548,0.29099047,0.27671427,0.33208656,1.2693486,0.16102049,-0.30454743,0.11512518,-0.2513289,-0.14032179,1.2713605,0.34660122,0.11448381,-0.17907977,0.60232854,-0.40086907,0.75397485,-0.22302455,-0.6850132,-0.29543114,0.9651388,0.65955716,0.40278947,0.044523083,0.8852845,-0.2409023,0.7897942,0.25941488,0.6503832,0.9548706,-0.24181944,-0.4566676,0.58908916,-0.32708997
COL5A3,0.8884596,-0.27435696,0.8483746,0.5752528,0.69610304,1.4800274,0.73411113,0.095346875,-0.21423376,0.38340685,0.13337536,0.5182182,-0.04569459,0.22597939,0.5457246,0.47707683,-0.04832244,-0.25942862,0.40557015,0.44822386,-0.25469846,0.45865935,-0.23832506,0.3643171,-0.29659033,-0.2334817,-0.22877043,0.3083281,0.28934956,0.64787483,0.05779387,0.27280375,0.20771973,0.28151852,1.0774314,0.19487,-0.24366534,-0.07379371,-0.17761505,0.03666359,1.01661,0.2534329,0.2041622,-0.15166634,0.43581912,-0.34537268,0.76078206,-0.0018929243,-0.61889935,-0.20868623,0.7911938,0.34017846,0.23162153,-0.119698405,0.6508449,-0.29047745,0.5999906,0.1400956,0.42862803,0.805213,-0.21334255,-0.5204872,0.6724606,-0.4048559
COL6A1,1.0025023,-0.2308144,0.9168712,0.8003308,0.6628903,1.6714592,0.8592173,0.12453573,-0.17283422,0.39516127,0.3318482,0.566741,-0.25514275,0.2919018,0.6819407,0.62075186,0.07821376,-0.24742621,0.4647734,0.660401,-0.22008198,0.29995108,-0.27036667,0.3282494,-0.23497039,-0.12923485,-0.21650124,0.37324613,0.19999637,0.86105204,-0.14798576,0.17081836,0.2630573,0.41678718,1.3454655,0.20265886,-0.32739383,0.051102914,-0.3123836,-0.1358357,1.1979346,0.3928622,0.10198364,-0.2311601,0.51685524,-0.39245975,0.9065869,-0.18684137,-0.681048,-0.2706312,0.96471924,0.62709236,0.3187319,0.06261568,0.8946849,-0.25703746,0.84769243,0.17428389,0.5815053,1.025377,-0.2816738,-0.46903807,0.48775423,-0.3044055
COL6A2,0.8978624,-0.23445982,0.79581463,0.7689042,0.68216753,1.5986077,0.75711524,0.05025883,-0.14024633,0.28430548,0.22217041,0.4777251,-0.19126666,0.1650001,0.67762685,0.55024225,0.028881665,-0.19279718,0.36169744,0.652435,-0.20306075,0.285025,-0.31164426,0.38802445,-0.22585487,-0.18126905,-0.16938049,0.40607506,0.19022016,0.8047149,-0.058594584,0.27541333,0.21115367,0.31699932,1.216079,0.14036137,-0.28936255,0.06295554,-0.23905098,-0.116169274,1.2199805,0.28948787,0.16841364,-0.16376019,0.5601868,-0.37758613,0.77112854,-0.1510821,-0.6631648,-0.27762818,0.9442172,0.56780255,0.34131837,-0.013017654,0.81539154,-0.21959537,0.77863705,0.22498271,0.6070819,0.91758376,-0.22709906,-0.44069755,0.56842357,-0.29997587
COL6A3,0.9900151,-0.24598193,0.91630834,0.7362428,0.6418513,1.6291038,0.8474945,0.14811325,-0.1919024,0.40662932,0.3282507,0.5884728,-0.23055017,0.27727968,0.62121075,0.5836097,0.021480545,-0.25882512,0.4503357,0.63780665,-0.25667888,0.37469837,-0.25119573,0.29906303,-0.24460185,-0.1456728,-0.24420094,0.34165138,0.25390178,0.8194403,-0.09729785,0.17451894,0.24909979,0.39839754,1.3039196,0.24203427,-0.30970174,0.026269563,-0.31101435,-0.07501346,1.1510906,0.41229367,0.10975231,-0.23740566,0.47715923,-0.3766727,0.8797791,-0.16642642,-0.66951776,-0.23992795,0.91274047,0.5883999,0.28198954,0.034376625,0.8538133,-0.28317082,0.7821872,0.12960117,0.53102285,0.9834256,-0.28384376,-0.4835747,0.52197134,-0.3326525
