master_regulator,cascade_size,mean_embedding_shift,max_embedding_shift,threshold_used
Kng1,137,0.7176558971405029,3.7108631134033203,0.827059805393219
Plxna1,137,0.7177722454071045,3.6682486534118652,0.8267522752285004
Sulf2,137,0.7184768915176392,3.6994762420654297,0.8255919814109802
Lman1,137,0.7172873020172119,3.664365530014038,0.8267522752285004
Hapln2,137,0.8202584385871887,4.812058448791504,1.0003007650375366
SFTPC,137,0.7149195075035095,3.6996920108795166,0.8264658451080322
TGFB2,137,0.7189670205116272,3.6996920108795166,0.8274061381816864
CRLF3,137,0.7192680835723877,3.6996920108795166,0.8275163471698761
HCFC2,137,0.7189563512802124,3.6996920108795166,0.8274023532867432
EMID1,137,0.7148556709289551,3.6996920108795166,0.8254878222942352
