Gene_Upper,Zscore_Delta_human,Zscore_Old_human,Zscore_Young_human,Zscore_Delta_mouse,Zscore_Old_mouse,Zscore_Young_mouse
SERPINA6,1.9633177270478752,0.8354793954940831,-1.1278383315537923,-0.2492520916410496,2.1771386247272657,2.4263907163683154
ELN,1.5146967216345977,1.165738277273786,-0.3489584443608118,0.1000222661371798,-0.5862424709041275,-0.6862647370413073
HPX,1.5096337114795673,1.2216057574595014,-0.2880279540200658,0.0574379016692012,0.6686394637937859,0.6112015621245847
VTN,1.18184154195977,1.0461153968243837,-0.1357261451353865,0.3043482936641918,0.0991281580101258,-0.205220135654066
KNG1,0.9996591427216076,1.2674290026751764,0.2677698599535689,0.0071964321159914,1.5051740322868483,1.4979776001708571
SERPING1,0.9415608132618096,0.7527338415160698,-0.1888269717457399,-0.008658162149052,1.4433357033497347,1.4519938654987867
SERPINA10,0.9571975030054732,-1.4315019552604202,-2.3886994582658936,0.2420233350990352,-1.1588456949495896,-1.4008690300486248
CPN2,0.903827037532018,-0.2402868098612169,-1.1441138473932349,0.0156290632140334,1.431770868218292,1.4161418050042585
SERPINF1,0.8351991244931934,1.1587451387419727,0.3235460142487792,-0.1700859549236735,0.2916583279487795,0.461744282872453
SERPINE2,0.8487876773978005,0.6706021119121578,-0.1781855654856427,0.4528687315827632,-0.1271437127850374,-0.5800124443678006
SERPINC1,0.8594336702945197,0.3911208600584006,-0.4683128102361191,0.140641718562458,0.7775676097410705,0.6369258911786125
BGN,0.8209965788521635,0.7454213333891266,-0.0755752454630368,0.0669989218429387,0.798661715879895,0.7316627940369562
S100A10,0.6970670375844872,2.0903340888231083,1.3932670512386212,-0.1328523828939398,1.170664163601903,1.303516546495843
FGB,0.7531559820111289,0.6641910629309957,-0.0889649190801332,-0.2872962133647567,0.1135324769280774,0.4008286902928342
ADIPOQ,0.6218959538277461,0.6040004457848627,-0.0178955080428834,-0.1069368086464974,1.3175113061205936,1.424448114767091
FGG,0.55213664417412,1.620965949057144,1.068829304883024,-0.0810061670527579,0.579353006927572,0.66035917398033
SERPIND1,0.6131491723514759,-0.0428384698822671,-0.6559876422337431,0.0498677100067492,0.3744514891946909,0.3245837791879417
ITIH4,0.5687766722020848,0.80881197739663,0.2400353051945452,0.3908484520040696,0.8165218627391901,0.4256734107351205
ANGPTL2,0.6225232963692325,-0.9425366113244092,-1.5650599076936418,0.7107643847209542,1.4216559691724084,0.7108915844514543
F10,0.5860133182310887,-0.2949465793274414,-0.8809598975585301,0.1740141543473663,-0.0580296979797053,-0.2320438523270716
POSTN,0.5517865839000005,0.2894237287136126,-0.2623628551863878,-0.0169618667735784,1.1760492589208882,1.1930111256944669
CTSD,0.5291763145306956,0.7811250864512854,0.2519487719205898,0.2025953434162297,1.0196232837003114,0.8170279402840817
