TIMP,Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Measurements,N_Tissues,N_Studies,Pct_Decreasing,Pct_Increasing,Max_Increase,Max_Decrease
TIMP1,0.11001416583704082,0.30312062219233,0.31976594187075374,5,5,2,40.0,60.0,0.3705892444748734,-0.2661248509791037
TIMP2,-0.04418391496097246,-0.0824415603284977,0.08238392239537384,3,3,1,0.0,0.0,0.0503728541183171,-0.1004830386727368
TIMP3,0.9380965928302631,0.907393033140784,1.1440862706526882,7,7,4,14.285714285714285,71.42857142857143,3.141208179502989,-0.5376416720368191
