,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ASPN,0.02750697,0.0,0.0,0.05410953,0.097361356,0.056169838,0.09080098,0.0,0.06539572,0.06159947,0.0,0.08623161,0.10281815,0.12192417,0.13596903,0.0,0.0,0.03546328,0.0,0.0,0.020187754,0.0,0.11301024,0.0,0.028668156,0.0,0.07744352,0.0026090108,0.014582586,0.0,0.0,0.016743178
Adam10,0.03704522,0.0,0.010618707,0.07094482,0.0863364,0.07209257,0.0962446,0.0,0.07885161,0.05883935,0.0,0.085322194,0.12326866,0.1570765,0.17183416,0.0,0.0,0.0321948,0.0,0.0,0.03227122,0.0,0.11882299,0.0,0.038853176,0.0,0.081468716,0.009920789,0.012044666,0.0,0.0,0.029450208
Adam9,0.039031997,0.0,0.004084319,0.08409442,0.07243761,0.060880266,0.09268264,0.0,0.067285694,0.063886136,0.0,0.08166037,0.12183945,0.15866354,0.15259121,0.0,0.0,0.022933183,0.0,0.0,0.029553674,0.0,0.13015716,0.0,0.046305493,0.0,0.067731835,0.008177001,0.0,0.0,0.0,0.029195987
Adipoq,0.054199655,0.0,0.026465671,0.05562534,0.12962581,0.11522144,0.13509947,0.0,0.11353149,0.040161934,0.0,0.120106146,0.13582456,0.20467995,0.24925756,0.0,0.0,0.07276206,0.004274183,0.0,0.056303196,0.0,0.103704855,0.011158515,0.025255298,0.0,0.10034095,0.037217386,0.040065866,0.0,0.0,0.015340236
Aebp1,0.036698904,0.0,0.0,0.054400615,0.07084257,0.054769076,0.07457337,0.0,0.05792046,0.049469482,0.0,0.066739425,0.096026,0.11972404,0.11234617,0.0,0.002079336,0.035631314,0.0,0.0,0.024113074,0.0,0.09498113,0.0,0.018959315,0.0,0.051103532,0.020318693,0.0,0.0,0.0,0.020377614
Agrn,0.042634156,0.0,0.0,0.092077516,0.08102888,0.06725713,0.10296974,0.0,0.07101061,0.07154159,0.0,0.08999213,0.13872609,0.172951,0.1646466,0.0,0.0,0.028139481,0.0,0.0,0.03270313,0.0,0.14926493,0.0,0.047474384,0.0,0.072664484,0.01811681,0.0,0.0,0.0,0.032200217
Agt,0.03964708,0.0,0.010569081,0.089532904,0.079059824,0.066893384,0.10322261,0.0,0.07039292,0.06481426,0.0,0.09038654,0.1268111,0.16959976,0.16912818,0.0,0.0,0.027684217,0.0,0.0,0.032323226,0.0,0.13503943,0.0,0.047253028,0.0,0.07392089,0.010307353,0.0,0.0,0.0,0.029254802
Ambp,0.055995386,0.0,0.020482074,0.056263644,0.1296478,0.11231098,0.13471349,0.0,0.10980825,0.042015415,0.0,0.1209586,0.13383716,0.2026664,0.2402051,0.0,0.0011819368,0.0745289,0.0073357774,0.0,0.05643464,0.0,0.10616133,0.0121723935,0.023036757,0.0,0.09408304,0.04068122,0.033702027,0.0,0.0,0.011913709
Angptl2,0.052154545,0.0,0.0,0.06722953,0.10367541,0.08394925,0.10777653,0.0,0.089146584,0.0607771,0.0,0.09578407,0.13672641,0.17746918,0.180081,0.0,0.0,0.05221326,0.0008045817,0.0,0.04213422,0.0,0.12747452,0.0012649512,0.03091217,0.0,0.07581254,0.033220217,0.0024367608,0.0,0.0,0.023051959
Angptl7,0.050924215,0.0,0.022380373,0.053430256,0.12262024,0.10801597,0.12709233,0.0,0.10758971,0.038910333,0.0,0.11235935,0.12908523,0.19372159,0.23286963,0.0,0.0,0.0672455,0.0029557105,0.0,0.052665845,0.0,0.09766903,0.009849399,0.024057617,0.0,0.09518104,0.032346636,0.036032993,0.0,0.0,0.017518442
Anxa1,0.051426258,0.0,0.0,0.08976836,0.11847586,0.09610641,0.12245985,0.0,0.09906507,0.07816441,0.0,0.108180106,0.16753156,0.21097171,0.20344444,0.0,0.0,0.049496632,0.0,0.0,0.048306484,0.0,0.15709595,0.0,0.04676462,0.0,0.08975484,0.03447304,0.005094623,0.0,0.0,0.042993825
Anxa11,0.048386157,0.0,0.0,0.09404817,0.106469974,0.07915787,0.103611134,0.0,0.08385371,0.09071514,0.0,0.094455935,0.16400513,0.1922926,0.16029339,0.0,0.0,0.04025374,0.0,0.0,0.041113216,0.0,0.16879754,0.0,0.04954713,0.0,0.072503515,0.03382516,0.0,0.0,0.0,0.045542642
Anxa2,0.054973252,0.0,0.019948544,0.07062252,0.12418956,0.10956713,0.13719018,0.0,0.10738929,0.050544087,0.0,0.12104984,0.14336099,0.21291175,0.24125458,0.0,0.0,0.066581815,0.005876855,0.0,0.055663735,0.0,0.1215665,0.006741954,0.03280443,0.0,0.095458634,0.036391735,0.026634749,0.0,0.0,0.019639052
Anxa3,0.03964708,0.0,0.010569079,0.089532904,0.079059824,0.066893384,0.10322259,0.0,0.07039292,0.06481426,0.0,0.09038654,0.1268111,0.16959976,0.16912818,0.0,0.0,0.027684217,0.0,0.0,0.032323226,0.0,0.13503943,0.0,0.047253028,0.0,0.07392088,0.010307353,0.0,0.0,0.0,0.029254802
Anxa4,0.040200345,0.0,0.0010239631,0.095908344,0.07905247,0.06598053,0.102106534,0.0,0.06786165,0.071788885,0.0,0.08989796,0.13549002,0.17284471,0.16135603,0.0,0.0,0.02606388,0.0,0.0,0.031712186,0.0,0.14782774,0.0,0.050132237,0.0,0.070620954,0.014185639,0.0,0.0,0.0,0.03386858
Anxa5,0.042653035,0.0,0.0034767045,0.084466346,0.09320313,0.078982696,0.11122597,0.0,0.08109659,0.065193094,0.0,0.09676885,0.14101787,0.17944995,0.18447848,0.0,0.0,0.037174605,0.0,0.0,0.037333205,0.0,0.13973364,0.0,0.041382566,0.0,0.082614,0.021262677,0.0069519226,0.0,0.0,0.033368252
Anxa6,0.04619842,0.0,0.0,0.08609571,0.09438235,0.07064794,0.0923953,0.0,0.07834611,0.08337347,0.0,0.084016375,0.14892216,0.17530857,0.14356762,0.0,0.0,0.03529655,0.0,0.0,0.03657909,0.0,0.15361097,0.0,0.04558427,0.0,0.06548862,0.02634021,0.0,0.0,0.0,0.04375301
Anxa7,0.04757851,0.0,0.0,0.09243033,0.103961915,0.07795215,0.10155755,0.0,0.082352236,0.0884777,0.0,0.09268897,0.16004145,0.18886986,0.1578517,0.0,0.0,0.03955486,0.0,0.0,0.040122643,0.0,0.16465543,0.0,0.04877358,0.0,0.07103472,0.03240659,0.0,0.0,0.0,0.044750042
Aspn,0.052831,0.0,0.025101459,0.05797947,0.12132529,0.10880425,0.13009235,0.0,0.10807081,0.039464727,0.0,0.11472011,0.13184707,0.19938123,0.2387647,0.0,0.0,0.066462845,0.0034362124,0.0,0.05316546,0.0,0.10246311,0.009435436,0.026928699,0.0,0.09591947,0.032256342,0.035685334,0.0,0.0,0.017424034
BCAN,0.032278914,0.0,0.0069867857,0.06476339,0.1077908,0.06825449,0.107063666,0.0,0.07488958,0.06824231,0.0,0.10168938,0.11801032,0.14396447,0.17013182,0.0,0.0,0.039740007,0.0,0.0,0.024312362,0.0,0.12599428,0.0,0.037197024,0.0,0.08841332,0.007080583,0.025471065,0.0,0.0,0.016466727
BGN,0.02664699,0.0,0.0,0.055260625,0.104340345,0.06224148,0.095791094,0.0,0.068649076,0.06501342,0.0,0.09060189,0.11086745,0.12650537,0.14777617,0.0,0.0,0.038405746,0.0,0.0,0.021742314,0.0,0.11583631,0.0,0.027383583,0.0,0.08461475,0.0074565243,0.02169568,0.0,0.0,0.019063346
BMP1,0.03254227,0.0,0.0065754373,0.06531717,0.10859016,0.06852914,0.107869774,0.0,0.07536524,0.06894305,0.0,0.10237119,0.11903707,0.14520238,0.17089786,0.0,0.0,0.040099293,0.0,0.0,0.024674386,0.0,0.12747407,0.0,0.037505724,0.0,0.08877095,0.007423915,0.025152031,0.0,0.0,0.016410863
BMP3,0.0316225,0.0,0.0011193417,0.06566817,0.10101856,0.06330748,0.10225686,0.0,0.069340535,0.06845938,0.0,0.095971435,0.11586045,0.14041448,0.15576,0.0,0.0,0.036559217,0.00075055845,0.0,0.023301959,0.0,0.12679091,0.0,0.03632027,0.0,0.08126689,0.005982589,0.017041719,0.0,0.0,0.018542022
BMP6,0.030061994,0.0,0.0,0.06419353,0.091457225,0.057307176,0.094778575,0.0,0.06301399,0.065388635,0.0,0.08791438,0.10942984,0.1323106,0.14159045,0.0,0.0,0.03223786,0.0,0.0,0.020993788,0.0,0.121984966,0.0,0.034568474,0.0,0.07310887,0.0053810365,0.008821098,0.0,0.0,0.018725242
Bgn,0.052687794,0.0,0.004187407,0.073701695,0.12966213,0.1058102,0.12621677,0.0,0.10856352,0.06788921,0.0,0.11572043,0.15736687,0.20545237,0.22366925,0.0,0.0,0.060889404,0.0032937396,0.0,0.0520395,0.0,0.14044158,0.003035698,0.03943801,0.0,0.097831234,0.035527617,0.021853529,0.0,0.0,0.02768239
C1QA,0.062001735,0.0,0.017981956,0.088581614,0.06067515,0.08597602,0.10406051,0.0,0.086842276,0.062350646,0.0,0.0894633,0.1496435,0.1878104,0.1762619,0.0,0.009857024,0.027394457,0.02469758,0.0,0.04207759,0.0,0.14934862,0.0,0.054942697,0.0,0.054974493,0.0062844213,0.0,0.0,0.0,0.02186583
C1QB,0.056418993,0.0,0.015376456,0.07815727,0.06343898,0.08247369,0.097699985,0.0,0.08521283,0.05767209,0.0,0.08469773,0.13987762,0.17279357,0.16764593,0.0,0.006440852,0.028976632,0.01984496,0.0,0.03933696,0.0,0.13756207,0.0,0.04749036,0.0,0.05697551,0.0055664424,0.0,0.0,0.0,0.02068472
C1QC,0.05929649,0.0,0.018875545,0.08453082,0.079915576,0.097080916,0.11085975,0.0,0.09840866,0.06538992,0.0,0.097293705,0.16332197,0.19282718,0.19966863,0.0,0.0,0.033847112,0.013970108,0.0,0.04450576,0.0,0.15061198,0.0,0.051060513,0.0,0.07592292,0.0133324675,0.01006937,0.0,0.0,0.027479311
C1QTNF5,0.06908636,0.0011724662,0.015119877,0.09473331,0.05369945,0.08800379,0.104176685,0.0,0.09039638,0.06451231,0.0,0.087645575,0.15975003,0.20124559,0.17455047,0.0,0.015928976,0.024143584,0.029719125,0.0,0.045251638,0.0,0.16084415,0.0,0.061472245,0.0,0.050132364,0.0034674732,0.0,0.0,0.0,0.025473155
C1QTNF7,0.028518025,0.0,0.0,0.0561768,0.06592147,0.05612123,0.07400111,0.0,0.05624415,0.05191877,0.0,0.06581949,0.10065769,0.11411166,0.12139909,0.0,0.0,0.02542618,0.0,0.0,0.020018194,0.0,0.09755439,0.0,0.024120701,0.0,0.0574017,0.009655941,0.0053921426,0.0,0.0,0.024542637
C1qa,0.05094536,0.0,0.0,0.11315043,0.10801736,0.08395281,0.11979755,0.0,0.0894725,0.09798311,0.0,0.10674242,0.1781219,0.21782424,0.18827255,0.0,0.0,0.03630821,0.0,0.0,0.04444589,0.0,0.18848419,0.0,0.063523956,0.0,0.08355696,0.02908958,0.0,0.0,0.0,0.04897322
C1qb,0.038425494,0.0,0.0026287502,0.083640814,0.07269001,0.06150322,0.09240305,0.0,0.066549435,0.06344122,0.0,0.08159317,0.12322532,0.1569822,0.15248613,0.0,0.0,0.023431145,0.0,0.0,0.029477935,0.0,0.13128479,0.0,0.044007607,0.0,0.06807797,0.008899907,0.0,0.0,0.0,0.030579032
C1qc,0.049766444,0.0,0.0,0.11243851,0.10177911,0.080071576,0.11648802,0.0,0.084273,0.09412691,0.0,0.10369293,0.1715094,0.21188872,0.1812234,0.0,0.0,0.03385573,0.0010280479,0.0,0.04288095,0.0,0.18419084,0.0,0.06191337,0.0,0.07897173,0.027086744,0.0,0.0,0.0,0.04608898
C1qtnf9,0.044357818,0.0,0.0,0.070038706,0.09330913,0.07237164,0.09740416,0.0,0.077048525,0.0644757,0.0,0.08691294,0.13427664,0.15843295,0.15671122,0.0,0.0,0.04172956,0.0,0.0,0.034368355,0.0,0.13227691,0.0,0.029178178,0.0,0.07211836,0.028834963,0.002086985,0.0,0.0,0.030019568
C7,0.03524069,0.0,0.017196063,0.060960658,0.10358893,0.078113265,0.1043859,0.0,0.08279506,0.060980804,0.0,0.098578155,0.12228375,0.14682686,0.18690658,0.0,0.0,0.039444394,0.0,0.0,0.028590191,0.0,0.11524305,0.0,0.03529153,0.0,0.09294979,0.010495078,0.03271781,0.0,0.0,0.017664872
CCL14,0.032373972,0.0,0.0069395136,0.064914264,0.10819232,0.06838936,0.107405044,0.0,0.07510797,0.068482265,0.0,0.10202572,0.11837336,0.14446247,0.17057885,0.0,0.0,0.03991887,0.0,0.0,0.024428483,0.0,0.12651776,0.0,0.037311375,0.0,0.088648446,0.007168632,0.025475528,0.0,0.0,0.01639047
CCL18,0.029227097,0.0,0.0,0.060831312,0.10891997,0.061969668,0.10292283,0.0,0.06998252,0.06808747,0.0,0.09807905,0.11269158,0.13558659,0.1528587,0.0,0.0,0.040398482,0.00030643493,0.0,0.022785883,0.0,0.1257783,0.0,0.032441564,0.0,0.085250676,0.0053570494,0.01977258,0.0,0.0,0.016486058
CCL21,0.06123146,0.00024232175,0.0077805314,0.08746617,0.05612383,0.076550506,0.0974229,0.0,0.07961043,0.06265344,0.0,0.083503224,0.14369932,0.18111831,0.15297656,0.0,0.014458309,0.025714735,0.025454145,0.0,0.038452607,0.0,0.14933065,0.0,0.053051576,0.0,0.047810066,0.0039250813,0.0,0.0,0.0,0.02511771
CD109,0.03202108,0.0,0.0038926909,0.058050934,0.10518256,0.06412788,0.10014428,0.0,0.07368605,0.06354886,0.0,0.0956898,0.11092994,0.1355482,0.15755165,0.0,0.0,0.039868966,0.001333408,0.0,0.024299368,0.0,0.12052905,0.0,0.0324642,0.0,0.0838845,0.004720508,0.021673944,0.0,0.0,0.013653005
CHAD,0.028995473,0.0,0.0,0.062870644,0.101298295,0.06054207,0.09985845,0.0,0.066548884,0.067321956,0.0,0.094194286,0.11118058,0.13408187,0.1503892,0.0,0.0,0.03662078,0.0,0.0,0.021497175,0.0,0.122645766,0.0,0.033666126,0.0,0.08091036,0.005785331,0.017632257,0.0,0.0,0.018304538
CHADL,0.032278914,0.0,0.0069867857,0.06476339,0.1077908,0.06825449,0.107063666,0.0,0.07488958,0.06824231,0.0,0.10168938,0.11801032,0.14396447,0.17013182,0.0,0.0,0.039740007,0.0,0.0,0.024312362,0.0,0.12599428,0.0,0.037197024,0.0,0.08841332,0.007080583,0.025471065,0.0,0.0,0.016466727
CHRD,0.03254227,0.0,0.0065754373,0.06531717,0.10859016,0.06852914,0.107869774,0.0,0.07536524,0.06894305,0.0,0.10237119,0.11903707,0.14520238,0.17089786,0.0,0.0,0.040099293,0.0,0.0,0.024674386,0.0,0.12747407,0.0,0.037505724,0.0,0.08877095,0.007423915,0.025152031,0.0,0.0,0.016410863
CHRDL2,0.032278914,0.0,0.0069867857,0.06476339,0.1077908,0.06825449,0.107063666,0.0,0.07488958,0.06824231,0.0,0.10168938,0.11801032,0.14396447,0.17013182,0.0,0.0,0.039740007,0.0,0.0,0.024312362,0.0,0.12599428,0.0,0.037197024,0.0,0.08841332,0.007080583,0.025471065,0.0,0.0,0.016466727
CILP,0.032261178,0.0,0.0,0.058690667,0.108241655,0.07006336,0.10363083,0.0,0.075055055,0.06340223,0.0,0.09626544,0.11766408,0.14302759,0.1604889,0.0,0.0,0.04401484,0.0,0.0,0.027940672,0.0,0.12023813,0.0,0.02889355,0.0,0.08449298,0.013818253,0.018944614,0.0,0.0,0.01944734
CILP2,0.03094842,0.0,0.0028878665,0.059880465,0.09858721,0.065054365,0.09767922,0.0,0.07117675,0.06346215,0.0,0.0917205,0.11326811,0.13396828,0.15618794,0.0,0.0,0.036663234,0.0,0.0,0.023421597,0.0,0.11743151,0.0,0.03237153,0.0,0.082027845,0.008106489,0.020331487,0.0,0.0,0.01783624
CLEC11A,0.037592325,0.0,0.0,0.07314011,0.08575308,0.062584415,0.08095052,0.0,0.06724484,0.08004022,0.0,0.07391921,0.13321611,0.14737582,0.12143849,0.0,0.0,0.026430791,0.0,0.0,0.028189346,0.0,0.13600121,0.0,0.036928713,0.0,0.058917444,0.020790366,0.0,0.0,0.0,0.03988648
CLEC3A,0.03226915,0.0,0.006714346,0.064999774,0.1085127,0.06842623,0.1075588,0.0,0.07516914,0.06870731,0.0,0.10215011,0.118659325,0.14459182,0.17062181,0.0,0.0,0.039909437,0.0,0.0,0.024467576,0.0,0.12684275,0.0,0.03733,0.0,0.08886971,0.007143697,0.025512595,0.0,0.0,0.016579865
CLEC3B,0.028378144,0.0,0.0,0.05772036,0.09564513,0.0582252,0.09396984,0.0,0.06349192,0.062153585,0.0,0.088249035,0.10447567,0.12616137,0.13964884,0.0,0.0,0.03653284,0.0,0.0,0.020829398,0.0,0.113969095,0.0,0.029169017,0.0,0.07557224,0.0062134694,0.014689345,0.0,0.0,0.017447285
COL10A1,0.030999996,0.0,0.0014527775,0.04641899,0.08578138,0.07051426,0.08150826,0.0,0.07355339,0.053340565,0.0,0.07519783,0.111744165,0.11943602,0.1479889,0.0,0.0,0.03692513,0.0,0.0,0.026030757,0.0,0.098621234,0.0,0.017284732,0.0,0.07503433,0.015630292,0.0238422,0.0,0.0,0.021297349
COL11A1,0.033939578,0.0,0.009184629,0.06417648,0.09586164,0.075390294,0.1016996,0.0,0.07635978,0.060975805,0.0,0.09339404,0.12310641,0.1465724,0.17346048,0.0,0.0,0.036976136,0.0,0.0,0.02852641,0.0,0.11777157,0.0,0.03407772,0.0,0.08373669,0.013103843,0.022644725,0.0,0.0,0.022318281
COL11A2,0.035736397,0.0,0.012789162,0.06396983,0.114395246,0.08135283,0.11364534,0.0,0.085256666,0.06521482,0.0,0.106910236,0.12812662,0.15691982,0.19310273,0.0,0.0,0.045501236,0.0,0.0,0.030736249,0.0,0.12443108,0.0,0.035850823,0.0,0.09681502,0.014259148,0.032824896,0.0,0.0,0.01869832
