Protein_Family,Gene,N_Measurements,N_Studies,N_Tissues,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Mean_PCOLCE_Delta,Mean_Target_Delta,Significant
Fibrillar_Collagens,COL1A1,6,4,6,0.7823246785142451,0.06591681295449268,0.48571428571428577,0.3287230320699709,-0.19779603870275222,-0.09888082374973435,False
Fibrillar_Collagens,COL2A1,5,3,5,0.7375464380450552,0.15489217388132343,0.7999999999999999,0.10408803866182788,-0.19860548970473507,-0.9320958447502964,False
Fibrillar_Collagens,COL3A1,6,4,6,0.831630236611503,0.04013606105246359,0.7142857142857143,0.1107871720116617,-0.19779603870275222,-0.38968943094450004,True
Fibrillar_Collagens,COL5A2,6,4,6,0.7998084865879423,0.056103461251863364,0.7142857142857143,0.1107871720116617,-0.19779603870275222,-0.43914349866491714,False
Fibrillar_Collagens,COL1A2,6,4,6,0.9336449404012828,0.006458410439060704,0.7714285714285715,0.07239650145772594,-0.19779603870275222,-0.2293681587523774,True
Fibrillar_Collagens,COL11A1,5,3,5,-0.5091369955205745,0.38095817504016644,-0.39999999999999997,0.5046315754686911,-0.19860548970473507,-0.2074253780512582,False
Fibrillar_Collagens,COL11A2,3,1,3,-0.2052855615067938,0.8683753771756078,-0.5,0.6666666666666667,-0.3484987850627568,-1.1656144698852853,False
Fibrillar_Collagens,COL5A1,6,4,6,0.9334384619264341,0.006498209130596149,0.8285714285714287,0.04156268221574334,-0.19779603870275222,-0.3519265071756779,True
Fibrillar_Collagens,Col5a1,7,5,7,-0.15006694963156963,0.7480973440371064,-0.07142857142857144,0.8790481931481541,-1.6374389027086842,-0.15849988164782536,False
Fibrillar_Collagens,Col3a1,8,5,8,0.3391179996909603,0.4112205513447099,0.4285714285714286,0.2894032248467901,-1.9397795775039306,-0.6302439815912778,False
Fibrillar_Collagens,Col1a1,8,5,8,0.2335806925184817,0.5777056422227537,0.4761904761904762,0.23293553465009798,-1.9397795775039306,-0.08763997029728093,False
Fibrillar_Collagens,Col1a2,8,5,8,0.28069022290791634,0.5006958754260217,0.38095238095238104,0.35181255311756476,-1.9397795775039306,0.0002488960667461626,False
Fibrillar_Collagens,Col5a2,8,5,8,-0.04299663081303587,0.919480622509716,-0.28571428571428575,0.4927262450169573,-1.9397795775039306,0.03517718984182783,False
Fibrillar_Collagens,Col2a1,6,3,6,-0.1327718358969916,0.8020125210420885,-0.4285714285714286,0.3965014577259474,-2.4822721547489714,0.1716796969505181,False
Fibrillar_Collagens,Col11a1,3,2,3,-0.08411974613512407,0.9463843472234907,0.5,0.6666666666666667,-1.9200868376910876,-1.0844346843182717,False
