Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
LTBP1,Glomerular,Tubulointerstitial,1.62853066408346,-0.2825993756818494,1.9111300397653095,Kidney
Postn,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-1.0245689631363772,0.883120469587075,1.9076894327234521,Skeletal muscle
ANXA1,Glomerular,Tubulointerstitial,-1.7714986507434844,0.1251937200400098,1.8966923707834942,Kidney
F10,NP,OAF,1.5844557267373018,-0.3034731236953034,1.8879288504326053,Intervertebral_disc
Fbn1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.5258266035105543,-1.3536547670208692,1.8794813705314235,Skeletal muscle
TIMP1,Glomerular,Tubulointerstitial,-0.760394320848638,1.110153925217175,1.870548246065813,Kidney
Thbs4,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.43697710767502,-0.42614871002244,1.8631258176974599,Skeletal muscle
Dpt,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,1.0561297406153012,-0.7950656670666336,1.8511954076819348,Skeletal muscle
Col6a2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.3337025900712694,-1.49847146934696,1.8321740594182294,Skeletal muscle
Col1a1,Decellularized_Tissue,Native_Tissue,-1.3985560166037574,0.4171999145978733,1.8157559312016307,Heart
MMP13,Glomerular,Tubulointerstitial,-0.7202485398131234,1.0831761078106603,1.8034246476237836,Kidney
C1QTNF5,NP,OAF,1.4373259848337316,-0.3454159298654002,1.782741914699132,Intervertebral_disc
Ctsl,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.2556097117324761,-1.5213437733612167,1.7769534850936928,Skeletal muscle
C1QA,NP,OAF,1.5802802015909472,-0.1883321041902641,1.7686123057812113,Intervertebral_disc
CTSZ,Cortex,Ovary,1.6809431638757932,-0.0680781671815261,1.7490213310573193,Ovary
Fbn1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.392106437462429,-1.3536547670208692,1.7457612044832982,Skeletal muscle
F10,IAF,OAF,1.4165291317520712,-0.3034731236953034,1.7200022554473746,Intervertebral_disc
COL6A1,Cortex,Ovary,-1.5156776087982655,0.1937310072989929,1.7094086160972584,Ovary
COL28A1,IAF,OAF,-1.4048648088927915,0.2824304702571599,1.6872952791499514,Intervertebral_disc
C1QTNF5,IAF,OAF,1.333377491577879,-0.3454159298654002,1.6787934214432794,Intervertebral_disc
DPT,Glomerular,Tubulointerstitial,1.382665470374553,-0.2925712648021534,1.6752367351767063,Kidney
Fbn1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-1.1048760535705373,0.5258266035105543,1.6307026570810916,Skeletal muscle
CTSZ,NP,OAF,-1.4054431838740276,0.2074358791413846,1.6128790630154122,Intervertebral_disc
Thbs4,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.1648102846783264,1.43697710767502,1.6017873923533463,Skeletal muscle
Col1a1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.0503695173253319,1.5507906286192616,1.6011601459445934,Skeletal muscle
Col1a1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-0.0396672122978212,1.5507906286192616,1.5904578409170829,Skeletal muscle
COL5A1,Cortex,Ovary,-1.22698013175869,0.3616232283414553,1.5886033601001452,Ovary
Thbs4,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.1440349386344326,1.43697710767502,1.5810120463094526,Skeletal muscle
Igfbp6,Cortex,Hippocampus,0.3125205472148478,-1.264339177958111,1.5768597251729588,Brain
ANXA6,Glomerular,Tubulointerstitial,0.2462376617723497,-1.3235628849173855,1.5698005466897351,Kidney
Col3a1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-1.491077791980398,0.0718264771336861,1.562904269114084,Skeletal muscle
Tgfbi,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.0993312544442622,-0.4590016310800945,1.5583328855243566,Skeletal muscle
S100A6,Cortex,Ovary,-0.4560173347520247,1.0976027191469993,1.553620053899024,Ovary
FGB,Cortex,Ovary,-0.704855650239366,0.844109594600927,1.548965244840293,Ovary
Serpinb1a,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.933766970968866,-0.6142386926208658,1.548005663589732,Skeletal muscle
Fbn2,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-1.2810749085060142,0.2561371732170867,1.537212081723101,Skeletal muscle
C1qtnf9,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.4635268824170854,-1.0661837441141344,1.52971062653122,Skeletal muscle
Serpina1b,Decellularized_Tissue,Native_Tissue,1.1387754877708824,-0.3896876294967222,1.5284631172676046,Heart
S100A6,IAF,OAF,-0.4045771548828552,1.1198857008951597,1.5244628557780149,Intervertebral_disc
LUM,Cortex,Ovary,-0.2955786583993802,1.210433982063369,1.5060126404627492,Ovary
Lgi2,Cortex,Hippocampus,0.0649055851584512,-1.4336663936155425,1.4985719787739937,Brain
