Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction
GSTM5,4,0.0,0.002537403015604771,0.057971014492753624,0.0,0.115280942058531,0.057772688414660746,,,,
GSTM2,4,0.0,0.002537403015604771,0.057971014492753624,0.0,0.115280942058531,0.057772688414660746,,,,
ANXA11,2,2.0,0.0025977335024154904,0.028985507246376812,0.03429147755925365,0.11802191592496736,0.057288220943817025,,,,
CAP1,3,1.0,0.0025476747492076826,0.043478260869565216,0.017145738779626826,0.11574761413192083,0.05725931022129038,,,,
IGFBP5,4,1.3333333333333335,0.0019078279731456183,0.057971014492753624,0.02286098503950244,0.08667767976835343,0.05605000523945821,3.0,1.0,0.5351512952723138,DOWN
DHRS11,1,0.0,0.003676470588235294,0.014492753623188406,0.0,0.16703179993708264,0.05590664143040015,,,,
HSD17B12,1,0.0,0.003676470588235294,0.014492753623188406,0.0,0.16703179993708264,0.05590664143040015,,,,
EPX,1,0.0,0.003676470588235294,0.014492753623188406,0.0,0.16703179993708264,0.05590664143040015,,,,
IL5,1,0.0,0.003676470588235294,0.014492753623188406,0.0,0.16703179993708264,0.05590664143040015,,,,
HDLBP,5,0.0,0.0019411077629832366,0.07246376811594203,0.0,0.08818966879823804,0.05544240788584823,,,,
S100A7,2,2.0,0.00242198643693951,0.028985507246376812,0.03429147755925365,0.11003726108397653,0.054892824491519776,3.0,1.0,0.5246131903936906,UP
EFEMP1,3,3.0,0.0016142196230723017,0.043478260869565216,0.05143721633888048,0.07333827448486298,0.05482395159494912,10.0,0.8,0.6457209362739671,UP
MCAM,4,1.3333333333333335,0.0017150355973757129,0.057971014492753624,0.02286098503950244,0.07791861131774715,0.053422284704276325,,,,
RPSA,2,2.0,0.0022615650860448627,0.028985507246376812,0.03429147755925365,0.10274889406316676,0.05270631438527684,,,,
FRZB,3,2.0,0.0017629182469941326,0.043478260869565216,0.03429147755925365,0.08009404695896094,0.05170696170329046,3.0,1.0,0.5610447721282541,DOWN
FABP5,2,2.0,0.002185731047869347,0.028985507246376812,0.03429147755925365,0.09930355278028331,0.05167271200041181,,,,
