S100,Crosslinker,Spearman_rho,P_value
S100A7,LOXL4,-0.19804400977995112,0.43083783610585746
S100A5,LOXL1,0.1868108151774625,0.4579396677714702
S100A7A,LOXL1,-0.1868108151774625,0.4579396677714702
S100A12,TGM2,0.18140966575150175,0.47127075889345615
S100A4,LOXL2,-0.1718010497606197,0.49545523195244756
S100A6,LOX,-0.1716084168706884,0.49594610883550705
S100A10,TGM1,-0.16761752345509098,0.5061683278096056
S100A9,TGM5,0.16446955995823453,0.5143013806240084
S100A5,LOXL4,0.15706636192614137,0.5336665154469566
S100A7A,LOXL4,-0.15706636192614137,0.5336665154469566
S100A10,TGM3,-0.1569751410134979,0.5339071839376957
S100A4,TGM1,0.1548786114443151,0.5394520597817294
S100A8,LOXL1,0.15322394742008322,0.5438465847200549
S100A4,LOXL4,0.1476399037827257,0.5587943176514883
S100A1,TGM1,-0.1462495235986459,0.5625439564912984
S100A13,TGM2,0.14565429312060804,0.5641525441159052
S100A5,TGM2,-0.13038819725889192,0.6060732846048509
S100A7L2,LOXL1,0.12837345383073615,0.6116982257111911
S100A4,TGM2,-0.12458412600436906,0.6223336082953564
S100A7,LOXL3,0.11777430397669528,0.6416253782710597
S100A13,TGM1,0.10898630851023147,0.6668461320633498
S100A3,LOXL4,-0.10793353340882884,0.6698910810776098
S100A14,LOXL4,-0.10793353340882884,0.6698910810776098
S100A2,LOXL4,-0.10793353340882884,0.6698910810776098
S100A1;S100A1,LOXL4,0.10793353340882884,0.6698910810776098
S100P,LOXL4,-0.10793353340882884,0.6698910810776098
S100G,LOXL4,-0.10793353340882884,0.6698910810776098
S100A9,LOXL4,0.10059342421876241,0.6912549584046115
S100A11,LOX,-0.09634120335269664,0.703734845067433
S100A8,LOX,-0.09463204468147676,0.7087716464620892
S100A6,LOXL3,-0.09381199225454757,0.711192399724565
S100A5,LOXL3,-0.09340540758873125,0.7123935942669514
S100A7A,LOXL3,0.09340540758873125,0.7123935942669514
S100A16,TGM3,-0.09156415250216278,0.7178413417715045
S100A5,TGM5,0.08560080883635282,0.7355730758550761
S100A7A,TGM5,-0.08560080883635282,0.7355730758550761
S100A12,TGM5,-0.08560080883635282,0.7355730758550761
S100B,LOX,-0.08467520553516415,0.7383370069911546
S100A8,LOXL4,0.08196117570091434,0.746458839663366
S100A9,LOXL2,-0.08141395978045157,0.74809951771256
S100A16,LOXL1,0.07487523238213287,0.7677820263431366
S100A3,LOXL3,0.06418672691536807,0.8002440210521659
S100P,LOXL3,0.06418672691536807,0.8002440210521659
S100A2,LOXL3,0.06418672691536807,0.8002440210521659
S100A14,LOXL3,0.06418672691536807,0.8002440210521659
S100A16,LOXL3,0.062272470496031296,0.8060924518023609
S100B,LOXL1,-0.05963198356561785,0.8141756930056219
S100A16,LOXL2,0.05895609271739974,0.8162476847701127
S100A1;S100A1,TGM5,0.05882352941176471,0.8166542035684891
S100A7L2,TGM5,0.05882352941176471,0.8166542035684891
S100G,TGM5,-0.05882352941176471,0.8166542035684891
S100P,TGM5,-0.05882352941176471,0.8166542035684891
S100A9,LOXL1,-0.05768516777972438,0.8201469280582763
S100A1,TGM2,0.05664741434914904,0.8233337762082886
S100A1,LOXL3,0.04900055171302154,0.8468947246222159
S100A7,LOXL2,-0.04878217965707909,0.8475694702712598
S100A6,LOXL4,0.04692052963817865,0.853325815252006
S100A11,LOXL1,0.04581791398769779,0.8567385219382728
S100A5,LOX,0.04304729796256279,0.865324410457368
S100A5,TGM3,0.04304729796256279,0.865324410457368
S100A7A,LOX,-0.04304729796256279,0.865324410457368
S100A5,TGM1,0.04304729796256279,0.865324410457368
S100A12,TGM1,-0.04304729796256279,0.865324410457368
S100A7A,LOXL2,-0.03868856974809898,0.878860460316218
S100A5,LOXL2,0.03868856974809898,0.878860460316218
S100A10,LOX,0.033257445129978365,0.8957712714664713
S100A1,LOXL4,-0.033133241240795155,0.8961585308999569
S100A1;S100A1,TGM3,0.02958142606618039,0.9072419839676696
S100A7L2,TGM1,0.02958142606618039,0.9072419839676696
S100G,TGM3,-0.02958142606618039,0.9072419839676696
S100P,LOX,-0.02958142606618039,0.9072419839676696
S100A7L2,TGM3,0.02958142606618039,0.9072419839676696
S100P,TGM1,-0.02958142606618039,0.9072419839676696
S100A4,LOX,-0.029301358921897457,0.9081166544848489
S100A9,LOX,0.02756971672556984,0.9135268988270506
S100A3,LOXL2,-0.026586176595914692,0.9166014420540358
S100A14,LOXL2,-0.026586176595914692,0.9166014420540358
S100P,LOXL2,-0.026586176595914692,0.9166014420540358
S100A2,LOXL2,-0.026586176595914692,0.9166014420540358
S100P,TGM2,-0.023374100418794893,0.9266500112348955
S100B,TGM2,-0.019954742319429484,0.9373586201629465
S100B,TGM3,-0.0193118889817041,0.939373078678817
S100A16,LOXL4,-0.006648546368542856,0.9791118244521042
S100A1,LOXL1,0.0,1.0
