Cartilage_Protein,N_Tissues,Pearson_R,P_value,Significant
PRG4,3,-0.9654437940293029,0.16784823469511861,False
COMP,3,-0.9256881078174617,0.24697393844065338,False
CILP,3,-0.6863896513193639,0.5183889601576277,False
CHAD,3,0.26740530135866636,0.8276674964070981,False
ACAN,3,0.4498462636378295,0.7029575465146031,False
COL2A1,3,0.9100456358287192,0.27209267974418455,False
MATN3,3,0.9228481670579685,0.2517102024934086,False
MATN2,3,0.9324300911033965,0.23536836721632393,False
MATN4,3,0.9980944462754744,0.0393074352786936,True
